,Rank,"Player (yrs, age)",Successful Replay Challenges
0,1.,"Joe Maddon (17, 66)",154
1,2.,Ned Yost (16),146
2,3.,"Don Mattingly (10, 59)",145
3,4.,Clint Hurdle (17),139
4,5.,Bruce Bochy (25),131
5,5.,"Kevin Cash (6, 42)",131
6,7.,"Terry Francona (20, 61)",116
7,8.,"Joe Girardi (12, 55)",111
8,9.,Mike Scioscia (19),109
9,10.,"Bob Melvin (17, 58)",107
10,11.,"Mike Matheny (8, 49)",102
11,12.,"Bud Black (13, 63)",93
12,13.,AJ Hinch (7),91
13,14.,"Dave Roberts (6, 48)",90
14,15.,Jeff Banister (4),89
15,16.,Brad Ausmus (5),86
16,17.,John Gibbons (11),85
17,17.,Andy Green (4),85
18,17.,"Rick Renteria (5, 58)",85
19,20.,Paul Molitor+ (4),83
20,20.,Buck Showalter (20),83
21,22.,"Craig Counsell (6, 49)",78
22,22.,Bryan Price (5),78
23,24.,John Farrell (7),76
24,25.,"Scott Servais (5, 53)",75
25,25.,"Brian Snitker (5, 64)",75
26,27.,Terry Collins (13),74
27,28.,"Torey Lovullo (4, 54)",73
28,29.,Walt Weiss (4),71
29,30.,"Ron Gardenhire (16, 62)",65
30,31.,"Gabe Kapler (3, 44)",61
31,32.,Pete Mackanin (5),59
32,33.,Robin Ventura (5),58
33,34.,"Dave Martinez (3, 55)",50
34,35.,"Lloyd McClendon (8, 61)",48
35,36.,"Aaron Boone (3, 47)",46
36,37.,Fredi Gonzalez (10),45
37,38.,Alex Cora (2),44
38,39.,Chip Hale (2),43
39,40.,"Chris Woodward (2, 44)",40
40,41.,"Ron Roenicke (6, 63)",37
41,42.,"Dusty Baker (23, 71)",35
42,43.,Matt Williams (2),33
43,44.,Mickey Callaway (2),28
44,44.,"Mike Shildt (3, 51)",28
45,46.,Mike Redmond (3),26
46,47.,"David Bell (2, 47)",25
47,48.,"Rocco Baldelli (2, 38)",23
48,48.,"Charlie Montoyo (2, 54)",23
49,50.,Ryne Sandberg+ (3),22
50,51.,Kirk Gibson (5),19
51,51.,"Brandon Hyde (3, 46)",19
52,53.,Ron Washington (8),18
53,54.,Bo Porter (2),17
54,55.,Dan Jennings (1),12
55,55.,Jim Riggleman (13),12
56,57.,Pat Murphy (1),10
57,57.,"David Ross (1, 43)",10
58,59.,"Jayce Tingler (1, 39)",9
59,60.,"Luis Rojas (1, 38)",8
60,61.,Tim Bogar (1),4
61,62.,Rod Barajas (1),3
62,63.,Tom Lawless (1),2
63,63.,"Derek Shelton (1, 49)",2
64,65.,Don Wakamatsu (3),1
