,Rank,Player (age that year),Offensive WAR,Year,Bats
0,1.,Barry Bonds (36),12.4,2001,L
1,2.,Babe Ruth+ (28),12.3,1923,L
2,3.,Babe Ruth+ (26),12.2,1921,L
3,4.,Barry Bonds (37),11.8,2002,L
4,4.,Babe Ruth+ (25),11.8,1920,L
5,6.,Rogers Hornsby+ (28),11.6,1924,R
6,7.,Barry Bonds (39),11.5,2004,L
7,8.,Honus Wagner+ (34),11.4,1908,R
8,9.,Lou Gehrig+ (24),11.3,1927,L
9,9.,Mickey Mantle+ (25),11.3,1957,B
10,9.,Babe Ruth+ (32),11.3,1927,L
11,12.,Rogers Hornsby+ (26),11.2,1922,R
12,13.,Babe Ruth+ (31),11.0,1926,L
13,14.,Stan Musial+ (27),10.8,1948,L
14,14.,Babe Ruth+ (29),10.8,1924,L
15,16.,Babe Ruth+ (36),10.7,1931,L
16,16.,Ted Williams+ (22),10.7,1941,L
17,18.,Ty Cobb+ (30),10.6,1917,L
18,18.,Mickey Mantle+ (24),10.6,1956,B
19,20.,Mickey Mantle+ (29),10.5,1961,B
20,21.,Rogers Hornsby+ (29),10.3,1925,R
21,22.,Ty Cobb+ (24),10.2,1911,L
22,22.,Rogers Hornsby+ (32),10.2,1928,R
23,22.,Ted Williams+ (27),10.2,1946,L
24,25.,Jimmie Foxx+ (24),10.1,1932,R
25,25.,Babe Ruth+ (35),10.1,1930,L
26,25.,Mike Trout (21),10.1,2013,R
27,28.,Lou Gehrig+ (31),10.0,1934,L
28,28.,Nap Lajoie+ (35),10.0,1910,R
29,28.,Arky Vaughan+ (23),10.0,1935,L
30,31.,Ty Cobb+ (28),9.9,1915,L
31,31.,Lou Gehrig+ (27),9.9,1930,L
32,31.,Rogers Hornsby+ (25),9.9,1921,R
33,31.,Babe Ruth+ (33),9.9,1928,L
34,31.,Mike Trout (24),9.9,2016,R
35,31.,Ted Williams+ (23),9.9,1942,L
36,31.,Carl Yastrzemski+ (27),9.9,1967,L
37,31.,Robin Yount+ (26),9.9,1982,R
38,39.,Lou Gehrig+ (33),9.8,1936,L
39,39.,Honus Wagner+ (33),9.8,1907,R
40,41.,Ty Cobb+ (23),9.7,1910,L
41,41.,Joe Morgan+ (32),9.7,1976,L
42,41.,Sammy Sosa (32),9.7,2001,R
43,44.,Ty Cobb+ (22),9.6,1909,L
44,44.,Willie Mays+ (34),9.6,1965,R
45,46.,Hank Aaron+ (29),9.5,1963,R
46,46.,Lou Gehrig+ (28),9.5,1931,L
47,46.,Nap Lajoie+ (29),9.5,1904,R
48,46.,Stan Musial+ (25),9.5,1946,L
49,46.,Alex Rodriguez (31),9.5,2007,R
50,46.,Ted Williams+ (28),9.5,1947,L
51,46.,Ted Williams+ (38),9.5,1957,L
52,53.,Rogers Hornsby+ (33),9.4,1929,R
53,53.,Joe Morgan+ (31),9.4,1975,L
54,53.,Alex Rodriguez (29),9.4,2005,R
55,56.,Mickey Mantle+ (26),9.3,1958,B
56,56.,Mark McGwire (34),9.3,1998,R
57,58.,Cal Ripken Jr.+ (30),9.2,1991,R
58,58.,Alex Rodriguez (25),9.2,2001,R
59,58.,George Sisler+ (27),9.2,1920,L
60,58.,Tris Speaker+ (24),9.2,1912,L
61,58.,Tris Speaker+ (35),9.2,1923,L
62,58.,Mike Trout (26),9.2,2018,R
63,64.,Hank Aaron+ (25),9.1,1959,R
64,64.,Miguel Cabrera (30),9.1,2013,R
65,64.,Eddie Collins+ (27),9.1,1914,L
66,64.,Bryce Harper (22),9.1,2015,L
67,64.,Derek Jeter+ (25),9.1,1999,R
68,64.,Willie Mays+ (32),9.1,1963,R
69,64.,Al Rosen (29),9.1,1953,R
70,64.,Ted Williams+ (30),9.1,1949,L
71,72.,Jimmie Foxx+ (25),9.0,1933,R
72,72.,Lou Gehrig+ (25),9.0,1928,L
73,72.,Rogers Hornsby+ (24),9.0,1920,R
74,72.,Rogers Hornsby+ (31),9.0,1927,R
75,72.,Willie Mays+ (33),9.0,1964,R
76,72.,Mike Piazza+ (28),9.0,1997,R
77,78.,Dick Allen (30),8.9,1972,R
78,78.,Barry Bonds (31),8.9,1996,L
79,78.,Rod Carew+ (31),8.9,1977,L
80,78.,Ty Cobb+ (25),8.9,1912,L
81,78.,Lou Gehrig+ (34),8.9,1937,L
82,78.,Frank Robinson+ (30),8.9,1966,R
83,78.,Alex Rodriguez (24),8.9,2000,R
84,78.,Larry Walker+ (30),8.9,1997,L
85,78.,Carl Yastrzemski+ (30),8.9,1970,L
86,87.,Dick Allen (22),8.8,1964,R
87,87.,Barry Bonds (28),8.8,1993,L
88,87.,Harry Heilmann+ (28),8.8,1923,R
89,87.,Shoeless Joe Jackson (24),8.8,1912,L
90,87.,Ralph Kiner+ (28),8.8,1951,R
91,87.,Willie Mays+ (24),8.8,1955,R
92,87.,Willie Mays+ (27),8.8,1958,R
93,87.,Willie McCovey+ (31),8.8,1969,L
94,87.,Stan Musial+ (28),8.8,1949,L
95,87.,Mike Trout (22),8.8,2014,R
96,87.,Mike Trout (23),8.8,2015,R
97,98.,Mookie Betts (25),8.7,2018,R
98,98.,Barry Bonds (38),8.7,2003,L
99,98.,Jason Giambi (30),8.7,2001,L
100,98.,Matt Kemp (26),8.7,2011,R
101,98.,Alex Rodriguez (26),8.7,2002,R
102,98.,Mike Trout (20),8.7,2012,R
103,98.,Honus Wagner+ (31),8.7,1905,R
104,105.,Ty Cobb+ (29),8.6,1916,L
105,105.,Joe DiMaggio+ (26),8.6,1941,R
106,105.,Lou Gehrig+ (29),8.6,1932,L
107,105.,Rickey Henderson+ (26),8.6,1985,R
108,105.,Shoeless Joe Jackson (23),8.6,1911,L
109,105.,Ralph Kiner+ (26),8.6,1949,R
110,105.,Stan Musial+ (30),8.6,1951,L
111,105.,Albert Pujols (23),8.6,2003,R
112,105.,Duke Snider+ (26),8.6,1953,L
113,105.,Tris Speaker+ (28),8.6,1916,L
114,105.,Joe Torre+ (30),8.6,1971,R
115,116.,Ernie Banks+ (27),8.5,1958,R
116,116.,George Brett+ (27),8.5,1980,L
117,116.,Norm Cash (27),8.5,1961,L
118,116.,Eddie Collins+ (22),8.5,1909,L
119,116.,Reggie Jackson+ (23),8.5,1969,L
120,116.,Alex Rodriguez (20),8.5,1996,R
121,116.,Babe Ruth+ (37),8.5,1932,L
122,116.,Ron Santo+ (24),8.5,1964,R
123,116.,Tris Speaker+ (26),8.5,1914,L
124,116.,Jim Wynn (27),8.5,1969,R
125,126.,Jose Bautista (30),8.4,2011,R
126,126.,Rickey Henderson+ (31),8.4,1990,R
127,126.,Nap Lajoie+ (26),8.4,1901,R
128,126.,Mickey Mantle+ (23),8.4,1955,B
129,126.,Eddie Mathews+ (27),8.4,1959,L
130,126.,Willie Mays+ (23),8.4,1954,R
131,126.,Joe Morgan+ (28),8.4,1972,L
132,126.,Mel Ott+ (29),8.4,1938,L
133,126.,Rico Petrocelli (26),8.4,1969,R
134,126.,Frank Robinson+ (26),8.4,1962,R
135,126.,Duke Snider+ (27),8.4,1954,L
136,126.,Honus Wagner+ (30),8.4,1904,R
137,126.,Hack Wilson+ (30),8.4,1930,R
138,139.,Dick Allen (24),8.3,1966,R
139,139.,Home Run Baker+ (26),8.3,1912,L
140,139.,Wade Boggs+ (27),8.3,1985,L
141,139.,Barry Bonds (27),8.3,1992,L
142,139.,Lou Boudreau+ (30),8.3,1948,R
143,139.,Rod Carew+ (28),8.3,1974,L
144,139.,Willie Mays+ (31),8.3,1962,R
145,139.,Joe Medwick+ (25),8.3,1937,R
146,139.,Jackie Robinson+ (30),8.3,1949,R
147,139.,Babe Ruth+ (24),8.3,1919,L
148,139.,Tris Speaker+ (32),8.3,1920,L
149,139.,Alan Trammell+ (29),8.3,1987,R
150,139.,Mike Trout (27),8.3,2019,R
151,139.,Arky Vaughan+ (24),8.3,1936,L
152,139.,Honus Wagner+ (32),8.3,1906,R
153,139.,Honus Wagner+ (35),8.3,1909,R
154,155.,Hank Aaron+ (33),8.2,1967,R
