,Rank,Player (age that year),Defensive WAR,Year,Bats
0,1.,Terry Turner (25),5.4,1906,R
1,2.,Art Fletcher (32),5.1,1917,R
2,3.,Andrelton Simmons (27),5.0,2017,R
3,4.,Mark Belanger (31),4.9,1975,R
4,5.,Ozzie Smith+ (34),4.8,1989,B
5,6.,Kevin Kiermaier (25),4.6,2015,L
6,7.,Brooks Robinson+ (31),4.5,1968,R
7,8.,Mark Belanger (24),4.4,1968,R
8,8.,Frankie Frisch+ (29),4.4,1927,B
9,10.,Andrelton Simmons (23),4.3,2013,R
10,10.,Joe Tinker+ (27),4.3,1908,R
11,12.,Darin Erstad (28),4.2,2002,L
12,12.,Rabbit Maranville+ (22),4.2,1914,R
13,12.,Brooks Robinson+ (30),4.2,1967,R
14,15.,Hughie Critz (32),4.1,1933,R
15,15.,Adam Everett (29),4.1,2006,R
16,15.,Andrelton Simmons (25),4.1,2015,R
17,15.,Jack Wilson (27),4.1,2005,R
18,19.,Dave Bancroft+ (29),4.0,1920,B
19,19.,Mark Belanger (29),4.0,1973,R
20,19.,Gary Carter+ (29),4.0,1983,R
21,19.,Bobby Grich (24),4.0,1973,R
22,19.,Ron Hansen (26),4.0,1964,R
23,19.,Eddie Miller (26),4.0,1943,R
24,19.,Rey Ordóñez (28),4.0,1999,R
25,19.,Glenn Wright (23),4.0,1924,R
26,27.,Nick Ahmed (28),3.9,2018,R
27,27.,Mark Belanger (32),3.9,1976,R
28,27.,Matt Chapman (26),3.9,2019,R
29,27.,Art Fletcher (34),3.9,1919,R
30,27.,Darrin Jackson (28),3.9,1992,R
31,27.,Andruw Jones (21),3.9,1998,R
32,27.,Hal Lanier (24),3.9,1967,R
33,27.,Graig Nettles (26),3.9,1971,L
34,27.,Tommy Thevenow (22),3.9,1926,R
35,27.,Troy Tulowitzki (22),3.9,2007,R
36,27.,Devon White (29),3.9,1992,B
37,38.,Luis Aparicio+ (26),3.8,1960,R
38,38.,Dick Bartell (28),3.8,1936,R
39,38.,Alex Gonzalez (33),3.8,2010,R
40,38.,Andruw Jones (22),3.8,1999,R
41,42.,Mark Belanger (34),3.7,1978,R
42,42.,Buddy Bell (27),3.7,1979,R
43,42.,Ozzie Guillen (23),3.7,1987,L
44,42.,Franklin Gutierrez (26),3.7,2009,R
45,42.,Ron Hansen (25),3.7,1963,R
46,47.,Gene Alley (27),3.6,1968,R
47,47.,Darwin Barney (26),3.6,2012,R
48,47.,Barry Bonds (24),3.6,1989,L
49,47.,Matt Chapman (25),3.6,2018,R
50,47.,Bill Dahlen (38),3.6,1908,R
51,47.,Carlos Gomez (27),3.6,2013,R
52,47.,Marty Marion (27),3.6,1944,R
53,47.,George McBride (32),3.6,1913,R
54,47.,Graig Nettles (31),3.6,1976,L
55,47.,Pee Wee Reese+ (23),3.6,1942,R
56,47.,Cal Ripken Jr.+ (23),3.6,1984,R
57,47.,Aurelio Rodriguez (22),3.6,1970,R
58,47.,Brendan Ryan (30),3.6,2012,R
59,47.,Joe Tinker+ (24),3.6,1905,R
60,47.,Joe Tinker+ (25),3.6,1906,R
61,47.,Woody Williams (31),3.6,1944,R
62,63.,Gene Alley (24),3.5,1965,R
