,Rank,Player (age that year),On-Base Plus Slugging,Year,Bats
0,1.,Barry Bonds (39),1.4217,2004,L
1,2.,Barry Bonds (37),1.3807,2002,L
2,3.,Babe Ruth+ (25),1.3791,1920,L
3,4.,Barry Bonds (36),1.3785,2001,L
4,5.,Babe Ruth+ (26),1.3586,1921,L
5,6.,Babe Ruth+ (28),1.3089,1923,L
6,7.,Ted Williams+ (22),1.2875,1941,L
7,8.,Barry Bonds (38),1.2778,2003,L
8,9.,Babe Ruth+ (32),1.2582,1927,L
9,10.,Ted Williams+ (38),1.2566,1957,L
10,11.,Babe Ruth+ (31),1.2530,1926,L
11,12.,Babe Ruth+ (29),1.2517,1924,L
12,13.,Rogers Hornsby+ (29),1.2449,1925,R
13,14.,Lou Gehrig+ (24),1.2395,1927,L
14,15.,Babe Ruth+ (35),1.2248,1930,L
15,16.,Mark McGwire (34),1.2224,1998,R
16,17.,Jimmie Foxx+ (24),1.2180,1932,R
17,18.,Frank Thomas+ (26),1.2168,1994,R
18,19.,Rogers Hornsby+ (28),1.2031,1924,R
19,20.,Jeff Bagwell+ (26),1.2009,1994,R
20,21.,Mark McGwire (32),1.1976,1996,R
21,22.,Hugh Duffy+ (27),1.1955,1894,R
22,23.,Babe Ruth+ (36),1.1951,1931,L
23,24.,Lou Gehrig+ (27),1.1942,1930,L
24,25.,Juan Soto (21),1.1846,2020,L
25,26.,Rogers Hornsby+ (26),1.1809,1922,R
26,27.,Tip O'Neill (27),1.1800,1887,R
27,28.,Hack Wilson+ (30),1.1775,1930,R
28,29.,Mickey Mantle+ (25),1.1766,1957,B
29,30.,Sammy Sosa (32),1.1740,2001,R
30,31.,Lou Gehrig+ (33),1.1737,1936,L
31,32.,Babe Ruth+ (33),1.1720,1928,L
32,33.,Larry Walker+ (30),1.1719,1997,L
33,34.,Lou Gehrig+ (31),1.1716,1934,L
34,35.,Mickey Mantle+ (24),1.1693,1956,B
35,36.,Larry Walker+ (32),1.1681,1999,L
36,37.,Jimmie Foxx+ (30),1.1664,1938,R
37,38.,Ted Williams+ (27),1.1643,1946,L
38,39.,Sam Thompson+ (34),1.1618,1894,L
39,40.,Todd Helton (26),1.1617,2000,L
40,41.,Jimmie Foxx+ (31),1.1579,1939,R
41,42.,Manny Ramirez (28),1.1538,2000,R
42,43.,Jimmie Foxx+ (25),1.1526,1933,R
43,44.,Stan Musial+ (27),1.1523,1948,L
44,45.,Albert Belle (27),1.1520,1994,R
45,46.,Babe Ruth+ (37),1.1498,1932,L
46,47.,Norm Cash (27),1.1482,1961,L
47,48.,Ted Williams+ (23),1.1468,1942,L
48,49.,Bill Joyce (26),1.1435,1894,L
49,50.,Ted Williams+ (30),1.1406,1949,L
50,51.,Rogers Hornsby+ (33),1.1388,1929,R
51,52.,Jason Giambi (30),1.1365,2001,L
52,53.,Barry Bonds (28),1.1356,1993,L
