,Rank,Player (age that year),At Bats,Year,Bats
0,1.,Jimmy Rollins (28),716,2007,B
1,2.,Willie Wilson (24),705,1980,B
2,3.,Ichiro Suzuki (30),704,2004,L
3,4.,Juan Samuel (23),701,1984,R
4,5.,Dave Cash (27),699,1975,R
5,5.,Juan Pierre (28),699,2006,L
6,7.,Matty Alou (30),698,1969,L
7,8.,Woody Jensen (28),696,1936,L
8,8.,Jose Reyes (22),696,2005,B
9,8.,Alfonso Soriano (26),696,2002,R
10,11.,Omar Moreno (26),695,1979,L
11,11.,Ichiro Suzuki (32),695,2006,L
12,11.,Maury Wills (29),695,1962,B
13,14.,Bobby Richardson (26),692,1962,R
14,14.,Ichiro Suzuki (27),692,2001,L
15,16.,Kirby Puckett+ (25),691,1985,R
16,16.,Michael Young (29),691,2006,R
17,18.,Neifi Perez (26),690,1999,B
18,18.,Michael Young (27),690,2004,R
19,20.,Sandy Alomar (27),689,1971,B
20,20.,Lou Brock+ (28),689,1967,L
21,20.,Jimmy Rollins (27),689,2006,B
22,23.,Jose Reyes (25),688,2008,B
23,24.,Dave Cash (26),687,1974,R
24,24.,Tony Fernandez (24),687,1986,B
25,26.,Horace Clarke (31),686,1970,B
26,26.,Alex Rodriguez (22),686,1998,R
27,26.,Ichiro Suzuki (34),686,2008,L
28,29.,Nomar Garciaparra (23),684,1997,R
29,29.,Ian Kinsler (32),684,2014,R
30,31.,Derek Jeter+ (38),683,2012,R
31,32.,Aaron Hill (27),682,2009,R
32,32.,Lance Johnson (32),682,1996,L
33,32.,Alfonso Soriano (27),682,2003,R
34,35.,Whit Merrifield (30),681,2019,R
35,35.,Jo-Jo Moore (26),681,1935,L
36,35.,Jose Reyes (24),681,2007,B
37,35.,Lloyd Waner+ (25),681,1931,L
38,39.,Kirby Puckett+ (26),680,1986,R
39,39.,Pete Rose (32),680,1973,B
40,39.,Ichiro Suzuki (36),680,2010,L
41,39.,Frank Taveras (29),680,1979,R
42,43.,Curt Flood (26),679,1964,R
43,43.,Harvey Kuenn (22),679,1953,R
44,43.,Bobby Richardson (28),679,1964,R
45,43.,Ichiro Suzuki (29),679,2003,L
46,43.,Ichiro Suzuki (31),679,2005,L
47,48.,Doug Glanville (27),678,1998,R
48,48.,Dick Groat (31),678,1962,R
49,48.,Juan Pierre (26),678,2004,L
50,48.,Ichiro Suzuki (33),678,2007,L
51,48.,Vernon Wells (24),678,2003,R
52,53.,Matty Alou (31),677,1970,L
53,53.,Don Mattingly (25),677,1986,L
54,53.,Jim Rice+ (25),677,1978,R
55,53.,Jimmy Rollins (26),677,2005,B
56,53.,Ichiro Suzuki (37),677,2011,L
57,58.,Darin Erstad (26),676,2000,L
58,58.,Felix Millan (31),676,1975,R
59,58.,Omar Moreno (27),676,1980,L
60,61.,Starlin Castro (21),674,2011,R
61,62.,Bill Buckner (35),673,1985,L
62,62.,Rennie Stennett (23),673,1974,R
63,62.,B.J. Surhoff (34),673,1999,L
64,65.,Sandy Alomar (26),672,1970,B
65,65.,Garret Anderson (29),672,2001,L
66,65.,Mookie Betts (23),672,2016,R
67,65.,Rabbit Maranville+ (30),672,1922,R
68,65.,Tony Oliva (25),672,1964,L
69,65.,Jimmy Rollins (30),672,2009,B
70,65.,Garry Templeton (23),672,1979,B
71,72.,Marquis Grissom (29),671,1996,R
72,72.,Jack Tobin (29),671,1921,L
73,74.,Buddy Bell (27),670,1979,R
74,74.,Cesar Izturis (24),670,2004,B
75,74.,Pete Rose (24),670,1965,B
76,74.,Al Simmons+ (30),670,1932,R
77,78.,Larry Bowa (28),669,1974,B
78,78.,Vada Pinson (26),669,1965,L
79,80.,Ralph Garr (27),668,1973,L
80,80.,Buddy Lewis (20),668,1937,L
81,80.,Juan Pierre (25),668,2003,L
82,80.,Juan Pierre (29),668,2007,L
83,80.,Brooks Robinson+ (24),668,1961,R
84,80.,Michael Young (28),668,2005,R
85,86.,Carl Furillo (29),667,1951,R
86,86.,Manny Machado (20),667,2013,R
87,88.,Felipe Alou (31),666,1966,R
88,88.,Dave Cash (28),666,1976,R
89,88.,Starlin Castro (23),666,2013,R
90,88.,Billy Herman+ (25),666,1935,R
91,88.,Ron LeFlore (30),666,1978,R
92,88.,Paul Molitor+ (25),666,1982,R
93,88.,Zoilo Versalles (25),666,1965,R
94,88.,Michael Young (26),666,2003,R
95,96.,Tommy Davis (23),665,1962,R
96,96.,Paul Molitor+ (34),665,1991,R
97,96.,Pete Rose (35),665,1976,B
98,99.,Lou Brock+ (31),664,1970,L
99,99.,Taylor Douthit (29),664,1930,R
100,99.,Rafael Furcal (25),664,2003,B
101,99.,Don Kessinger (26),664,1969,B
102,99.,Bobby Richardson (29),664,1965,R
103,99.,Trea Turner (25),664,2018,R
104,105.,Carlos Beltran (22),663,1999,B
105,105.,Bobby Bonds (24),663,1970,R
106,105.,Rick Burleson (26),663,1977,R
107,105.,Joe Carter (26),663,1986,R
108,105.,J.J. Hardy (29),663,2012,R
109,105.,Derek Jeter+ (36),663,2010,R
110,105.,Cal Ripken Jr.+ (22),663,1983,R
111,105.,Juan Samuel (24),663,1985,R
112,105.,Bill Virdon (31),663,1962,L
113,105.,Jake Wood (24),663,1961,R
114,115.,Felipe Alou (33),662,1968,R
115,115.,Richie Ashburn+ (22),662,1949,L
116,115.,Dante Bichette (34),662,1998,R
117,115.,Hughie Critz (29),662,1930,R
118,115.,Curt Flood (25),662,1963,R
119,115.,Granny Hamner (22),662,1949,R
120,115.,Ender Inciarte (26),662,2017,L
121,115.,Kenny Lofton (29),662,1996,L
122,115.,Bobby Richardson (25),662,1961,R
123,115.,Pete Rose (34),662,1975,B
124,115.,Miguel Tejada (28),662,2002,R
125,115.,Lloyd Waner+ (23),662,1929,L
126,127.,Orlando Cabrera (33),661,2008,R
127,127.,Cecil Cooper (33),661,1983,L
128,127.,Doc Cramer (27),661,1933,L
129,127.,Doc Cramer (34),661,1940,L
130,127.,Ken Hubbs (20),661,1962,R
131,127.,Francisco Lindor (24),661,2018,B
132,127.,Ruben Sierra (25),661,1991,B
133,134.,Jose Altuve (24),660,2014,R
134,134.,Lou Brock+ (29),660,1968,L
135,134.,Tom Brown (31),660,1892,L
136,134.,Enos Cabell (28),660,1978,R
137,134.,Doc Cramer (35),660,1941,L
138,134.,Jacoby Ellsbury (27),660,2011,L
139,134.,Paul Molitor+ (39),660,1996,R
140,141.,Luis Aparicio+ (32),659,1966,R
141,141.,Hughie Critz (31),659,1932,R
142,141.,Warren Cromartie (25),659,1979,L
143,141.,Travis Fryman (23),659,1992,R
144,141.,Steve Garvey (26),659,1975,R
145,141.,Billy Moran (28),659,1962,R
146,141.,Red Schoendienst+ (24),659,1947,B
147,141.,Zoilo Versalles (24),659,1964,R
148,141.,Lloyd Waner+ (22),659,1928,L
149,150.,Melky Cabrera (26),658,2011,B
150,150.,Dave Cash (30),658,1978,R
151,150.,Doc Cramer (32),658,1938,L
152,150.,Julio Franco (25),658,1984,R
153,150.,Nomar Garciaparra (29),658,2003,R
154,150.,Steve Garvey (31),658,1980,R
155,150.,Brian Hunter (26),658,1997,R
156,150.,Heinie Manush+ (31),658,1933,L
157,150.,Daniel Murphy (28),658,2013,L
158,150.,Chase Utley (27),658,2006,L
159,150.,Bill White (29),658,1963,L
160,161.,Carlos Baerga (23),657,1992,B
161,161.,Bill Buckner (32),657,1982,L
162,161.,Mark Grudzielanek (26),657,1996,R
163,161.,Kirby Puckett+ (28),657,1988,R
164,161.,Jim Rice+ (31),657,1984,R
165,161.,Jimmy Rollins (25),657,2004,B
166,161.,Marcus Semien (28),657,2019,R
167,161.,Cesar Tovar (30),657,1971,R
168,169.,Glenn Beckert (25),656,1966,R
169,169.,Michael Bourn (28),656,2011,L
170,169.,Orlando Cabrera (34),656,2009,R
171,169.,George Case (24),656,1940,R
172,169.,Dain Clay (25),656,1945,R
173,169.,Frankie Crosetti (28),656,1939,R
174,169.,Tito Fuentes (29),656,1973,B
175,169.,Billy Herman+ (22),656,1932,R
176,169.,Andruw Jones (23),656,2000,R
177,169.,Harvey Kuenn (23),656,1954,R
178,169.,Buddy Lewis (21),656,1938,L
179,169.,Al Oliver (33),656,1980,L
180,169.,Juan Pierre (27),656,2005,L
181,169.,Jimmy Rollins (22),656,2001,B
182,169.,Michael Young (33),656,2010,R
183,184.,Lou Brock+ (30),655,1969,L
184,184.,Robinson Cano (33),655,2016,L
