,Rank,Player (age that year),Plate Appearances,Year,Bats
0,1.,Jimmy Rollins (28),778,2007,B
1,2.,Lenny Dykstra (30),773,1993,L
2,3.,Pete Rose (33),771,1974,B
3,4.,Dave Cash (27),766,1975,R
4,5.,Jose Reyes (24),765,2007,B
5,6.,Pete Rose (34),764,1975,B
6,7.,Jose Reyes (25),763,2008,B
7,8.,Ichiro Suzuki (30),762,2004,L
8,9.,Pete Rose (35),759,1976,B
9,9.,Maury Wills (29),759,1962,B
10,11.,Wade Boggs+ (27),758,1985,L
11,11.,Jimmy Rollins (27),758,2006,B
12,13.,Frankie Crosetti (27),757,1938,R
13,13.,Omar Moreno (26),757,1979,L
14,13.,Pete Rose (24),757,1965,B
15,16.,Dom DiMaggio (31),756,1948,R
16,17.,Woody English (24),755,1930,R
17,18.,Bobby Richardson (26),754,1962,R
18,18.,Rickie Weeks (27),754,2010,R
19,20.,Taylor Douthit (27),752,1928,R
20,20.,Derek Jeter+ (31),752,2005,R
21,20.,Paul Molitor+ (34),752,1991,R
22,20.,Pete Rose (32),752,1973,B
23,20.,Ichiro Suzuki (32),752,2006,L
24,20.,Mo Vaughn (28),752,1996,L
25,26.,Paul Molitor+ (25),751,1982,R
26,26.,Grady Sizemore (23),751,2006,L
27,28.,Juan Pierre (28),750,2006,L
28,29.,Brady Anderson (28),749,1992,L
29,29.,Craig Biggio+ (33),749,1999,R
30,29.,Ichiro Suzuki (34),749,2008,L
31,32.,Taylor Douthit (29),748,1930,R
32,32.,Augie Galan (23),748,1935,B
33,32.,Derek Jeter+ (23),748,1997,R
34,32.,Juan Pierre (26),748,2004,L
35,32.,Alex Rodriguez (22),748,1998,R
36,32.,Grady Sizemore (24),748,2007,L
37,32.,Michael Young (29),748,2006,R
38,39.,Darin Erstad (26),747,2000,L
39,39.,Rabbit Maranville+ (30),747,1922,R
40,39.,Juan Pierre (25),747,2003,L
41,39.,Marcus Semien (28),747,2019,R
42,43.,Matty Alou (30),746,1969,L
43,43.,Charlie Jamieson (30),746,1923,L
44,43.,Jim Rice+ (25),746,1978,R
45,46.,Dave Bancroft+ (31),745,1922,B
46,46.,Bobby Bonds (24),745,1970,R
47,46.,Dave Cash (26),745,1974,R
48,46.,Tommy Harper (24),745,1965,R
49,46.,Lyn Lary (30),745,1936,R
50,46.,Francisco Lindor (24),745,2018,B
51,46.,Omar Moreno (27),745,1980,L
52,46.,Grady Sizemore (25),745,2008,L
53,46.,Willie Wilson (24),745,1980,B
54,55.,Craig Biggio+ (31),744,1997,R
55,55.,Dwight Evans (33),744,1985,R
56,55.,Jo-Jo Moore (26),744,1935,L
57,55.,Kirby Puckett+ (25),744,1985,R
58,55.,George Springer (26),744,2016,R
59,60.,Frankie Crosetti (28),743,1939,R
60,60.,Felix Millan (31),743,1975,R
61,60.,Pee Wee Reese+ (30),743,1949,R
62,63.,Wade Boggs+ (31),742,1989,L
63,63.,Don Mattingly (25),742,1986,L
64,65.,Kiki Cuyler+ (31),741,1930,R
65,65.,Johnny Damon (26),741,2000,L
66,65.,Lyn Lary (31),741,1937,R
67,65.,Ron LeFlore (30),741,1978,R
68,65.,Red Rolfe (28),741,1937,L
69,65.,Alfonso Soriano (26),741,2002,R
70,71.,Frankie Crosetti (25),740,1936,R
71,71.,Derek Jeter+ (38),740,2012,R
72,71.,Trea Turner (25),740,2018,R
73,74.,Sandy Alomar (27),739,1971,B
74,74.,Curt Flood (26),739,1964,R
75,74.,Derek Jeter+ (25),739,1999,R
76,74.,Derek Jeter+ (36),739,2010,R
77,74.,Pete Rose (39),739,1980,B
78,74.,Ichiro Suzuki (31),739,2005,L
79,74.,Chase Utley (27),739,2006,L
80,74.,Michael Young (27),739,2004,R
81,82.,Craig Biggio+ (32),738,1998,R
82,82.,Bobby Bonds (27),738,1973,R
83,82.,Al Bumbry (33),738,1980,L
84,82.,Dwight Evans (32),738,1984,R
85,82.,Lou Gehrig+ (28),738,1931,L
86,82.,Brian Hunter (26),738,1997,R
87,82.,Chuck Schilling (23),738,1961,R
88,82.,Ichiro Suzuki (27),738,2001,L
89,90.,Don Kessinger (26),737,1969,B
90,90.,Harold Reynolds (29),737,1990,B
91,90.,Juan Samuel (23),737,1984,R
92,93.,Rafael Furcal (28),736,2006,B
93,93.,Dick Howser (28),736,1964,R
94,93.,Kenny Lofton (29),736,1996,L
95,93.,Brian Roberts (26),736,2004,B
96,93.,Brooks Robinson+ (24),736,1961,R
97,93.,Ichiro Suzuki (33),736,2007,L
98,93.,David Wright (25),736,2008,R
99,100.,Sandy Alomar (26),735,1970,B
100,100.,Doug Glanville (27),735,1998,R
101,100.,Billy Herman+ (25),735,1935,R
102,100.,Whit Merrifield (30),735,2019,R
103,100.,Phil Rizzuto+ (32),735,1950,R
104,100.,Vernon Wells (24),735,2003,R
105,106.,Sal Bando (25),734,1969,R
106,106.,Rafael Furcal (25),734,2003,B
107,106.,Nomar Garciaparra (23),734,1997,R
108,106.,Aaron Hill (27),734,2009,R
109,106.,Juan Pierre (32),734,2010,L
110,106.,Alfonso Soriano (27),734,2003,R
111,106.,Rusty Staub (34),734,1978,L
112,106.,Eddie Yost (25),734,1952,R
113,114.,Darrell Evans (26),733,1973,L
114,114.,Buddy Lewis (20),733,1937,L
115,114.,Tony Phillips (33),733,1992,B
116,114.,Jose Reyes (22),733,2005,B
117,118.,Brett Butler (33),732,1990,L
118,118.,Max Carey+ (32),732,1922,B
119,118.,Horace Clarke (31),732,1970,B
120,118.,Jacoby Ellsbury (27),732,2011,L
121,118.,Eddie Lake (31),732,1947,R
122,118.,Lefty O'Doul (32),732,1929,L
123,118.,Rafael Palmeiro (31),732,1996,L
124,118.,Neifi Perez (26),732,1999,B
125,118.,Alex Rodriguez (25),732,2001,R
126,118.,Jimmy Rollins (26),732,2005,B
127,118.,Pete Rose (36),732,1977,B
128,118.,Pete Rose (38),732,1979,B
129,118.,Ichiro Suzuki (36),732,2010,L
130,118.,Bill Wambsganss (30),732,1924,R
131,118.,Michael Young (28),732,2005,R
132,133.,Tito Fuentes (29),731,1973,B
133,133.,Charlie Gehringer+ (33),731,1936,L
134,133.,Woody Jensen (28),731,1936,L
135,133.,Ian Kinsler (30),731,2012,R
136,133.,Harvey Kuenn (22),731,1953,R
137,133.,Dustin Pedroia (27),731,2011,R
138,133.,Tim Raines+ (22),731,1982,B
139,133.,Red Rolfe (30),731,1939,L
140,133.,Pete Rose (28),731,1969,B
141,133.,Pete Rose (31),731,1972,B
142,133.,Pete Rose (37),731,1978,B
143,133.,Jack Tobin (29),731,1921,L
144,133.,Whitey Witt (25),731,1921,L
145,133.,Jake Wood (24),731,1961,R
146,133.,Eddie Yost (23),731,1950,R
147,148.,Mookie Betts (23),730,2016,R
148,148.,Brett Butler (34),730,1991,L
149,148.,Orlando Cabrera (33),730,2008,R
150,148.,Derek Jeter+ (28),730,2002,R
151,148.,Pete Rose (29),730,1970,B
152,148.,Mark Teixeira (25),730,2005,B
153,148.,Ted Williams+ (30),730,1949,L
154,155.,Richie Ashburn+ (30),729,1957,L
155,155.,Jeff Bagwell+ (31),729,1999,R
156,155.,Lou Brock+ (31),729,1970,L
157,155.,Chone Figgins (31),729,2009,B
158,155.,Andruw Jones (23),729,2000,R
159,155.,Paul Molitor+ (39),729,1996,R
160,155.,Juan Pierre (29),729,2007,L
161,155.,Jerry Priddy (30),729,1950,R
162,155.,Roy Smalley (26),729,1979,B
163,164.,Richie Ashburn+ (22),728,1949,L
164,164.,Don Blasingame (25),728,1957,L
165,164.,Luis Gonzalez (33),728,2001,L
166,164.,Cesar Izturis (24),728,2004,B
167,164.,Vada Pinson (26),728,1965,L
168,164.,Harold Reynolds (30),728,1991,B
169,164.,Bobby Richardson (28),728,1964,R
170,164.,Burt Shotton (31),728,1916,L
171,164.,Alfonso Soriano (30),728,2006,R
172,164.,Ichiro Suzuki (28),728,2002,L
173,164.,Dan Uggla (27),728,2007,R
174,164.,Zoilo Versalles (25),728,1965,R
175,164.,Roy White (32),728,1976,B
176,177.,Lou Brock+ (34),727,1973,L
