,Rank,Player (age that year),Total Bases,Year,Bats
0,1.,Babe Ruth+ (26),457,1921,L
1,2.,Rogers Hornsby+ (26),450,1922,R
2,3.,Lou Gehrig+ (24),447,1927,L
3,4.,Chuck Klein+ (25),445,1930,L
4,5.,Jimmie Foxx+ (24),438,1932,R
5,6.,Stan Musial+ (27),429,1948,L
6,7.,Sammy Sosa (32),425,2001,R
7,8.,Hack Wilson+ (30),423,1930,R
8,9.,Chuck Klein+ (27),420,1932,L
9,10.,Lou Gehrig+ (27),419,1930,L
10,10.,Luis Gonzalez (33),419,2001,L
11,12.,Joe DiMaggio+ (22),418,1937,R
12,13.,Babe Ruth+ (32),417,1927,L
13,14.,Babe Herman (27),416,1930,L
14,14.,Sammy Sosa (29),416,1998,R
15,16.,Barry Bonds (36),411,2001,L
16,17.,Lou Gehrig+ (28),410,1931,L
17,18.,Lou Gehrig+ (31),409,1934,L
18,18.,Rogers Hornsby+ (33),409,1929,R
19,18.,Larry Walker+ (30),409,1997,L
20,21.,Joe Medwick+ (25),406,1937,R
21,21.,Jim Rice+ (25),406,1978,R
22,23.,Todd Helton (26),405,2000,L
23,23.,Chuck Klein+ (24),405,1929,L
24,23.,Hal Trosky (23),405,1936,L
25,26.,Jimmie Foxx+ (25),403,1933,R
26,26.,Lou Gehrig+ (33),403,1936,L
27,28.,Todd Helton (27),402,2001,L
28,29.,Hank Aaron+ (25),400,1959,R
29,30.,Albert Belle (31),399,1998,R
30,30.,Babe Ruth+ (28),399,1923,L
31,30.,George Sisler+ (27),399,1920,L
32,33.,Jimmie Foxx+ (30),398,1938,R
33,34.,Hank Greenberg+ (26),397,1937,R
34,34.,Lefty O'Doul (32),397,1929,L
35,34.,Sammy Sosa (30),397,1999,R
36,37.,Albert Pujols (23),394,2003,R
37,38.,Ken Griffey Jr.+ (27),393,1997,L
38,38.,Derrek Lee (29),393,2005,R
39,38.,Alex Rodriguez (25),393,2001,R
40,41.,Ellis Burks (31),392,1996,R
41,41.,Al Simmons+ (23),392,1925,R
42,41.,Al Simmons+ (28),392,1930,R
43,41.,Bill Terry+ (31),392,1930,L
44,45.,Babe Ruth+ (29),391,1924,L
45,46.,Hank Greenberg+ (24),389,1935,R
46,46.,Albert Pujols (24),389,2004,R
47,46.,Alex Rodriguez (26),389,2002,R
48,49.,George Foster (28),388,1977,R
49,49.,Don Mattingly (25),388,1986,L
50,49.,Babe Ruth+ (25),388,1920,L
51,52.,Charlie Blackmon (30),387,2017,L
52,52.,Ken Griffey Jr.+ (28),387,1998,L
53,54.,Matt Holliday (27),386,2007,R
54,55.,Earl Averill+ (34),385,1936,L
55,56.,Hank Greenberg+ (29),384,1940,R
56,56.,Alex Rodriguez (22),384,1998,R
57,58.,Ryan Howard (26),383,2006,L
58,58.,Mark McGwire (34),383,1998,R
59,58.,Sammy Sosa (31),383,2000,R
60,61.,Juan Gonzalez (28),382,1998,R
61,61.,Willie Mays+ (24),382,1955,R
62,61.,Willie Mays+ (31),382,1962,R
63,61.,Stan Musial+ (28),382,1949,L
64,61.,Jim Rice+ (24),382,1977,R
65,66.,Rogers Hornsby+ (29),381,1925,R
66,66.,Alfonso Soriano (26),381,2002,R
67,68.,Vinny Castilla (30),380,1998,R
68,68.,Hank Greenberg+ (27),380,1938,R
69,68.,Frank Robinson+ (26),380,1962,R
70,68.,Jimmy Rollins (28),380,2007,B
71,68.,Babe Ruth+ (33),380,1928,L
72,73.,Ernie Banks+ (27),379,1958,R
73,73.,Vladimir Guerrero+ (25),379,2000,R
74,73.,Alex Rodriguez (20),379,1996,R
75,73.,Babe Ruth+ (35),379,1930,L
76,77.,Carlos Delgado (28),378,2000,L
77,77.,Rogers Hornsby+ (25),378,1921,R
