,Rank,Player (age that year),Triples,Year,Bats
0,1.,Chief Wilson (28),36,1912,L
1,2.,Dave Orr (26),31,1886,R
2,2.,Heinie Reitz (27),31,1894,L
3,4.,Perry Werden (31),29,1893,R
4,5.,Harry Davis (23),28,1897,R
5,5.,Sam Thompson+ (34),28,1894,L
6,7.,George Davis+ (22),27,1893,B
7,7.,Jimmy Williams (22),27,1899,R
8,9.,Sam Crawford+ (34),26,1914,L
9,9.,Kiki Cuyler+ (26),26,1925,R
10,9.,Shoeless Joe Jackson (24),26,1912,L
11,9.,John Reilly (31),26,1890,R
12,9.,George Treadway (27),26,1894,L
13,14.,Roger Connor+ (36),25,1894,B
14,14.,Sam Crawford+ (23),25,1903,L
15,14.,Larry Doyle (24),25,1911,L
16,14.,Buck Freeman (27),25,1899,L
17,14.,Tom Long (25),25,1915,R
18,19.,Ty Cobb+ (24),24,1911,L
19,19.,Ty Cobb+ (30),24,1917,L
20,19.,Ed McKean (29),24,1893,R
21,22.,Dan Brouthers+ (36),23,1894,L
22,22.,Ty Cobb+ (25),23,1912,L
23,22.,Earle Combs+ (28),23,1927,L
24,22.,Adam Comorosky (25),23,1930,R
25,22.,Sam Crawford+ (33),23,1913,L
26,22.,Curtis Granderson (26),23,2007,L
27,22.,Nap Lajoie+ (22),23,1897,R
28,22.,Dale Mitchell (27),23,1949,L
29,22.,Mike Smith (25),23,1893,L
30,22.,Harry Stovey (27),23,1884,R
31,22.,Sam Thompson+ (27),23,1887,L
32,33.,John Anderson (24),22,1898,B
33,33.,Jake Beckley+ (22),22,1890,L
34,33.,Bill Bradley (25),22,1903,R
35,33.,Earle Combs+ (31),22,1930,L
36,33.,Roger Connor+ (29),22,1887,B
37,33.,Sam Crawford+ (22),22,1902,L
38,33.,Birdie Cree (28),22,1911,R
39,33.,Jake Daubert (38),22,1922,L
40,33.,Elmer Flick+ (30),22,1906,L
41,33.,Willie Keeler+ (22),22,1894,L
42,33.,Tommy Leach (24),22,1902,R
43,33.,Bid McPhee+ (30),22,1890,R
44,33.,Mike Mitchell (31),22,1911,R
45,33.,Hi Myers (31),22,1920,R
46,33.,Kip Selbach (23),22,1895,R
47,33.,Tris Speaker+ (25),22,1913,L
48,33.,Snuffy Stirnweiss (26),22,1945,R
49,33.,Joe Visner (30),22,1890,L
50,33.,Honus Wagner+ (26),22,1900,R
51,33.,Paul Waner+ (23),22,1926,L
52,53.,Home Run Baker+ (26),21,1912,L
53,53.,Tom Brown (30),21,1891,L
54,53.,Earle Combs+ (29),21,1928,L
55,53.,Sam Crawford+ (32),21,1912,L
56,53.,Ed Delahanty+ (24),21,1892,R
57,53.,Shoeless Joe Jackson (28),21,1916,L
58,53.,Lance Johnson (32),21,1996,L
59,53.,Bill Keister (29),21,1901,L
60,53.,Tom McCreery (21),21,1896,B
61,53.,Dave Orr (25),21,1885,R
62,53.,Edd Roush+ (31),21,1924,L
63,53.,Vic Saier (22),21,1913,L
64,53.,Frank Schulte (28),21,1911,L
65,53.,Cy Seymour (32),21,1905,L
66,53.,Billy Shindle (29),21,1890,R
67,53.,Sam Thompson+ (35),21,1895,L
68,53.,Mike Tiernan (23),21,1890,L
69,53.,Mike Tiernan (28),21,1895,L
70,53.,George Van Haltren (30),21,1896,L
71,53.,Bobby Wallace+ (23),21,1897,R
72,53.,Jimmy Williams (24),21,1901,R
73,53.,Jimmy Williams (25),21,1902,R
74,53.,Willie Wilson (29),21,1985,B
75,76.,Jim Bottomley+ (28),20,1928,L
76,76.,George Brett+ (26),20,1979,L
77,76.,Dan Brouthers+ (29),20,1887,L
78,76.,Dan Brouthers+ (34),20,1892,L
79,76.,Ty Cobb+ (21),20,1908,L
80,76.,Roger Connor+ (28),20,1886,B
81,76.,Duff Cooley (22),20,1895,L
82,76.,Tommy Corcoran (25),20,1894,R
83,76.,Buck Ewing+ (24),20,1884,R
84,76.,Jocko Fields (25),20,1890,R
85,76.,Buck Freeman (31),20,1903,L
86,76.,Lou Gehrig+ (23),20,1926,L
87,76.,Goose Goslin+ (24),20,1925,L
88,76.,Cristian Guzman (22),20,2000,B
89,76.,Jeff Heath (26),20,1941,L
90,76.,Rogers Hornsby+ (24),20,1920,R
91,76.,Shoeless Joe Jackson (32),20,1920,L
92,76.,Dick Johnston (24),20,1887,R
93,76.,Joe Kelley+ (22),20,1894,R
94,76.,Heinie Manush+ (26),20,1928,L
95,76.,Rabbit Maranville+ (32),20,1924,R
96,76.,Willie Mays+ (26),20,1957,R
97,76.,Dots Miller (26),20,1913,R
98,76.,Red Murray (28),20,1912,R
99,76.,Stan Musial+ (22),20,1943,L
100,76.,Stan Musial+ (25),20,1946,L
101,76.,Jimmy Rollins (28),20,2007,B
102,76.,Jake Stenzel (27),20,1894,R
103,76.,George Stone (29),20,1906,L
104,76.,Harry Stovey (31),20,1888,R
105,76.,Harry Stovey (34),20,1891,R
106,76.,Bill Terry+ (32),20,1931,L
107,76.,Jake Virtue (27),20,1892,B
108,76.,Joe Vosmik (25),20,1935,R
109,76.,Honus Wagner+ (38),20,1912,R
