,Rank,Player (age that year),Runs Batted In,Year,Bats
0,1.,Hack Wilson+ (30),191,1930,R
1,2.,Lou Gehrig+ (28),185,1931,L
2,3.,Hank Greenberg+ (26),184,1937,R
3,4.,Jimmie Foxx+ (30),175,1938,R
4,5.,Lou Gehrig+ (24),173,1927,L
5,5.,Lou Gehrig+ (27),173,1930,L
6,7.,Chuck Klein+ (25),170,1930,L
7,8.,Jimmie Foxx+ (24),169,1932,R
8,9.,Hank Greenberg+ (24),168,1935,R
9,9.,Babe Ruth+ (26),168,1921,L
10,11.,Joe DiMaggio+ (22),167,1937,R
11,12.,Lou Gehrig+ (31),166,1934,L
12,12.,Sam Thompson+ (27),166,1887,L
13,14.,Manny Ramirez (27),165,1999,R
14,14.,Babe Ruth+ (32),165,1927,L
15,14.,Al Simmons+ (28),165,1930,R
16,14.,Sam Thompson+ (35),165,1895,L
17,18.,Jimmie Foxx+ (25),163,1933,R
18,19.,Babe Ruth+ (36),162,1931,L
19,19.,Hal Trosky (23),162,1936,L
20,21.,Sammy Sosa (32),160,2001,R
21,22.,Vern Stephens (28),159,1949,R
22,22.,Ted Williams+ (30),159,1949,L
23,22.,Hack Wilson+ (29),159,1929,R
24,25.,Lou Gehrig+ (34),158,1937,L
25,25.,Sammy Sosa (29),158,1998,R
26,27.,Juan Gonzalez (28),157,1998,R
27,27.,Al Simmons+ (27),157,1929,R
28,29.,Jimmie Foxx+ (22),156,1930,R
29,29.,Alex Rodriguez (31),156,2007,R
30,31.,Joe DiMaggio+ (33),155,1948,R
31,31.,Ken Williams (32),155,1922,L
32,33.,Joe Medwick+ (25),154,1937,R
33,33.,Babe Ruth+ (34),154,1929,L
34,35.,Tommy Davis (23),153,1962,R
35,35.,Babe Ruth+ (31),153,1926,L
36,35.,Babe Ruth+ (35),153,1930,L
37,38.,Albert Belle (31),152,1998,R
38,38.,Lou Gehrig+ (33),152,1936,L
39,38.,Rogers Hornsby+ (26),152,1922,R
40,38.,Hardy Richardson (35),152,1890,R
41,42.,Lou Gehrig+ (29),151,1932,L
