,Rank,Player (age that year),Stolen Bases,Year,Bats
0,1.,Hugh Nicol (29),138,1887,R
1,2.,Rickey Henderson+ (23),130,1982,R
2,3.,Arlie Latham (27),129,1887,R
3,4.,Lou Brock+ (35),118,1974,L
4,5.,Charlie Comiskey+ (27),117,1887,R
5,6.,Billy Hamilton+ (23),111,1889,L
6,6.,Billy Hamilton+ (25),111,1891,L
7,6.,John Ward+ (27),111,1887,L
8,9.,Vince Coleman (23),110,1985,B
9,10.,Vince Coleman (25),109,1987,B
10,10.,Arlie Latham (28),109,1888,R
11,12.,Rickey Henderson+ (24),108,1983,R
12,13.,Vince Coleman (24),107,1986,B
13,14.,Tom Brown (30),106,1891,L
14,15.,Maury Wills (29),104,1962,B
15,16.,Pete Browning (26),103,1887,R
16,16.,Hugh Nicol (30),103,1888,R
17,18.,Jim Fogarty (23),102,1887,R
18,18.,Billy Hamilton+ (24),102,1890,L
19,20.,Billy Hamilton+ (28),100,1894,L
20,20.,Rickey Henderson+ (21),100,1980,R
21,22.,Jim Fogarty (25),99,1889,R
22,23.,Billy Hamilton+ (29),97,1895,L
23,23.,Ron LeFlore (32),97,1980,R
24,23.,Harry Stovey (33),97,1890,R
25,26.,Ty Cobb+ (28),96,1915,L
26,26.,Omar Moreno (27),96,1980,L
27,28.,Bid McPhee+ (27),95,1887,R
28,28.,Curt Welch (26),95,1888,R
29,30.,Mike Griffin (22),94,1887,L
30,30.,Maury Wills (32),94,1965,B
31,32.,Rickey Henderson+ (29),93,1988,R
32,32.,Tommy McCarthy+ (24),93,1888,R
33,34.,Darby O'Brien (25),91,1889,R
34,35.,Tim Raines+ (23),90,1983,B
35,36.,Herman Long (23),89,1889,L
36,36.,Curt Welch (25),89,1887,R
37,38.,Clyde Milan (25),88,1912,L
38,38.,Tom Poorman (29),88,1887,L
39,38.,Blondie Purcell (33),88,1887,R
40,38.,John Ward+ (32),88,1892,L
41,42.,Rickey Henderson+ (27),87,1986,R
42,42.,Joe Kelley+ (24),87,1896,R
43,42.,Arlie Latham (31),87,1891,R
44,42.,Harry Stovey (31),87,1888,R
45,46.,Cub Stricker (28),86,1887,R
46,47.,Hub Collins (26),85,1890,R
47,47.,Hugh Duffy+ (24),85,1891,R
48,47.,Tommy Tucker (23),85,1887,B
49,50.,King Kelly+ (29),84,1887,R
50,50.,Bill Lange (25),84,1896,R
51,50.,Chippy McGarr (24),84,1887,R
52,50.,Billy Sunday (27),84,1890,L
53,54.,Ty Cobb+ (24),83,1911,L
54,54.,Billy Hamilton+ (30),83,1896,L
55,54.,Tommy McCarthy+ (26),83,1890,R
56,54.,Willie Wilson (23),83,1979,B
57,58.,Dummy Hoy (26),82,1888,L
58,58.,John Reilly (29),82,1888,R
59,60.,Bob Bescher (27),81,1911,B
60,60.,Vince Coleman (26),81,1988,B
61,60.,Eddie Collins+ (23),81,1910,L
62,63.,Tom Brown (29),80,1890,L
63,63.,Eric Davis (24),80,1986,R
64,63.,Rickey Henderson+ (26),80,1985,R
65,63.,Hugh Nicol (31),80,1889,R
66,63.,Emmett Seery (27),80,1888,L
67,68.,Dave Collins (27),79,1980,B
