,Rank,Player (age that year),Adjusted OPS+,Year,Bats
0,1.,Barry Bonds (37),268,2002,L
1,2.,Barry Bonds (39),263,2004,L
2,3.,Barry Bonds (36),259,2001,L
3,4.,Fred Dunlap (25),256,1884,R
4,5.,Babe Ruth+ (25),255,1920,L
5,6.,Babe Ruth+ (26),239,1921,L
6,6.,Babe Ruth+ (28),239,1923,L
7,8.,Ross Barnes (26),235,1876,R
8,8.,Ted Williams+ (22),235,1941,L
9,10.,Ted Williams+ (38),233,1957,L
10,11.,Barry Bonds (38),231,2003,L
11,12.,Babe Ruth+ (31),226,1926,L
12,13.,Babe Ruth+ (32),225,1927,L
13,14.,Pete Browning (21),223,1882,R
14,15.,Rogers Hornsby+ (28),222,1924,R
15,16.,Mickey Mantle+ (25),221,1957,B
16,17.,Lou Gehrig+ (24),220,1927,L
17,17.,Babe Ruth+ (29),220,1924,L
18,19.,Babe Ruth+ (36),218,1931,L
19,20.,Babe Ruth+ (24),217,1919,L
20,21.,Mark McGwire (34),216,1998,R
21,21.,Ted Williams+ (23),216,1942,L
22,23.,Ted Williams+ (27),215,1946,L
23,24.,Jeff Bagwell+ (26),213,1994,R
24,24.,Tip O'Neill (27),213,1887,R
25,26.,Juan Soto (21),212,2020,L
26,26.,Frank Thomas+ (26),212,1994,R
27,28.,Babe Ruth+ (35),211,1930,L
28,29.,Rogers Hornsby+ (29),210,1925,R
29,29.,Mickey Mantle+ (24),210,1956,B
30,31.,Ty Cobb+ (30),209,1917,L
31,31.,Willie McCovey+ (31),209,1969,L
32,33.,Dan Brouthers+ (28),208,1886,L
33,34.,Jimmie Foxx+ (24),207,1932,R
34,34.,Lou Gehrig+ (31),207,1934,L
35,34.,Rogers Hornsby+ (26),207,1922,R
36,37.,Barry Bonds (28),206,1993,L
37,37.,Mickey Mantle+ (29),206,1961,B
38,37.,Babe Ruth+ (33),206,1928,L
39,40.,Ty Cobb+ (23),205,1910,L
40,40.,Honus Wagner+ (34),205,1908,R
41,40.,Ted Williams+ (28),205,1947,L
42,43.,Barry Bonds (27),204,1992,L
43,43.,George Hall (27),204,1876,L
44,45.,George Brett+ (27),203,1980,L
45,45.,Dan Brouthers+ (27),203,1885,L
46,45.,Lou Gehrig+ (27),203,1930,L
47,45.,Sammy Sosa (32),203,2001,R
48,49.,Rogers Hornsby+ (32),202,1928,R
49,49.,Dave Orr (25),202,1885,R
50,51.,Bob Caruthers (22),201,1886,L
51,51.,Norm Cash (27),201,1961,L
52,51.,Jimmie Foxx+ (25),201,1933,R
53,51.,Babe Ruth+ (37),201,1932,L
54,51.,Orator Shafer (32),201,1884,L
55,51.,Ted Williams+ (35),201,1954,L
56,57.,Ty Cobb+ (25),200,1912,L
57,57.,Roger Connor+ (27),200,1885,B
58,57.,Nap Lajoie+ (29),200,1904,R
59,57.,Stan Musial+ (27),200,1948,L
60,61.,Dick Allen (30),199,1972,R
61,61.,Dan Brouthers+ (24),199,1882,L
62,61.,Jason Giambi (30),199,2001,L
63,64.,Bryce Harper (22),198,2015,L
64,64.,Nap Lajoie+ (26),198,1901,R
65,64.,Frank Robinson+ (30),198,1966,R
66,64.,Mike Schmidt+ (31),198,1981,R
67,64.,Mike Trout (26),198,2018,R
68,69.,Nap Lajoie+ (35),197,1910,R
69,69.,Jim Thome+ (31),197,2002,L
70,71.,Ty Cobb+ (24),196,1911,L
71,71.,Mark McGwire (32),196,1996,R
72,73.,Mickey Mantle+ (30),195,1962,B
73,74.,Hank Aaron+ (37),194,1971,R
74,74.,Albert Belle (27),194,1994,R
75,74.,Ty Cobb+ (26),194,1913,L
76,74.,Ty Cobb+ (31),194,1918,L
77,74.,Lou Gehrig+ (28),194,1931,L
78,74.,Harry Heilmann+ (28),194,1923,R
79,80.,Lou Gehrig+ (25),193,1928,L
80,80.,Shoeless Joe Jackson (23),193,1911,L
81,80.,King Kelly+ (28),193,1886,R
82,80.,Denny Lyons (24),193,1890,R
83,80.,Babe Ruth+ (34),193,1929,L
84,80.,George Stone (29),193,1906,L
85,80.,Deacon White+ (29),193,1877,L
86,80.,Carl Yastrzemski+ (27),193,1967,L
87,88.,Cap Anson+ (29),192,1881,R
88,88.,Ty Cobb+ (22),192,1909,L
89,88.,Shoeless Joe Jackson (25),192,1913,L
90,88.,Kevin Mitchell (27),192,1989,R
91,88.,Albert Pujols (28),192,2008,R
92,88.,Babe Ruth+ (23),192,1918,L
93,94.,Rogers Hornsby+ (25),191,1921,R
94,94.,Shoeless Joe Jackson (24),191,1912,L
95,94.,Ted Williams+ (30),191,1949,L
96,97.,Dan Brouthers+ (26),190,1884,L
97,97.,Pete Browning (24),190,1885,R
98,97.,Miguel Cabrera (30),190,2013,R
99,97.,Ty Cobb+ (27),190,1914,L
100,97.,Ed Delahanty+ (28),190,1896,R
101,97.,Lou Gehrig+ (33),190,1936,L
102,97.,Tris Speaker+ (24),190,1912,L
103,97.,Arky Vaughan+ (23),190,1935,L
104,105.,Ed Delahanty+ (31),189,1899,R
105,105.,Rickey Henderson+ (31),189,1990,R
106,105.,Reggie Jackson+ (23),189,1969,L
107,105.,Dave Orr (24),189,1884,R
108,105.,Albert Pujols (29),189,2009,R
109,105.,John Reilly (25),189,1884,R
110,105.,Gary Sheffield (27),189,1996,R
111,105.,Ted Williams+ (29),189,1948,L
112,113.,Barry Bonds (31),188,1996,L
113,113.,Barry Bonds (35),188,2000,L
114,113.,Jimmie Foxx+ (31),188,1939,R
115,113.,Buster Hoover (21),188,1884,R
116,113.,Rogers Hornsby+ (27),188,1923,R
117,113.,Mickey Mantle+ (26),188,1958,B
118,113.,Ed Swartwood (23),188,1882,L
119,113.,Ed Swartwood (24),188,1883,L
120,113.,Honus Wagner+ (30),188,1904,R
121,122.,Dan Brouthers+ (25),187,1883,L
122,122.,Ed Delahanty+ (34),187,1902,R
123,122.,Jim Gentile (27),187,1961,L
124,122.,Jason Giambi (29),187,2000,L
125,122.,Joe Morgan+ (32),187,1976,L
126,122.,Albert Pujols (23),187,2003,R
127,122.,Frank Robinson+ (31),187,1967,R
128,122.,Honus Wagner+ (33),187,1907,R
129,130.,Mookie Betts (25),186,2018,R
130,130.,Ed Delahanty+ (27),186,1895,R
131,130.,Jimmie Foxx+ (26),186,1934,R
132,130.,Freddie Freeman (30),186,2020,L
133,130.,Ralph Kiner+ (26),186,1949,R
134,130.,John Olerud (24),186,1993,L
135,130.,Manny Ramirez (28),186,2000,R
136,130.,Tris Speaker+ (28),186,1916,L
137,130.,Willie Stargell+ (33),186,1973,L
138,130.,Mike Trout (25),186,2017,R
139,140.,Ty Cobb+ (28),185,1915,L
140,140.,Roger Connor+ (24),185,1882,B
141,140.,Joe DiMaggio+ (26),185,1941,R
142,140.,George Gore (26),185,1880,L
143,140.,Rogers Hornsby+ (24),185,1920,R
144,140.,King Kelly+ (26),185,1884,R
145,140.,Ralph Kiner+ (28),185,1951,R
146,140.,Edgar Martinez+ (32),185,1995,R
147,140.,Willie Mays+ (34),185,1965,R
148,140.,Kevin Mitchell (32),185,1994,R
149,140.,Dave Orr (26),185,1886,R
150,140.,Mike Piazza+ (28),185,1997,R
151,140.,Willie Stargell+ (31),185,1971,L
152,140.,Harry Stovey (27),185,1884,R
153,154.,Joe DiMaggio+ (24),184,1939,R
154,154.,Manny Ramirez (30),184,2002,R
155,154.,Orator Shafer (26),184,1878,L
156,157.,Hank Aaron+ (25),183,1959,R
157,157.,Barry Bonds (29),183,1994,L
158,157.,Fred Carroll (24),183,1889,R
159,157.,Roger Connor+ (28),183,1886,B
160,157.,Jimmie Foxx+ (30),183,1938,R
161,157.,Stan Musial+ (25),183,1946,L
162,157.,Stan Musial+ (30),183,1951,L
163,157.,Jim Whitney (24),183,1882,L
164,165.,Jose Bautista (30),182,2011,R
165,165.,Jimmie Foxx+ (27),182,1935,R
166,165.,Pedro Guerrero (29),182,1985,R
167,165.,King Kelly+ (21),182,1879,R
168,165.,Willie McCovey+ (32),182,1970,L
169,165.,Joe Medwick+ (25),182,1937,R
170,165.,Babe Ruth+ (27),182,1922,L
171,165.,George Sisler+ (27),182,1920,L
172,165.,Tris Speaker+ (25),182,1913,L
173,165.,Tris Speaker+ (35),182,1923,L
174,165.,Sam Thompson+ (34),182,1894,L
175,165.,Mike Trout (27),182,2019,R
176,177.,Dick Allen (24),181,1966,R
177,177.,Dan Brouthers+ (23),181,1881,L
178,177.,Carlos Delgado (28),181,2000,L
179,177.,Frank Fennelly (24),181,1884,R
180,177.,Lou Gehrig+ (29),181,1932,L
181,177.,Travis Hafner (29),181,2006,L
182,177.,Bobby Murcer (25),181,1971,L
183,177.,Cy Seymour (32),181,1905,L
184,177.,Frank Thomas+ (29),181,1997,R
185,186.,Cap Anson+ (30),180,1882,R
186,186.,Cap Anson+ (34),180,1886,R
187,186.,Jesse Burkett+ (32),180,1901,L
188,186.,Cupid Childs (22),180,1890,L
189,186.,Rocky Colavito (24),180,1958,R
190,186.,Harry Heilmann+ (32),180,1927,R
191,186.,Charley Jones (27),180,1879,R
192,186.,Benny Kauff (25),180,1915,L
193,186.,Mickey Mantle+ (23),180,1955,B
194,186.,John O'Rourke (29),180,1879,L
195,186.,Al Rosen (29),180,1953,R
196,186.,Frank Thomas+ (23),180,1991,R
197,198.,Hank Aaron+ (29),179,1963,R
198,198.,George Brett+ (32),179,1985,L
199,198.,Dan Brouthers+ (33),179,1891,L
200,198.,Dan Brouthers+ (34),179,1892,L
201,198.,Pete Browning (22),179,1883,R
202,198.,Miguel Cabrera (28),179,2011,R
203,198.,Ty Cobb+ (29),179,1916,L
204,198.,Harry Lumley (25),179,1906,L
205,198.,Lip Pike (31),179,1876,L
206,198.,Frank Thomas+ (27),179,1995,R
207,198.,Mike Trout (21),179,2013,R
208,198.,Ted Williams+ (39),179,1958,L
209,198.,Christian Yelich (27),179,2019,L
210,211.,Jeff Bagwell+ (28),178,1996,R
211,211.,Barry Bonds (33),178,1998,L
212,211.,Miguel Cabrera (27),178,2010,R
213,211.,Rod Carew+ (31),178,1977,L
214,211.,John Cassidy (22),178,1877,R
215,211.,Rogers Hornsby+ (33),178,1929,R
216,211.,Frank Howard (32),178,1969,R
217,211.,Bill Joyce (26),178,1894,L
218,211.,Johnny Mize+ (26),178,1939,L
219,211.,Mel Ott+ (29),178,1938,L
220,211.,Albert Pujols (26),178,2006,R
221,211.,Tris Speaker+ (26),178,1914,L
222,211.,Frank Thomas+ (28),178,1996,R
223,211.,Larry Walker+ (30),178,1997,L
224,225.,Hank Aaron+ (35),177,1969,R
225,225.,Cap Anson+ (32),177,1884,R
226,225.,Albert Belle (28),177,1995,R
227,225.,Pete Browning (26),177,1887,R
228,225.,Steve Evans (29),177,1914,L
229,225.,Lou Gehrig+ (30),177,1933,L
230,225.,Brian Giles (31),177,2002,L
231,225.,Paul Hines (23),177,1878,R
232,225.,Paul Hines (24),177,1879,R
233,225.,Harmon Killebrew+ (33),177,1969,R
234,225.,DJ LeMahieu (31),177,2020,R
