,Rank,Player (age that year),Hit By Pitch,Year,Bats
0,1.,Hughie Jennings+ (27),51,1896,R
1,2.,Ron Hunt (30),50,1971,R
2,3.,Hughie Jennings+ (28),46,1897,R
3,3.,Hughie Jennings+ (29),46,1898,R
4,5.,Dan McGann (26),39,1898,B
5,6.,Dan McGann (27),37,1899,B
6,7.,Curt Welch (29),36,1891,R
7,8.,Don Baylor (37),35,1986,R
8,9.,Craig Biggio+ (31),34,1997,R
9,9.,Curt Welch (28),34,1890,R
10,11.,Tommy Tucker (25),33,1889,B
11,12.,Hughie Jennings+ (26),32,1895,R
12,13.,Steve Evans (25),31,1910,L
13,13.,Brandon Guyer (30),31,2016,R
14,13.,Jason Kendall (23),31,1997,R
15,13.,Jason Kendall (24),31,1998,R
16,17.,Anthony Rizzo (25),30,2015,L
17,17.,Craig Wilson (27),30,2004,R
18,19.,Chief Roseman (33),29,1890,R
19,19.,Tommy Tucker (23),29,1887,B
20,19.,Tommy Tucker (27),29,1891,B
21,19.,Curt Welch (26),29,1888,R
22,23.,Don Baylor (38),28,1987,R
23,23.,Craig Biggio+ (35),28,2001,R
24,23.,Pete Gilbert (23),28,1891,
25,23.,Fernando Vina (31),28,2000,L
26,27.,Craig Biggio+ (30),27,1996,R
27,27.,Craig Biggio+ (37),27,2003,R
28,27.,David Eckstein (27),27,2002,R
29,27.,Hughie Jennings+ (25),27,1894,R
30,27.,Anthony Rizzo (29),27,2019,L
31,27.,Chase Utley (29),27,2008,L
32,33.,Shin-Soo Choo (30),26,2013,L
33,33.,Ron Hunt (29),26,1970,R
34,33.,Ron Hunt (31),26,1972,R
35,33.,Tommy Tucker (28),26,1892,B
36,37.,Eddie Burke (26),25,1893,L
37,37.,Fred Clarke+ (24),25,1897,L
38,37.,Derek Dietrich (29),25,2019,L
39,37.,Kid Elberfeld (36),25,1911,R
40,37.,Andres Galarraga (37),25,1998,R
41,37.,Ron Hunt (27),25,1968,R
42,37.,Ron Hunt (28),25,1969,R
43,37.,Jason Kendall (29),25,2003,R
44,37.,Victor Robles (22),25,2019,R
45,37.,F.P. Santangelo (29),25,1997,B
46,37.,Tommy Tucker (26),25,1890,B
47,37.,Chase Utley (28),25,2007,L
48,37.,Fernando Vina (29),25,1998,L
49,37.,Rickie Weeks (27),25,2010,R
50,51.,Brady Anderson (35),24,1999,L
51,51.,Don Baylor (36),24,1985,R
52,51.,Dan Brouthers+ (33),24,1891,L
53,51.,Derek Dietrich (26),24,2016,L
54,51.,Bill Freehan (26),24,1968,R
55,51.,Brandon Guyer (29),24,2015,R
56,51.,Ron Hunt (32),24,1973,R
57,51.,Jason LaRue (30),24,2004,R
58,51.,Starling Marte (24),24,2013,R
59,51.,Dan McGann (28),24,1900,B
60,51.,Anthony Rizzo (27),24,2017,L
61,51.,Chase Utley (30),24,2009,L
62,63.,Don Baylor (35),23,1984,R
63,63.,Craig Biggio+ (32),23,1998,R
64,63.,Steve Brodie (30),23,1899,L
65,63.,Bill Dahlen (28),23,1898,R
66,63.,David DeJesus (27),23,2007,L
67,63.,Josh Harrison (29),23,2017,R
68,63.,Dan McGann (29),23,1901,B
69,63.,John McGraw+ (27),23,1900,L
70,63.,Minnie Minoso (30),23,1956,R
71,63.,Carlos Quentin (28),23,2011,R
