,Rank,Player (age that year),Caught Stealing,Year,Bats
0,1.,Rickey Henderson+ (23),42,1982,R
1,2.,Ty Cobb+ (28),38,1915,L
2,3.,George Burns (23),35,1913,R
3,4.,Ty Cobb+ (25),34,1912,L
4,5.,Lou Brock+ (35),33,1974,L
5,5.,Harry Lord (30),33,1912,L
6,5.,Omar Moreno (27),33,1980,L
7,8.,Doc Cook (28),32,1914,L
8,8.,Eddie Murphy (22),32,1914,L
9,8.,Burt Shotton (30),32,1915,L
10,11.,Duffy Lewis (26),31,1914,R
11,11.,Clyde Milan (25),31,1912,L
12,11.,Maury Wills (32),31,1965,B
13,14.,Eddie Collins+ (27),30,1914,L
14,14.,Eddie Collins+ (28),30,1915,L
15,14.,Del Pratt (24),30,1912,R
16,14.,Sam Rice+ (30),30,1920,L
17,14.,Steve Sax (23),30,1983,R
18,19.,Eddie Collins+ (36),29,1923,L
19,19.,Charlie Hollocher (26),29,1922,L
20,19.,Bill North (28),29,1976,B
21,19.,Harold Reynolds (27),29,1988,B
22,19.,Tillie Shafer (24),29,1913,B
23,19.,Burt Shotton (29),29,1914,L
24,19.,Tris Speaker+ (26),29,1914,L
25,26.,Brett Butler (34),28,1991,L
26,26.,Pat Duncan (28),28,1922,R
27,26.,George Grantham (23),28,1923,L
28,26.,Buck Herzog (30),28,1916,R
29,26.,Del Pratt (26),28,1914,R
30,26.,Burt Shotton (31),28,1916,L
31,26.,Tris Speaker+ (24),28,1912,L
32,26.,Rollie Zeider (28),28,1912,R
33,34.,Dave Bancroft+ (24),27,1915,B
34,34.,Lou Brock+ (26),27,1965,L
35,34.,Donie Bush (27),27,1915,B
36,34.,Vince Coleman (26),27,1988,B
37,34.,Bernie Friberg (24),27,1924,R
38,34.,Tris Speaker+ (28),27,1916,L
39,34.,Gerald Young (23),27,1988,B
40,41.,Home Run Baker+ (26),26,1912,L
41,41.,George Burns (26),26,1916,R
42,41.,Donie Bush (26),26,1914,B
43,41.,Rickey Henderson+ (21),26,1980,R
44,41.,Benny Kauff (26),26,1916,L
45,41.,Lee Magee (24),26,1913,B
46,41.,Armando Marsans (28),26,1916,R
47,41.,Omar Moreno (29),26,1982,L
48,41.,Bill North (26),26,1974,B
49,41.,Rebel Oakes (29),26,1913,L
50,41.,Burt Shotton (27),26,1912,L
51,41.,George Sisler+ (23),26,1916,L
52,41.,Lonnie Smith (26),26,1982,R
53,41.,Milt Stock (22),26,1916,R
54,55.,Vince Coleman (23),25,1985,B
55,55.,Roy Hartzell (32),25,1914,L
56,55.,Ed Konetchy (27),25,1913,R
57,55.,Lee Magee (27),25,1916,B
58,55.,Danny Moeller (29),25,1914,B
59,55.,Red Murray (29),25,1913,R
60,55.,Billy Southworth+ (27),25,1920,L
61,55.,Tris Speaker+ (27),25,1915,L
62,55.,Frank Taveras (28),25,1978,R
63,55.,Eric Yelding (25),25,1990,R
64,55.,Gerald Young (24),25,1989,B
65,66.,Lou Brock+ (38),24,1977,L
66,66.,Ty Cobb+ (29),24,1916,L
67,66.,Shano Collins (28),24,1914,R
68,66.,Chad Curtis (24),24,1993,R
69,66.,Tommy Griffith (25),24,1915,L
