,Rank,Player (age that year),Base-Out Wins Added (REW),Year,Bats
0,1.,Barry Bonds (39),11.60,2004,L
1,2.,Barry Bonds (37),11.31,2002,L
2,3.,Barry Bonds (36),11.16,2001,L
3,4.,Babe Ruth+ (28),10.52,1923,L
4,5.,Lou Gehrig+ (24),10.49,1927,L
5,6.,Babe Ruth+ (26),10.38,1921,L
6,7.,Babe Ruth+ (32),10.37,1927,L
7,8.,Babe Ruth+ (25),10.12,1920,L
8,9.,Babe Ruth+ (36),9.88,1931,L
9,10.,Babe Ruth+ (29),9.43,1924,L
10,11.,Mickey Mantle+ (24),9.42,1956,B
11,12.,Mickey Mantle+ (29),9.27,1961,B
12,13.,Lou Gehrig+ (31),9.25,1934,L
13,14.,Ted Williams+ (29),9.23,1948,L
14,15.,Mickey Mantle+ (25),9.18,1957,B
15,16.,Lou Gehrig+ (27),9.15,1930,L
16,17.,Barry Bonds (31),9.12,1996,L
17,18.,Lou Gehrig+ (25),9.06,1928,L
18,19.,Ted Williams+ (23),9.03,1942,L
19,20.,Jimmie Foxx+ (24),9.00,1932,R
20,21.,Joe Morgan+ (32),8.93,1976,L
21,22.,Carl Yastrzemski+ (27),8.86,1967,L
22,23.,Hank Aaron+ (29),8.84,1963,R
23,24.,Lou Gehrig+ (29),8.82,1932,L
24,25.,Mark McGwire (34),8.79,1998,R
25,26.,Babe Ruth+ (33),8.74,1928,L
26,27.,Ted Williams+ (22),8.70,1941,L
27,28.,Babe Ruth+ (31),8.64,1926,L
28,29.,Norm Cash (27),8.61,1961,L
29,30.,Lou Gehrig+ (28),8.60,1931,L
30,31.,Willie McCovey+ (31),8.59,1969,L
31,31.,Tris Speaker+ (35),8.59,1923,L
32,33.,Stan Musial+ (27),8.53,1948,L
33,34.,Sammy Sosa (32),8.51,2001,R
34,35.,Lou Gehrig+ (34),8.46,1937,L
35,36.,Babe Ruth+ (35),8.45,1930,L
36,37.,Lou Gehrig+ (33),8.44,1936,L
37,38.,Ted Williams+ (30),8.35,1949,L
38,39.,Barry Bonds (28),8.32,1993,L
39,40.,Harmon Killebrew+ (33),8.28,1969,R
40,40.,Joe Torre+ (30),8.28,1971,R
41,42.,Jason Giambi (29),8.24,2000,L
42,43.,Jason Giambi (30),8.22,2001,L
43,43.,Joe Morgan+ (31),8.22,1975,L
44,45.,Joe Medwick+ (25),8.21,1937,R
45,45.,Al Rosen (29),8.21,1953,R
46,47.,Ted Williams+ (38),8.20,1957,L
47,48.,Al Simmons+ (28),8.12,1930,R
48,49.,Joe Morgan+ (28),8.08,1972,L
49,50.,Dick Allen (30),7.94,1972,R
50,50.,Joe DiMaggio+ (26),7.94,1941,R
51,50.,Jimmie Foxx+ (25),7.94,1933,R
52,53.,Ted Williams+ (32),7.87,1951,L
53,54.,Barry Bonds (38),7.85,2003,L
54,54.,Joe DiMaggio+ (22),7.85,1937,R
55,56.,Ted Williams+ (27),7.84,1946,L
56,57.,Jimmie Foxx+ (30),7.74,1938,R
57,57.,Babe Ruth+ (34),7.74,1929,L
58,59.,Frank Robinson+ (30),7.70,1966,R
59,60.,Roberto Clemente+ (32),7.66,1967,R
60,60.,Mickey Mantle+ (30),7.66,1962,B
61,62.,Chuck Klein+ (28),7.65,1933,L
62,63.,Rod Carew+ (31),7.63,1977,L
63,64.,Todd Helton (26),7.59,2000,L
64,65.,Ted Williams+ (35),7.56,1954,L
65,66.,Barry Bonds (27),7.53,1992,L
66,66.,Billy Williams+ (34),7.53,1972,L
67,68.,Alex Rodriguez (31),7.52,2007,R
68,69.,Will Clark (25),7.51,1989,L
69,70.,Jim Gentile (27),7.50,1961,L
70,71.,Gary Sheffield (27),7.49,1996,R
71,72.,George Brett+ (27),7.48,1980,L
72,72.,Reggie Jackson+ (23),7.48,1969,L
73,72.,Albert Pujols (29),7.48,2009,R
74,75.,Babe Ruth+ (37),7.47,1932,L
75,76.,Mel Ott+ (20),7.40,1929,L
76,77.,Carlos Delgado (28),7.35,2000,L
77,77.,Bryce Harper (22),7.35,2015,L
78,79.,Larry Walker+ (30),7.32,1997,L
79,80.,Mike Trout (21),7.30,2013,R
80,81.,Hank Aaron+ (23),7.29,1957,R
81,82.,Albert Pujols (23),7.28,2003,R
82,83.,Tony Gwynn+ (37),7.27,1997,L
83,84.,Edgar Martinez+ (32),7.25,1995,R
84,85.,Miguel Cabrera (30),7.23,2013,R
85,85.,Bobby Murcer (25),7.23,1971,L
86,87.,Willie Stargell+ (31),7.21,1971,L
87,88.,Mel Ott+ (25),7.20,1934,L
88,89.,Willie Mays+ (27),7.17,1958,R
89,89.,Mel Ott+ (27),7.17,1936,L
90,91.,Jack Fournier (35),7.16,1925,L
91,91.,Tris Speaker+ (32),7.16,1920,L
92,93.,Rogers Hornsby+ (28),7.15,1924,R
93,94.,Rogers Hornsby+ (31),7.12,1927,R
94,95.,Hank Greenberg+ (26),7.09,1937,R
95,95.,Mike Trout (24),7.09,2016,R
96,97.,Hack Wilson+ (30),7.07,1930,R
97,98.,Jimmie Foxx+ (26),7.06,1934,R
98,99.,Stan Musial+ (25),7.05,1946,L
99,100.,Dolph Camilli (34),7.03,1941,L
100,100.,Rogers Hornsby+ (26),7.03,1922,R
101,102.,Frank Thomas+ (29),7.02,1997,R
102,103.,Hank Aaron+ (25),7.01,1959,R
103,104.,Roger Maris (26),7.00,1961,L
104,104.,Frank Robinson+ (26),7.00,1962,R
105,106.,Johnny Mize+ (34),6.99,1947,L
106,106.,Dave Parker (27),6.99,1978,L
107,108.,Barry Bonds (26),6.98,1991,L
108,109.,Eddie Mathews+ (28),6.97,1960,L
109,110.,Frank Howard (33),6.96,1970,R
110,111.,Gary Sheffield (34),6.92,2003,R
111,112.,Carl Yastrzemski+ (30),6.91,1970,L
112,113.,Todd Helton (29),6.90,2003,L
113,113.,Albert Pujols (28),6.90,2008,R
114,113.,Willie Stargell+ (33),6.90,1973,L
115,113.,Darryl Strawberry (25),6.90,1987,L
116,117.,Duke Snider+ (28),6.89,1955,L
117,118.,J.D. Martinez (30),6.88,2018,R
118,119.,Rogers Hornsby+ (29),6.87,1925,R
119,119.,Mickey Mantle+ (26),6.87,1958,B
120,121.,Barry Bonds (33),6.86,1998,L
121,121.,Willie Mays+ (33),6.86,1964,R
122,123.,Lou Gehrig+ (32),6.83,1935,L
123,124.,Rogers Hornsby+ (32),6.82,1928,R
124,125.,Duke Snider+ (26),6.80,1953,L
125,126.,Chris Davis (27),6.79,2013,L
126,126.,Jimmie Foxx+ (27),6.79,1935,R
127,128.,Chuck Klein+ (25),6.77,1930,L
128,129.,Mike Piazza+ (28),6.75,1997,R
129,130.,Prince Fielder (25),6.74,2009,L
130,130.,Joe Medwick+ (24),6.74,1936,R
131,132.,Willie McCovey+ (32),6.72,1970,L
132,133.,Ryan Howard (26),6.70,2006,L
133,133.,David Ortiz (29),6.70,2005,L
134,133.,Alex Rodriguez (29),6.70,2005,R
135,136.,Rogers Hornsby+ (24),6.69,1920,R
136,136.,Johnny Mize+ (29),6.69,1942,L
137,138.,Lance Berkman (26),6.68,2002,B
138,138.,Miguel Cabrera (28),6.68,2011,R
139,140.,Matt Kemp (26),6.67,2011,R
140,141.,Mike Trout (22),6.65,2014,R
141,142.,Paul Goldschmidt (25),6.64,2013,R
