,Rank,Player (age that year),WAR for Pitchers,Year,Throws
0,1.,Pud Galvin+ (27),20.5,1884,R
1,2.,Tim Keefe+ (26),19.9,1883,R
2,3.,Old Hoss Radbourn+ (29),19.1,1884,R
3,4.,Jim Devlin (27),17.7,1876,R
4,5.,John Clarkson+ (27),16.7,1889,R
5,6.,Guy Hecker (28),15.5,1884,R
6,7.,Walter Johnson+ (25),15.1,1913,R
7,8.,Charlie Buffinton (23),14.9,1884,R
8,8.,John Clarkson+ (25),14.9,1887,R
9,10.,Silver King (20),14.7,1888,R
10,11.,Jim McCormick (27),14.5,1884,R
11,12.,Tommy Bond (23),14.3,1879,R
12,13.,Tommy Bond (22),13.9,1878,R
13,13.,Cy Young+ (25),13.9,1892,R
14,15.,Amos Rusie+ (23),13.7,1894,R
15,16.,Ed Morris (22),13.3,1885,L
16,17.,Jim Devlin (28),13.2,1877,R
17,17.,Walter Johnson+ (24),13.2,1912,R
18,17.,Silver King (22),13.2,1890,R
19,20.,Old Hoss Radbourn+ (28),13.1,1883,R
20,21.,John Clarkson+ (23),12.9,1885,R
21,21.,Kid Nichols+ (20),12.9,1890,R
22,23.,Toad Ramsey (21),12.6,1886,L
23,23.,Cy Young+ (34),12.6,1901,R
24,25.,Kid Gleason (23),12.3,1890,R
25,26.,Dwight Gooden (20),12.2,1985,R
26,27.,Charlie Buffinton (27),12.1,1888,R
27,27.,Steve Carlton+ (27),12.1,1972,L
28,27.,Mickey Welch+ (24),12.1,1884,R
29,30.,Kid Nichols+ (23),12.0,1893,R
30,30.,Cy Young+ (28),12.0,1895,R
31,32.,Pete Alexander+ (33),11.9,1920,R
32,32.,Roger Clemens (34),11.9,1997,R
33,34.,Christy Mathewson+ (27),11.8,1908,R
34,34.,Wilbur Wood (29),11.8,1971,L
35,36.,Tommy Bond (21),11.7,1877,R
36,36.,Walter Johnson+ (26),11.7,1914,R
37,36.,Pedro Martinez+ (28),11.7,2000,R
38,36.,Joe McGinnity+ (32),11.7,1903,R
39,40.,Tony Mullane (25),11.6,1884,R
40,41.,Theodore Breitenstein (24),11.5,1893,L
41,41.,Walter Johnson+ (27),11.5,1915,R
42,43.,Eddie Cicotte (33),11.4,1917,R
43,43.,Red Faber+ (32),11.4,1921,R
44,43.,Russ Ford (27),11.4,1910,R
45,43.,Ed Walsh+ (31),11.4,1912,R
46,43.,Jim Whitney (25),11.4,1883,R
47,48.,Charlie Buffinton (28),11.3,1889,R
48,48.,Hal Newhouser+ (24),11.3,1945,L
49,48.,Rube Waddell+ (27),11.3,1904,L
50,51.,Bob Gibson+ (32),11.2,1968,R
51,51.,Lefty Grove+ (36),11.2,1936,L
52,51.,Jim McCormick (25),11.2,1882,R
53,51.,Cy Young+ (26),11.2,1893,R
54,55.,Ed Walsh+ (29),11.1,1910,R
55,56.,Pete Alexander+ (29),11.0,1916,R
56,56.,Pud Galvin+ (26),11.0,1883,R
57,56.,Matt Kilroy (21),11.0,1887,L
58,56.,Billy Rhines (21),11.0,1890,R
59,56.,Amos Rusie+ (22),11.0,1893,R
60,56.,Will White (27),11.0,1882,R
61,62.,Pete Alexander+ (28),10.9,1915,R
62,62.,Ed Morris (23),10.9,1886,L
63,64.,Lady Baldwin (27),10.8,1886,L
64,64.,Jouett Meekin (27),10.8,1894,R
65,64.,Kid Nichols+ (28),10.8,1898,R
66,64.,Gaylord Perry+ (33),10.8,1972,R
67,68.,Clark Griffith+ (28),10.7,1898,R
68,68.,Randy Johnson+ (38),10.7,2002,L
69,68.,Sandy Koufax+ (27),10.7,1963,L
70,68.,Dolf Luque (32),10.7,1923,R
71,68.,Sadie McMahon (22),10.7,1890,R
72,68.,Kid Nichols+ (27),10.7,1897,R
73,68.,Wilbur Wood (30),10.7,1972,L
74,75.,Jack Chesbro+ (30),10.6,1904,R
75,75.,Walter Johnson+ (31),10.6,1919,R
76,75.,Tom Seaver+ (28),10.6,1973,R
77,78.,Charlie Ferguson (23),10.5,1886,R
78,78.,Jim McCormick (23),10.5,1880,R
79,78.,Dazzy Vance+ (33),10.5,1924,R
80,81.,Tommy Bond (20),10.4,1876,R
81,81.,Dan Casey (24),10.4,1887,L
82,81.,Roger Clemens (27),10.4,1990,R
83,81.,Bob Gibson+ (33),10.4,1969,R
84,81.,Zack Greinke (25),10.4,2009,R
85,81.,Lefty Grove+ (30),10.4,1930,L
86,81.,Lefty Grove+ (31),10.4,1931,L
87,81.,Walter Johnson+ (22),10.4,1910,R
88,81.,Walter Johnson+ (30),10.4,1918,R
89,81.,Sam Weaver (22),10.4,1878,R
90,81.,Mickey Welch+ (25),10.4,1885,R
91,92.,Tim Keefe+ (31),10.3,1888,R
92,92.,Sandy Koufax+ (30),10.3,1966,L
93,92.,Juan Marichal+ (27),10.3,1965,R
94,92.,Mike Smith (19),10.3,1887,L
95,92.,Ed Walsh+ (27),10.3,1908,R
96,92.,Vic Willis+ (23),10.3,1899,R
97,98.,Steve Carlton+ (35),10.2,1980,L
