,Rank,Player (age that year),Wins,Year,Throws
0,1.,Old Hoss Radbourn+ (29),60,1884,R
1,2.,John Clarkson+ (23),53,1885,R
2,3.,Guy Hecker (28),52,1884,R
3,4.,John Clarkson+ (27),49,1889,R
4,5.,Charlie Buffinton (23),48,1884,R
5,5.,Old Hoss Radbourn+ (28),48,1883,R
6,7.,Al Spalding+ (25),47,1876,R
7,7.,John Ward+ (19),47,1879,R
8,9.,Pud Galvin+ (26),46,1883,R
9,9.,Pud Galvin+ (27),46,1884,R
10,9.,Matt Kilroy (21),46,1887,L
11,12.,George Bradley (23),45,1876,R
12,12.,Silver King (20),45,1888,R
13,12.,Jim McCormick (23),45,1880,R
14,15.,Bill Hutchison (31),44,1891,R
15,15.,Mickey Welch+ (25),44,1885,R
16,17.,Tommy Bond (23),43,1879,R
17,17.,Larry Corcoran (20),43,1880,R
18,17.,Billy Taylor (29),43,1884,R
19,17.,Will White (24),43,1879,R
20,17.,Will White (28),43,1883,R
21,22.,Lady Baldwin (27),42,1886,L
22,22.,Tim Keefe+ (29),42,1886,R
23,24.,Jack Chesbro+ (30),41,1904,R
24,24.,Dave Foutz (29),41,1886,R
25,24.,Bill Hutchison (30),41,1890,R
26,24.,Tim Keefe+ (26),41,1883,R
27,24.,Ed Morris (23),41,1886,L
28,24.,Charlie Sweeney (21),41,1884,R
29,30.,Tommy Bond (21),40,1877,R
30,30.,Tommy Bond (22),40,1878,R
31,30.,Bob Caruthers (21),40,1885,R
32,30.,Bob Caruthers (25),40,1889,R
33,30.,Jim McCormick (27),40,1884,R
34,30.,Bill Sweeney (26),40,1884,R
35,30.,Ed Walsh+ (27),40,1908,R
36,30.,Will White (27),40,1882,R
37,38.,Ed Morris (22),39,1885,L
38,38.,John Ward+ (20),39,1880,R
39,38.,Mickey Welch+ (24),39,1884,R
40,41.,John Clarkson+ (25),38,1887,R
41,41.,Kid Gleason (23),38,1890,R
42,41.,Toad Ramsey (21),38,1886,L
43,44.,Pud Galvin+ (22),37,1879,R
44,44.,Tim Keefe+ (27),37,1884,R
45,44.,Jack Lynch (27),37,1884,R
46,44.,Christy Mathewson+ (27),37,1908,R
47,44.,Toad Ramsey (22),37,1887,L
48,44.,Jim Whitney (25),37,1883,R
49,50.,John Clarkson+ (24),36,1886,R
50,50.,Bill Hutchison (32),36,1892,R
51,50.,Walter Johnson+ (25),36,1913,R
52,50.,Frank Killen (22),36,1893,L
53,50.,Jim McCormick (25),36,1882,R
54,50.,Sadie McMahon (22),36,1890,R
55,50.,Tony Mullane (25),36,1884,R
56,50.,Amos Rusie+ (23),36,1894,R
57,50.,Cy Young+ (25),36,1892,R
58,59.,Larry Corcoran (24),35,1884,R
59,59.,Jim Devlin (28),35,1877,R
60,59.,Tim Keefe+ (30),35,1887,R
61,59.,Tim Keefe+ (31),35,1888,R
62,59.,Silver King (21),35,1889,R
63,59.,Joe McGinnity+ (33),35,1904,R
64,59.,Sadie McMahon (23),35,1891,R
65,59.,Tony Mullane (24),35,1883,R
66,59.,Kid Nichols+ (22),35,1892,R
67,59.,Ed Seward (21),35,1888,R
68,59.,Jack Stivetts (24),35,1892,R
69,59.,Cy Young+ (28),35,1895,R
70,71.,Larry Corcoran (23),34,1883,R
71,71.,George Haddock (24),34,1891,R
72,71.,Ed Morris (21),34,1884,L
73,71.,Kid Nichols+ (23),34,1893,R
74,71.,Mike Smith (19),34,1887,L
75,71.,Scott Stratton (20),34,1890,R
76,71.,Mickey Welch+ (20),34,1880,R
77,71.,Will White (29),34,1884,R
78,71.,Smoky Joe Wood (22),34,1912,R
79,80.,Pete Alexander+ (29),33,1916,R
80,80.,Mark Baldwin (26),33,1890,R
81,80.,John Clarkson+ (26),33,1888,R
82,80.,John Clarkson+ (29),33,1891,R
83,80.,Dave Foutz (28),33,1885,R
84,80.,Walter Johnson+ (24),33,1912,R
85,80.,Christy Mathewson+ (23),33,1904,R
86,80.,Jouett Meekin (27),33,1894,R
87,80.,Tony Mullane (27),33,1886,R
88,80.,Henry Porter (27),33,1885,R
89,80.,Old Hoss Radbourn+ (27),33,1882,R
90,80.,Amos Rusie+ (20),33,1891,R
91,80.,Amos Rusie+ (22),33,1893,R
92,80.,Jack Stivetts (23),33,1891,R
93,80.,Mickey Welch+ (26),33,1886,R
94,80.,Cy Young+ (26),33,1893,R
95,80.,Cy Young+ (34),33,1901,R
96,97.,Ice Box Chamberlain (21),32,1889,R
97,97.,Jesse Duryea (29),32,1889,R
98,97.,Bob Emslie (25),32,1884,R
99,97.,Tim Keefe+ (28),32,1885,R
100,97.,Silver King (19),32,1887,R
101,97.,Kid Nichols+ (24),32,1894,R
102,97.,Lee Richmond (23),32,1880,L
103,97.,Amos Rusie+ (21),32,1892,R
104,97.,Gus Weyhing (25),32,1892,R
105,97.,Cy Young+ (35),32,1902,R
106,107.,Pete Alexander+ (28),31,1915,R
107,107.,Jim Bagby (30),31,1920,R
108,107.,Tommy Bond (20),31,1876,R
109,107.,Jack Coombs (27),31,1910,R
110,107.,Larry Corcoran (21),31,1881,R
111,107.,Lefty Grove+ (31),31,1931,L
112,107.,Pink Hawley (22),31,1895,R
113,107.,Bill Hoffer (24),31,1895,R
114,107.,Terry Larkin (23),31,1879,R
115,107.,Christy Mathewson+ (24),31,1905,R
116,107.,Jim McCormick (29),31,1886,R
117,107.,Joe McGinnity+ (32),31,1903,R
118,107.,Denny McLain (24),31,1968,R
119,107.,Tony Mullane (28),31,1887,R
120,107.,Kid Nichols+ (27),31,1897,R
121,107.,Kid Nichols+ (28),31,1898,R
122,107.,Gus Weyhing (24),31,1891,R
123,107.,Jim Whitney (23),31,1881,R
124,125.,Pete Alexander+ (30),30,1917,R
125,125.,Bob Caruthers (22),30,1886,R
126,125.,Pete Conway (21),30,1888,R
127,125.,Dizzy Dean+ (24),30,1934,R
128,125.,Jim Devlin (27),30,1876,R
129,125.,Charlie Ferguson (23),30,1886,R
130,125.,Hank Gastright (25),30,1890,R
131,125.,Pretzels Getzien (22),30,1886,R
132,125.,Guy Hecker (29),30,1885,R
133,125.,Frank Killen (25),30,1896,L
134,125.,Silver King (22),30,1890,R
135,125.,Tom Lovett (26),30,1890,R
136,125.,Bobby Mathews (31),30,1883,R
137,125.,Bobby Mathews (32),30,1884,R
138,125.,Bobby Mathews (33),30,1885,R
139,125.,Christy Mathewson+ (22),30,1903,R
140,125.,Tony Mullane (23),30,1882,R
141,125.,Kid Nichols+ (21),30,1891,R
142,125.,Kid Nichols+ (26),30,1896,R
143,125.,Dupee Shaw (25),30,1884,L
144,125.,Gus Weyhing (22),30,1889,R
145,125.,Gus Weyhing (23),30,1890,R
146,125.,Will White (23),30,1878,R
147,148.,Mordecai Brown+ (31),29,1908,R
148,148.,Charlie Buffinton (30),29,1891,R
149,148.,Bob Caruthers (23),29,1887,R
150,148.,Bob Caruthers (24),29,1888,R
151,148.,Eddie Cicotte (35),29,1919,R
152,148.,George Derby (23),29,1881,R
153,148.,Pud Galvin+ (29),29,1886,R
154,148.,Pretzels Getzien (23),29,1887,R
155,148.,George Haddock (25),29,1892,R
156,148.,Claude Hendrix (25),29,1914,R
157,148.,Frank Killen (21),29,1892,L
158,148.,Matt Kilroy (20),29,1886,L
159,148.,Matt Kilroy (23),29,1889,L
160,148.,Terry Larkin (21),29,1877,R
161,148.,Terry Larkin (22),29,1878,R
162,148.,Ed Morris (25),29,1888,L
163,148.,George Mullin (28),29,1909,R
164,148.,Hal Newhouser+ (23),29,1944,L
165,148.,Amos Rusie+ (19),29,1890,R
166,167.,Pete Alexander+ (24),28,1911,R
167,167.,Bob Barr (33),28,1890,R
168,167.,Charlie Buffinton (27),28,1888,R
169,167.,Charlie Buffinton (28),28,1889,R
170,167.,Dan Casey (24),28,1887,L
171,167.,Jack Chesbro+ (28),28,1902,R
172,167.,Eddie Cicotte (33),28,1917,R
173,167.,Jack Coombs (28),28,1911,R
174,167.,Bert Cunningham (32),28,1898,R
175,167.,Nig Cuppy (22),28,1892,R
176,167.,Hugh Daily (36),28,1884,R
177,167.,Dizzy Dean+ (25),28,1935,R
178,167.,Pud Galvin+ (24),28,1881,R
179,167.,Pud Galvin+ (25),28,1882,R
180,167.,Pud Galvin+ (30),28,1887,R
181,167.,Fred Goldsmith (26),28,1882,R
182,167.,Lefty Grove+ (30),28,1930,L
183,167.,Guy Hecker (27),28,1883,R
184,167.,Jay Hughes (25),28,1899,R
185,167.,Walter Johnson+ (26),28,1914,R
186,167.,Tim Keefe+ (32),28,1889,R
187,167.,Phil Knell (26),28,1891,L
188,167.,Jim McCormick (26),28,1883,R
189,167.,Joe McGinnity+ (28),28,1899,R
190,167.,Joe McGinnity+ (29),28,1900,R
191,167.,Jumbo McGinnis (29),28,1883,
192,167.,Old Hoss Radbourn+ (30),28,1885,R
193,167.,Billy Rhines (21),28,1890,R
194,167.,Robin Roberts+ (25),28,1952,R
195,167.,Amos Rusie+ (26),28,1897,R
196,167.,Dazzy Vance+ (33),28,1924,R
197,167.,Gus Weyhing (21),28,1888,R
198,167.,Cy Young+ (29),28,1896,R
199,167.,Cy Young+ (36),28,1903,R
200,201.,Pete Alexander+ (27),27,1914,R
201,201.,Pete Alexander+ (33),27,1920,R
202,201.,Mark Baldwin (25),27,1889,R
203,201.,Theodore Breitenstein (25),27,1894,L
204,201.,Mordecai Brown+ (32),27,1909,R
205,201.,Steve Carlton+ (27),27,1972,L
206,201.,Larry Corcoran (22),27,1882,R
207,201.,Bob Feller+ (21),27,1940,R
208,201.,Pink Hawley (25),27,1898,R
209,201.,Hardie Henderson (21),27,1884,R
210,201.,Walter Johnson+ (27),27,1915,R
211,201.,Addie Joss+ (27),27,1907,R
212,201.,Sandy Koufax+ (30),27,1966,L
213,201.,Dolf Luque (32),27,1923,R
214,201.,Christy Mathewson+ (29),27,1910,R
215,201.,Carl Mays (29),27,1921,R
216,201.,Joe McGinnity+ (35),27,1906,R
217,201.,Doc McJames (23),27,1898,R
218,201.,Don Newcombe (30),27,1956,R
219,201.,Kid Nichols+ (20),27,1890,R
220,201.,Kid Nichols+ (25),27,1895,R
221,201.,Al Orth (33),27,1906,R
222,201.,Togie Pittinger (30),27,1902,R
223,201.,Henry Porter (28),27,1886,R
224,201.,Old Hoss Radbourn+ (31),27,1886,R
225,201.,Old Hoss Radbourn+ (35),27,1890,R
226,201.,Eddie Rommel (24),27,1922,R
227,201.,Tom Seaton (25),27,1913,R
228,201.,Urban Shocker (30),27,1921,R
229,201.,Ed Stein (22),27,1892,R
230,201.,Jack Stivetts (22),27,1890,R
231,201.,Dizzy Trout (29),27,1944,R
232,201.,George Uhle (27),27,1926,R
233,201.,Lee Viau (21),27,1888,R
234,201.,Rube Waddell+ (28),27,1905,L
235,201.,Ed Walsh+ (30),27,1911,R
236,201.,Ed Walsh+ (31),27,1912,R
237,201.,Bucky Walters (30),27,1939,R
238,201.,Bob Welch (33),27,1990,R
239,201.,Mickey Welch+ (29),27,1889,R
240,201.,Doc White (28),27,1907,L
241,201.,Vic Willis+ (23),27,1899,R
242,201.,Vic Willis+ (26),27,1902,R
243,201.,Cy Young+ (24),27,1891,R
244,245.,Mark Baldwin (28),26,1892,R
245,245.,Tommy Bond (24),26,1880,R
246,245.,Mordecai Brown+ (29),26,1906,R
247,245.,Bullet Joe Bush (29),26,1922,R
248,245.,Larry Cheney (26),26,1912,R
249,245.,John Clarkson+ (28),26,1890,R
250,245.,General Crowder (33),26,1932,R
251,245.,Nig Cuppy (25),26,1895,R
252,245.,Ed Daily (22),26,1885,R
253,245.,Bob Feller+ (27),26,1946,R
254,245.,Charlie Ferguson (22),26,1885,R
255,245.,Russ Ford (27),26,1910,R
256,245.,Lefty Gomez+ (25),26,1934,L
257,245.,Clark Griffith+ (25),26,1895,R
258,245.,Guy Hecker (30),26,1886,R
259,245.,Carl Hubbell+ (33),26,1936,L
260,245.,Bill James (22),26,1914,R
261,245.,Fred Klobedanz (26),26,1897,L
262,245.,Sandy Koufax+ (29),26,1965,L
263,245.,Ted Lewis (25),26,1898,R
264,245.,Juan Marichal+ (30),26,1968,R
265,245.,Rube Marquard+ (25),26,1912,L
266,245.,Christy Mathewson+ (30),26,1911,R
267,245.,Carl Mays (28),26,1920,R
268,245.,Jim McCormick (24),26,1881,R
