,Rank,Player (age that year),Walks & Hits per IP,Year,Throws
0,1.,Pedro Martinez+ (28),0.7373,2000,R
1,2.,Kenta Maeda (32),0.7500,2020,R
2,3.,Guy Hecker (26),0.7692,1882,R
3,4.,Walter Johnson+ (25),0.7803,1913,R
4,5.,Trevor Bauer (29),0.7945,2020,R
5,6.,Tim Keefe+ (23),0.8000,1880,R
6,7.,Justin Verlander (36),0.8027,2019,R
7,8.,Addie Joss+ (28),0.8062,1908,R
8,9.,Greg Maddux+ (29),0.8108,1995,R
9,10.,Charlie Sweeney (21),0.8171,1884,R
10,11.,Ed Walsh+ (29),0.8197,1910,R
11,12.,Christy Mathewson+ (27),0.8268,1908,R
12,13.,Christy Mathewson+ (28),0.8281,1909,R
13,14.,George Bradley (27),0.8367,1880,R
14,15.,Mordecai Brown+ (31),0.8420,1908,R
15,16.,Pete Alexander+ (28),0.8423,1915,R
16,17.,Dave McNally (25),0.8425,1968,L
17,18.,Zack Greinke (31),0.8443,2015,R
18,19.,Henry Boyle (23),0.8533,1884,R
19,20.,Bob Gibson+ (32),0.8534,1968,R
20,21.,Sandy Koufax+ (29),0.8550,1965,L
21,22.,Dinelson Lamet (27),0.8551,2020,R
22,23.,Clayton Kershaw (26),0.8571,2014,L
23,24.,Juan Marichal+ (28),0.8590,1966,R
24,25.,Ed Walsh+ (27),0.8599,1908,R
25,26.,Jake Arrieta (29),0.8646,2015,R
26,27.,Denny Driscoll (26),0.8657,1882,L
27,28.,Shane Bieber (25),0.8664,2020,R
28,29.,Cy Young+ (38),0.8669,1905,R
29,30.,Guy Hecker (28),0.8678,1884,R
30,31.,Corey Kluber (31),0.8691,2017,R
31,32.,Luis Tiant (27),0.8710,1968,R
32,33.,Roger Nelson (28),0.8712,1972,R
33,34.,Mordecai Brown+ (32),0.8726,1909,R
34,35.,Silver King (20),0.8740,1888,R
35,36.,Sandy Koufax+ (27),0.8746,1963,L
36,37.,Russ Ford (27),0.8810,1910,R
37,38.,Clayton Kershaw (27),0.8811,2015,L
38,39.,Dutch Leonard (22),0.8858,1914,L
39,40.,George Bradley (23),0.8866,1876,R
40,41.,Jim Whitney (26),0.8899,1884,R
41,42.,Cy Young+ (41),0.8930,1908,R
42,43.,Gerrit Cole (28),0.8948,2019,R
43,44.,Greg Maddux+ (28),0.8960,1994,R
44,45.,Babe Adams (37),0.8962,1919,R
45,46.,Ed Morris (21),0.8984,1884,L
46,47.,Randy Johnson+ (40),0.8996,2004,L
47,48.,Justin Verlander (35),0.9019,2018,R
48,49.,Tommy Bond (20),0.9020,1876,R
49,49.,Max Scherzer (32),0.9020,2017,R
50,51.,Doc White (27),0.9027,1906,L
51,52.,Denny McLain (24),0.9048,1968,R
52,53.,Walter Johnson+ (24),0.9079,1912,R
53,54.,Max Scherzer (33),0.9109,2018,R
54,55.,Eddie Cicotte (33),0.9115,1917,R
55,56.,Jacob deGrom (30),0.9124,2018,R
56,57.,Don Sutton+ (27),0.9132,1972,R
57,58.,Walter Johnson+ (22),0.9135,1910,R
58,59.,Catfish Hunter+ (26),0.9142,1972,R
59,59.,Juan Marichal+ (27),0.9142,1965,R
60,61.,Felix Hernandez (28),0.9153,2014,R
61,61.,Clayton Kershaw (25),0.9153,2013,L
62,63.,Chief Bender+ (26),0.9160,1910,R
63,64.,John Ward+ (20),0.9176,1880,R
64,65.,Max Scherzer (30),0.9184,2015,R
65,66.,Bob Caruthers (20),0.9194,1884,R
66,67.,Lady Baldwin (26),0.9201,1885,L
67,68.,Justin Verlander (28),0.9203,2011,R
68,69.,Johan Santana (25),0.9211,2004,L
69,70.,Old Hoss Radbourn+ (29),0.9224,1884,R
70,71.,Mike Scott (31),0.9225,1986,R
71,72.,Pedro Martinez+ (30),0.9231,2002,R
72,73.,Pedro Martinez+ (27),0.9234,1999,R
73,74.,Pete Alexander+ (32),0.9277,1919,R
74,75.,Sandy Koufax+ (28),0.9283,1964,L
75,76.,Matt Harvey (24),0.9308,2013,R
76,77.,Jack Lynch (27),0.9315,1884,R
77,78.,Pedro Martinez+ (25),0.9323,1997,R
78,79.,Addie Joss+ (26),0.9326,1906,R
79,80.,Walter Johnson+ (27),0.9327,1915,R
80,81.,Bill Burns (28),0.9329,1908,L
81,82.,Christy Mathewson+ (24),0.9331,1905,R
82,83.,Tim Keefe+ (27),0.9337,1884,R
83,84.,Mordecai Brown+ (29),0.9339,1906,R
84,85.,Russ Ford (31),0.9340,1914,R
85,86.,Joe Horlen (26),0.9351,1964,R
86,87.,Claude Hendrix (25),0.9365,1914,R
87,88.,Cy Young+ (37),0.9368,1904,R
88,89.,Jack Chesbro+ (30),0.9370,1904,R
89,90.,Tim Keefe+ (31),0.9371,1888,R
90,91.,Larry Corcoran (20),0.9378,1880,R
91,91.,Ed Walsh+ (28),0.9378,1909,R
92,93.,John Tudor (31),0.9382,1985,L
93,94.,Harry Krause (20),0.9390,1909,L
94,95.,Pascual Perez (31),0.9415,1988,R
95,95.,Jack Pfiester (28),0.9415,1906,L
96,97.,Reb Russell (27),0.9420,1916,L
97,98.,Bill Bernhard (31),0.9425,1902,R
98,99.,Addie Joss+ (29),0.9437,1909,R
99,100.,Kevin Brown (31),0.9442,1996,R
100,100.,Mordecai Brown+ (30),0.9442,1907,R
101,102.,Greg Maddux+ (31),0.9456,1997,R
102,103.,Warren Hacker (27),0.9459,1952,R
103,104.,Ron Guidry (27),0.9464,1978,L
