,Rank,Player (age that year),Strikeouts per 9 IP,Year,Throws
0,1.,Shane Bieber (25),14.1983,2020,R
1,2.,Gerrit Cole (28),13.8179,2019,R
2,3.,Jacob deGrom (32),13.7647,2020,R
3,4.,Randy Johnson+ (37),13.4099,2001,L
4,5.,Pedro Martinez+ (27),13.2047,1999,R
5,6.,Chris Sale (28),12.9331,2017,L
6,7.,Max Scherzer (34),12.6905,2019,R
7,8.,Kerry Wood (21),12.5820,1998,R
8,9.,Randy Johnson+ (36),12.5590,2000,L
9,10.,Jose Fernandez (23),12.4881,2016,R
10,11.,Gerrit Cole (27),12.3993,2018,R
11,12.,Randy Johnson+ (31),12.3453,1995,L
12,13.,Trevor Bauer (29),12.3288,2020,R
13,14.,Max Scherzer (35),12.2970,2020,R
14,15.,Randy Johnson+ (33),12.2958,1997,L
15,16.,Max Scherzer (33),12.2356,2018,R
16,17.,Justin Verlander (35),12.1963,2018,R
17,18.,Robbie Ray (27),12.1319,2019,L
18,19.,Dinelson Lamet (27),12.1304,2020,R
19,20.,Randy Johnson+ (34),12.1187,1998,L
20,21.,Aaron Nola (27),12.1121,2020,R
21,22.,Robbie Ray (25),12.1111,2017,L
22,23.,Justin Verlander (36),12.1076,2019,R
23,24.,Lucas Giolito (25),12.0691,2020,R
24,25.,Randy Johnson+ (35),12.0589,1999,L
25,26.,Max Scherzer (32),12.0199,2017,R
26,27.,Yu Darvish (26),11.8903,2013,R
27,28.,Chris Sale (26),11.8179,2015,L
28,29.,Pedro Martinez+ (28),11.7788,2000,R
29,30.,Corey Kluber (31),11.7103,2017,R
30,31.,Clayton Kershaw (27),11.6433,2015,L
31,32.,Lucas Giolito (24),11.6151,2019,R
32,33.,Gerrit Cole (29),11.5890,2020,R
33,34.,Randy Johnson+ (38),11.5615,2002,L
34,35.,Matthew Boyd (28),11.5576,2019,L
35,36.,Yu Darvish (32),11.5354,2019,R
36,37.,Nolan Ryan+ (40),11.4803,1987,R
37,38.,Luis Castillo (27),11.4429,2020,R
38,39.,Dwight Gooden (19),11.3945,1984,R
39,40.,Pedro Martinez+ (25),11.3743,1997,R
40,41.,Kerry Wood (26),11.3460,2003,R
41,42.,Trevor Bauer (27),11.3441,2018,R
42,43.,Nolan Ryan+ (42),11.3189,1989,R
43,44.,Curt Schilling (30),11.2883,1997,R
44,45.,Robbie Ray (24),11.2543,2016,L
45,46.,Jacob deGrom (31),11.2500,2019,R
46,47.,Kerry Wood (24),11.2027,2001,R
47,48.,Max Scherzer (31),11.1942,2016,R
48,49.,Jacob deGrom (30),11.1567,2018,R
49,50.,Chris Archer (28),11.1493,2017,R
50,51.,Brandon Woodruff (27),11.1176,2020,R
51,52.,Hideo Nomo (26),11.1010,1995,R
52,53.,Charlie Morton (35),11.0959,2019,R
53,54.,Max Scherzer (27),11.0782,2012,R
54,55.,Patrick Corbin (28),11.0700,2018,L
55,56.,Yu Darvish (33),11.0132,2020,R
56,57.,Blake Snell (25),11.0092,2018,L
57,58.,Oliver Perez (22),10.9745,2004,L
58,59.,Curt Schilling (35),10.9666,2002,R
59,60.,Erik Bedard (28),10.9286,2007,L
60,61.,Shane Bieber (24),10.8756,2019,R
61,62.,Max Scherzer (30),10.8630,2015,R
62,63.,Randy Johnson+ (29),10.8564,1993,L
63,64.,Carlos Carrasco (33),10.8529,2020,R
64,65.,Clayton Kershaw (26),10.8454,2014,L
65,66.,Charlie Morton (34),10.8323,2018,R
66,67.,Carlos Carrasco (31),10.8281,2018,R
67,68.,Stephen Strasburg (30),10.8086,2019,R
68,69.,Kenta Maeda (32),10.8000,2020,R
