,Rank,Player (age that year),Saves,Year,Throws
0,1.,Francisco Rodriguez (26),62,2008,R
1,2.,Edwin Diaz (24),57,2018,R
2,2.,Bobby Thigpen (26),57,1990,R
3,4.,Eric Gagne (27),55,2003,R
4,4.,John Smoltz+ (35),55,2002,R
5,6.,Trevor Hoffman+ (30),53,1998,R
6,6.,Randy Myers (30),53,1993,L
7,6.,Mariano Rivera+ (34),53,2004,R
8,9.,Eric Gagne (26),52,2002,R
9,10.,Rod Beck (29),51,1998,R
10,10.,Dennis Eckersley+ (37),51,1992,R
11,10.,Jeurys Familia (26),51,2016,R
12,10.,Jim Johnson (29),51,2012,R
13,10.,Mark Melancon (30),51,2015,R
14,15.,Jim Johnson (30),50,2013,R
15,15.,Craig Kimbrel (25),50,2013,R
16,15.,Mariano Rivera+ (31),50,2001,R
17,18.,Francisco Cordero (29),49,2004,R
18,18.,Jose Valverde (33),49,2011,R
19,20.,Rod Beck (24),48,1993,R
20,20.,Dennis Eckersley+ (35),48,1990,R
21,20.,Brian Fuentes (33),48,2009,L
22,20.,Fernando Rodney (35),48,2012,R
23,20.,Fernando Rodney (37),48,2014,R
24,20.,Trevor Rosenthal (25),48,2015,R
25,20.,Jeff Shaw (31),48,1998,R
26,20.,Brian Wilson (28),48,2010,R
27,28.,Heath Bell (32),47,2010,R
28,28.,Armando Benitez (31),47,2004,R
29,28.,Zack Britton (28),47,2016,L
30,28.,Alex Colome (28),47,2017,R
31,28.,Chad Cordero (23),47,2005,R
32,28.,Greg Holland (27),47,2013,R
33,28.,Jason Isringhausen (31),47,2004,R
34,28.,Kenley Jansen (28),47,2016,R
35,28.,Craig Kimbrel (26),47,2014,R
36,28.,Mark Melancon (31),47,2016,R
37,28.,Joe Nathan (34),47,2009,R
38,28.,Francisco Rodriguez (24),47,2006,R
39,28.,Lee Smith+ (33),47,1991,R
40,28.,Jose Valverde (29),47,2007,R
41,42.,John Axford (28),46,2011,R
42,42.,Tom Gordon (30),46,1998,R
43,42.,Bryan Harvey (28),46,1991,R
44,42.,Trevor Hoffman+ (38),46,2006,R
45,42.,Greg Holland (28),46,2014,R
46,42.,Craig Kimbrel (23),46,2011,R
47,42.,Jose Mesa (29),46,1995,R
48,42.,Dave Righetti (27),46,1986,L
49,42.,Lee Smith+ (35),46,1993,R
50,42.,Mike Williams (33),46,2002,R
51,52.,Antonio Alfonseca (28),45,2000,R
52,52.,Joe Borowski (36),45,2007,R
53,52.,Dennis Eckersley+ (33),45,1988,R
54,52.,Eric Gagne (28),45,2004,R
55,52.,Eddie Guardado (31),45,2002,L
56,52.,Bryan Harvey (30),45,1993,R
57,52.,Jose Mesa (36),45,2002,R
58,52.,Jeff Montgomery (31),45,1993,R
59,52.,Randy Myers (34),45,1997,L
60,52.,Robb Nen (31),45,2001,R
61,52.,J.J. Putz (34),45,2011,R
62,52.,Dan Quisenberry (30),45,1983,R
63,52.,Mariano Rivera+ (29),45,1999,R
64,52.,Francisco Rodriguez (23),45,2005,R
65,52.,Trevor Rosenthal (24),45,2014,R
66,52.,Kazuhiro Sasaki (33),45,2001,R
67,52.,John Smoltz+ (36),45,2003,R
68,52.,Rafael Soriano (30),45,2010,R
69,52.,Bruce Sutter+ (31),45,1984,R
70,52.,Duane Ward (29),45,1993,R
71,52.,Bob Wickman (36),45,2005,R
72,73.,Jeff Brantley (32),44,1996,R
73,73.,Francisco Cordero (32),44,2007,R
74,73.,Mark Davis (28),44,1989,L
75,73.,Kenley Jansen (26),44,2014,R
76,73.,Billy Koch (27),44,2002,R
77,73.,Joe Nathan (29),44,2004,R
78,73.,Dan Quisenberry (31),44,1984,R
79,73.,Mariano Rivera+ (39),44,2009,R
80,73.,Mariano Rivera+ (41),44,2011,R
81,73.,Mariano Rivera+ (43),44,2013,R
82,73.,Francisco Rodriguez (32),44,2014,R
83,73.,Francisco Rodriguez (34),44,2016,R
84,73.,John Smoltz+ (37),44,2004,R
