,Rank,Player (age that year),Games Started,Year,Throws
0,1.,Pud Galvin+ (26),75,1883,R
1,1.,Will White (24),75,1879,R
2,3.,Jim McCormick (23),74,1880,R
3,4.,Guy Hecker (28),73,1884,R
4,4.,Old Hoss Radbourn+ (29),73,1884,R
5,6.,John Clarkson+ (27),72,1889,R
6,6.,Pud Galvin+ (27),72,1884,R
7,8.,John Clarkson+ (23),70,1885,R
8,8.,Bill Hutchison (32),70,1892,R
9,10.,Matt Kilroy (21),69,1887,L
10,11.,Jim Devlin (27),68,1876,R
11,11.,Tim Keefe+ (26),68,1883,R
12,11.,Matt Kilroy (20),68,1886,L
13,11.,Old Hoss Radbourn+ (28),68,1883,R
14,15.,Charlie Buffinton (23),67,1884,R
15,15.,Jim McCormick (25),67,1882,R
16,15.,Toad Ramsey (21),67,1886,L
17,15.,John Ward+ (20),67,1880,R
18,19.,Pud Galvin+ (22),66,1879,R
19,19.,Bill Hutchison (30),66,1890,R
20,19.,Lee Richmond (23),66,1880,L
21,19.,Dupee Shaw (25),66,1884,L
22,23.,Jim McCormick (27),65,1884,R
23,23.,Tony Mullane (25),65,1884,R
24,23.,Mickey Welch+ (24),65,1884,R
25,23.,Will White (28),65,1883,R
26,27.,Tommy Bond (23),64,1879,R
27,27.,George Bradley (23),64,1876,R
28,27.,Tim Keefe+ (29),64,1886,R
29,27.,Silver King (20),64,1888,R
30,27.,Toad Ramsey (22),64,1887,L
31,27.,Mickey Welch+ (20),64,1880,R
32,33.,Ed Morris (22),63,1885,L
33,33.,Ed Morris (23),63,1886,L
34,33.,Jim Whitney (23),63,1881,R
35,36.,Amos Rusie+ (19),62,1890,R
36,36.,Amos Rusie+ (21),62,1892,R
37,36.,Will White (25),62,1880,R
38,39.,Jersey Bakley (24),61,1888,R
39,39.,John Coleman (20),61,1883,R
40,39.,Jim Devlin (28),61,1877,R
41,39.,Hardie Henderson (22),61,1885,R
42,43.,Larry Corcoran (20),60,1880,R
43,43.,Jim McCormick (22),60,1879,R
44,43.,Larry McKeon (18),60,1884,
45,43.,Al Spalding+ (25),60,1876,R
46,43.,Bill Sweeney (26),60,1884,R
47,43.,John Ward+ (19),60,1879,R
48,49.,Mark Baldwin (25),59,1889,R
49,49.,Tommy Bond (22),59,1878,R
50,49.,John Clarkson+ (25),59,1887,R
51,49.,Larry Corcoran (24),59,1884,R
52,49.,Frank Mountain (23),59,1883,R
53,49.,Billy Taylor (29),59,1884,R
54,49.,Mickey Welch+ (26),59,1886,R
55,56.,Tommy Bond (21),58,1877,R
56,56.,Hugh Daily (36),58,1884,R
57,56.,Bill Hutchison (31),58,1891,R
58,56.,Tim Keefe+ (27),58,1884,R
59,56.,Terry Larkin (23),58,1879,R
60,56.,Jim McCormick (24),58,1881,R
61,56.,Sadie McMahon (23),58,1891,R
62,56.,Old Hoss Radbourn+ (31),58,1886,R
63,64.,Tommy Bond (24),57,1880,R
64,64.,Dave Foutz (29),57,1886,R
65,64.,Sadie McMahon (22),57,1890,R
66,64.,Amos Rusie+ (20),57,1891,R
67,64.,Ed Seward (21),57,1888,R
68,69.,Lady Baldwin (27),56,1886,L
69,69.,Mark Baldwin (26),56,1890,R
70,69.,Tim Keefe+ (30),56,1887,R
71,69.,Matt Kilroy (23),56,1889,L
72,69.,Silver King (22),56,1890,R
73,69.,Terry Larkin (21),56,1877,R
74,69.,Terry Larkin (22),56,1878,R
75,69.,Bobby Mathews (24),56,1876,R
76,69.,Tony Mullane (27),56,1886,R
77,69.,Jack Stivetts (23),56,1891,R
78,69.,Charlie Sweeney (21),56,1884,R
79,69.,Jim Whitney (25),56,1883,R
80,81.,John Clarkson+ (24),55,1886,R
81,81.,George Derby (23),55,1881,R
82,81.,Kid Gleason (23),55,1890,R
83,81.,Ed Morris (25),55,1888,L
84,81.,Tony Mullane (23),55,1882,R
85,81.,Phenomenal Smith (22),55,1887,L
86,81.,Adonis Terry (19),55,1884,R
87,81.,Mickey Welch+ (25),55,1885,R
88,81.,Gus Weyhing (20),55,1887,R
89,90.,Bob Barr (33),54,1890,R
90,90.,Ed Beatin (23),54,1890,L
91,90.,George Bradley (26),54,1879,R
92,90.,John Clarkson+ (26),54,1888,R
93,90.,Pud Galvin+ (23),54,1880,R
94,90.,Harry McCormick (23),54,1879,R
95,90.,Henry Porter (27),54,1885,R
96,90.,Henry Porter (30),54,1888,R
97,90.,Will White (27),54,1882,R
98,99.,Mark Baldwin (28),53,1892,R
99,99.,Kid Carsey (18),53,1891,R
100,99.,Bob Caruthers (21),53,1885,R
101,99.,Larry Corcoran (23),53,1883,R
102,99.,Pud Galvin+ (24),53,1881,R
103,99.,Guy Hecker (29),53,1885,R
104,99.,Silver King (21),53,1889,R
105,99.,Jack Lynch (27),53,1884,R
106,99.,Gus Weyhing (22),53,1889,R
107,108.,Guy Hecker (27),52,1883,R
108,108.,Hardie Henderson (21),52,1884,R
109,108.,Frank Killen (21),52,1892,L
110,108.,Phil Knell (26),52,1891,L
111,108.,Al Mays (22),52,1887,R
112,108.,Ed Morris (21),52,1884,L
113,108.,Lee Richmond (24),52,1881,L
114,108.,Amos Rusie+ (22),52,1893,R
115,108.,Ed Seward (20),52,1887,R
116,108.,Mike Smith (19),52,1887,L
117,108.,Mickey Welch+ (23),52,1883,R
118,108.,Will White (23),52,1878,R
119,108.,Will White (29),52,1884,R
120,121.,Mark Baldwin (27),51,1891,R
121,121.,Theodore Breitenstein (26),51,1895,L
122,121.,Ice Box Chamberlain (21),51,1889,R
123,121.,Jack Chesbro+ (30),51,1904,R
124,121.,John Clarkson+ (29),51,1891,R
125,121.,Bert Cunningham (22),51,1888,R
126,121.,Pud Galvin+ (25),51,1882,R
127,121.,Tim Keefe+ (31),51,1888,R
128,121.,Kid Nichols+ (22),51,1892,R
129,121.,Old Hoss Radbourn+ (27),51,1882,R
130,121.,Fleury Sullivan (22),51,1884,
131,121.,Gus Weyhing (24),51,1891,R
132,121.,Stump Weidman (25),51,1886,R
133,134.,Theodore Breitenstein (25),50,1894,L
134,134.,Charlie Buffinton (24),50,1885,R
135,134.,Bob Caruthers (25),50,1889,R
136,134.,Ed Daily (22),50,1885,R
137,134.,Bob Emslie (25),50,1884,R
138,134.,Pud Galvin+ (29),50,1886,R
139,134.,Pud Galvin+ (31),50,1888,R
140,134.,Pink Hawley (22),50,1895,R
141,134.,Frank Killen (25),50,1896,L
142,134.,Jack Lynch (29),50,1886,R
143,134.,Old Hoss Radbourn+ (32),50,1887,R
144,134.,Amos Rusie+ (23),50,1894,R
145,134.,Jim Whitney (27),50,1885,R
146,147.,Ice Box Chamberlain (24),49,1892,R
147,147.,Bobby Mathews (32),49,1884,R
148,147.,Jouett Meekin (27),49,1894,R
149,147.,Tony Mullane (24),49,1883,R
150,147.,Old Hoss Radbourn+ (30),49,1885,R
151,147.,Dupee Shaw (26),49,1885,L
152,147.,Scott Stratton (20),49,1890,R
153,147.,Ed Walsh+ (27),49,1908,R
154,147.,Gus Weyhing (25),49,1892,R
155,147.,Wilbur Wood (30),49,1972,L
156,147.,Cy Young+ (25),49,1892,R
157,158.,Bob Barr (27),48,1884,R
158,158.,Jesse Duryea (29),48,1889,R
159,158.,Frank Foreman (26),48,1889,R
160,158.,Pud Galvin+ (30),48,1887,R
161,158.,Guy Hecker (30),48,1886,R
162,158.,Frank Killen (22),48,1893,L
163,158.,Bobby Mathews (33),48,1885,R
164,158.,Joe McGinnity+ (32),48,1903,R
165,158.,Tony Mullane (28),48,1887,R
166,158.,Kid Nichols+ (21),48,1891,R
167,158.,Henry Porter (28),48,1886,R
168,158.,Jack Stivetts (24),48,1892,R
169,158.,Jim Whitney (24),48,1882,R
170,158.,Wilbur Wood (31),48,1973,L
171,172.,George Cobb (26),47,1892,L
172,172.,Charlie Ferguson (21),47,1884,R
173,172.,George Haddock (24),47,1891,R
174,172.,Silver King (24),47,1892,R
175,172.,Tony Mullane (32),47,1891,R
176,172.,Kid Nichols+ (20),47,1890,R
177,172.,Amos Rusie+ (24),47,1895,R
178,172.,Harry Staley (22),47,1889,R
179,172.,Harry Staley (23),47,1890,R
180,172.,Park Swartzel (23),47,1889,R
181,172.,Jack Taylor (25),47,1898,R
182,172.,Mickey Welch+ (28),47,1888,R
183,172.,Gus Weyhing (21),47,1888,R
184,172.,Jim Whitney (29),47,1887,R
185,172.,Stump Weidman (22),47,1883,R
186,172.,Cy Young+ (27),47,1894,R
187,188.,Al Atkinson (23),46,1884,R
188,188.,Charlie Buffinton (27),46,1888,R
189,188.,Ice Box Chamberlain (23),46,1891,R
190,188.,Dave Davenport (25),46,1915,R
191,188.,Dave Foutz (28),46,1885,R
192,188.,Pretzels Getzien (24),46,1888,R
193,188.,Egyptian Healy (23),46,1890,R
194,188.,Tim Keefe+ (28),46,1885,R
195,188.,Christy Mathewson+ (23),46,1904,R
196,188.,Sadie McMahon (24),46,1892,R
197,188.,Kid Nichols+ (24),46,1894,R
198,188.,Hank O'Day+ (28),46,1888,R
199,188.,Lee Richmond (25),46,1882,L
200,188.,Jack Stivetts (22),46,1890,R
201,188.,Tom Vickery (23),46,1890,R
202,188.,Rube Waddell+ (27),46,1904,L
203,188.,Ed Walsh+ (26),46,1907,R
204,188.,Sam Weaver (27),46,1883,R
205,188.,Gus Weyhing (23),46,1890,R
206,188.,Vic Willis+ (26),46,1902,R
207,188.,Cy Young+ (24),46,1891,R
208,188.,Cy Young+ (26),46,1893,R
209,188.,Cy Young+ (29),46,1896,R
210,211.,Pete Alexander+ (29),45,1916,R
211,211.,Al Atkinson (25),45,1886,R
212,211.,Jersey Bakley (20),45,1884,R
213,211.,Tommy Bond (20),45,1876,R
214,211.,Henry Boyle (28),45,1889,R
215,211.,Dan Casey (24),45,1887,L
216,211.,Pete Conway (21),45,1888,R
217,211.,Billy Crowell (21),45,1887,R
218,211.,Charlie Ferguson (22),45,1885,R
219,211.,Charlie Ferguson (23),45,1886,R
220,211.,Hank Gastright (25),45,1890,R
221,211.,Kid Gleason (25),45,1892,R
222,211.,Kid Gleason (26),45,1893,R
223,211.,Fred Goldsmith (26),45,1882,R
224,211.,Fred Goldsmith (27),45,1883,R
225,211.,Ad Gumbert (24),45,1892,R
226,211.,John Harkins (25),45,1884,R
227,211.,Tim Keefe+ (24),45,1881,R
228,211.,Tim Keefe+ (32),45,1889,R
229,211.,Mickey Lolich (30),45,1971,L
