,Rank,Player (age that year),Shutouts,Year,Throws
0,1.,Pete Alexander+ (29),16,1916,R
1,1.,George Bradley (23),16,1876,R
2,3.,Jack Coombs (27),13,1910,R
3,3.,Bob Gibson+ (32),13,1968,R
4,5.,Pete Alexander+ (28),12,1915,R
5,5.,Pud Galvin+ (27),12,1884,R
6,5.,Ed Morris (23),12,1886,L
7,8.,Tommy Bond (23),11,1879,R
8,8.,Dean Chance (23),11,1964,R
9,8.,Dave Foutz (29),11,1886,R
10,8.,Walter Johnson+ (25),11,1913,R
11,8.,Sandy Koufax+ (27),11,1963,L
12,8.,Christy Mathewson+ (27),11,1908,R
13,8.,Old Hoss Radbourn+ (29),11,1884,R
14,8.,Ed Walsh+ (27),11,1908,R
15,16.,John Clarkson+ (23),10,1885,R
16,16.,Mort Cooper (29),10,1942,R
17,16.,Dave Davenport (25),10,1915,R
18,16.,Bob Feller+ (27),10,1946,R
19,16.,Carl Hubbell+ (30),10,1933,L
20,16.,Bob Lemon+ (27),10,1948,R
21,16.,Juan Marichal+ (27),10,1965,R
22,16.,Jim McCormick (27),10,1884,R
23,16.,Jim Palmer+ (29),10,1975,R
24,16.,John Tudor (31),10,1985,L
25,16.,Ed Walsh+ (25),10,1906,R
26,16.,Smoky Joe Wood (22),10,1912,R
27,16.,Cy Young+ (37),10,1904,R
28,29.,Pete Alexander+ (26),9,1913,R
29,29.,Pete Alexander+ (32),9,1919,R
30,29.,Bert Blyleven+ (22),9,1973,R
31,29.,Tommy Bond (22),9,1878,R
32,29.,Mordecai Brown+ (29),9,1906,R
33,29.,Mordecai Brown+ (31),9,1908,R
34,29.,Stan Coveleski+ (27),9,1917,R
35,29.,George Derby (23),9,1881,R
36,29.,Cy Falkenberg (34),9,1914,R
37,29.,Ron Guidry (27),9,1978,L
38,29.,Walter Johnson+ (26),9,1914,R
39,29.,Addie Joss+ (26),9,1906,R
40,29.,Addie Joss+ (28),9,1908,R
41,29.,Bill Lee (28),9,1938,R
42,29.,Joe McGinnity+ (33),9,1904,R
43,29.,Denny McLain (25),9,1969,R
44,29.,Orval Overall (28),9,1909,R
45,29.,Bob Porterfield (29),9,1953,R
46,29.,Babe Ruth+ (21),9,1916,L
47,29.,Nolan Ryan+ (25),9,1972,R
48,29.,Don Sutton+ (27),9,1972,R
49,29.,Luis Tiant (27),9,1968,R
50,29.,Cy Young+ (25),9,1892,R
51,52.,Babe Adams (38),8,1920,R
52,52.,Pete Alexander+ (30),8,1917,R
53,52.,Jim Bagby (27),8,1917,R
54,52.,Steve Barber (23),8,1961,L
55,52.,Tim Belcher (27),8,1989,R
56,52.,Vida Blue (21),8,1971,L
57,52.,Mordecai Brown+ (32),8,1909,R
58,52.,Charlie Buffinton (23),8,1884,R
59,52.,Bullet Joe Bush (23),8,1916,R
60,52.,Steve Carlton+ (27),8,1972,L
61,52.,Jack Chesbro+ (28),8,1902,R
62,52.,John Clarkson+ (27),8,1889,R
63,52.,Roger Clemens (25),8,1988,R
64,52.,Don Drysdale+ (31),8,1968,R
65,52.,Russ Ford (27),8,1910,R
66,52.,Whitey Ford+ (35),8,1964,L
67,52.,Dwight Gooden (20),8,1985,R
68,52.,Orel Hershiser (29),8,1988,R
69,52.,Walter Johnson+ (22),8,1910,R
70,52.,Walter Johnson+ (29),8,1917,R
71,52.,Walter Johnson+ (30),8,1918,R
72,52.,Tim Keefe+ (31),8,1888,R
73,52.,Ed Killian (28),8,1905,L
74,52.,Sandy Koufax+ (29),8,1965,L
75,52.,Lefty Leifield (22),8,1906,L
76,52.,Al Mamaux (21),8,1915,R
77,52.,Juan Marichal+ (31),8,1969,R
78,52.,Christy Mathewson+ (21),8,1902,R
79,52.,Christy Mathewson+ (24),8,1905,R
80,52.,Christy Mathewson+ (26),8,1907,R
81,52.,Christy Mathewson+ (28),8,1909,R
82,52.,Carl Mays (26),8,1918,R
83,52.,Hal Newhouser+ (24),8,1945,L
84,52.,Orval Overall (26),8,1907,R
85,52.,Camilo Pascual (27),8,1961,R
86,52.,Eddie Plank+ (31),8,1907,L
87,52.,Reb Russell (24),8,1913,L
88,52.,Ben Sanders (23),8,1888,R
