,Rank,Player (age that year),Hits,Year,Throws
0,1.,John Coleman (20),772,1883,R
1,2.,Bobby Mathews (24),693,1876,R
2,3.,Pud Galvin+ (26),676,1883,R
3,3.,Will White (24),676,1879,R
4,5.,Jim Devlin (28),617,1877,R
5,6.,George Bradley (26),590,1879,R
6,7.,John Clarkson+ (27),589,1889,R
7,8.,Pud Galvin+ (22),585,1879,R
8,8.,Matt Kilroy (21),585,1887,L
9,8.,Jim McCormick (23),585,1880,R
10,11.,Jim McCormick (22),582,1879,R
11,12.,Mickey Welch+ (20),575,1880,R
12,13.,Tommy Bond (22),571,1878,R
13,13.,Bill Hutchison (32),571,1892,R
14,13.,John Ward+ (19),571,1879,R
15,16.,Jim Devlin (27),566,1876,R
16,16.,Pud Galvin+ (27),566,1884,R
17,18.,Old Hoss Radbourn+ (28),563,1883,R
18,19.,Tommy Bond (24),559,1880,R
19,20.,Al Mays (22),551,1887,R
20,21.,Jim McCormick (25),550,1882,R
21,21.,Will White (25),550,1880,R
22,23.,Stump Weidman (25),549,1886,R
23,24.,Jim Whitney (23),548,1881,R
24,25.,Lee Richmond (24),547,1881,L
25,26.,Pud Galvin+ (24),546,1881,R
26,26.,Frank Mountain (23),546,1883,R
27,28.,Toad Ramsey (22),544,1887,L
28,29.,Tommy Bond (23),543,1879,R
29,30.,Al Spalding+ (25),542,1876,R
30,31.,Billy Crowell (21),541,1887,R
31,31.,Lee Richmond (23),541,1880,L
32,33.,Hardie Henderson (22),539,1885,R
33,34.,Tommy Bond (21),530,1877,R
34,35.,Pud Galvin+ (23),528,1880,R
35,35.,Old Hoss Radbourn+ (29),528,1884,R
36,35.,Mickey Welch+ (24),528,1884,R
37,38.,Henry Porter (30),527,1888,R
38,39.,Guy Hecker (27),526,1883,R
39,39.,Guy Hecker (28),526,1884,R
40,39.,Phenomenal Smith (22),526,1887,L
41,42.,Lee Richmond (25),525,1882,L
42,43.,Bill Sweeney (26),522,1884,R
43,44.,Old Hoss Radbourn+ (31),521,1886,R
44,45.,Jersey Bakley (24),518,1888,R
45,45.,Ed Beatin (23),518,1890,L
46,47.,Harry McCormick (23),517,1879,R
47,48.,Terry Larkin (23),514,1879,R
48,48.,Mickey Welch+ (26),514,1886,R
49,50.,Kid Carsey (18),513,1891,R
50,50.,John Clarkson+ (25),513,1887,R
51,52.,Terry Larkin (22),511,1878,R
52,53.,Terry Larkin (21),510,1877,R
53,54.,Bill Hutchison (31),508,1891,R
54,54.,Jim McCormick (27),508,1884,R
55,56.,Charlie Buffinton (23),506,1884,R
56,57.,George Derby (23),505,1881,R
57,57.,Bill Hutchison (30),505,1890,R
58,57.,Old Hoss Radbourn+ (32),505,1887,R
59,60.,Jim Whitney (27),503,1885,R
60,61.,Tony Mullane (27),501,1886,R
61,61.,John Ward+ (20),501,1880,R
62,63.,Sadie McMahon (22),498,1890,R
63,64.,Theodore Breitenstein (25),497,1894,L
64,64.,John Clarkson+ (23),497,1885,R
65,66.,Fleury Sullivan (22),496,1884,
66,67.,George Cobb (26),495,1892,L
67,68.,Mark Baldwin (26),494,1890,R
68,69.,Sadie McMahon (23),493,1891,R
69,70.,Jim Whitney (25),492,1883,R
70,71.,Pud Galvin+ (30),490,1887,R
71,72.,Tim Keefe+ (26),488,1883,R
72,72.,Larry McKeon (18),488,1884,
73,72.,Kid Nichols+ (24),488,1894,R
74,72.,Cy Young+ (27),488,1894,R
75,76.,Adonis Terry (19),486,1884,R
76,77.,Bill Carrick (25),485,1899,R
77,77.,Red Donahue (24),485,1897,R
78,77.,Jack Lynch (29),485,1886,R
79,80.,Jim McCormick (24),484,1881,R
80,81.,Larry Corcoran (23),483,1883,R
81,82.,Pink Hawley (21),481,1894,R
82,82.,Tony Mullane (25),481,1884,R
83,82.,Park Swartzel (23),481,1889,R
84,85.,Kid Gleason (23),479,1890,R
85,85.,Tim Keefe+ (29),479,1886,R
86,85.,Will White (29),479,1884,R
87,88.,Will White (23),477,1878,R
88,88.,Cy Young+ (29),477,1896,R
89,90.,Pud Galvin+ (25),476,1882,R
