,Rank,Player (age that year),Home Runs per 9 IP,Year,Throws
0,1.,Nick Altrock (29),0.0000,1906,L
1,1.,Red Ames (28),0.0000,1911,R
2,1.,Jake Aydelott (22),0.0000,1884,R
3,1.,Jim Bagby (28),0.0000,1918,R
4,1.,Jersey Bakley (20),0.0000,1884,R
5,1.,Hugh Bedient (23),0.0000,1913,R
6,1.,Joe Blong (23),0.0000,1877,R
7,1.,Bernie Boland (25),0.0000,1917,R
8,1.,Howie Camnitz (25),0.0000,1907,R
9,1.,Hal Carlson (25),0.0000,1917,R
10,1.,Jack Chesbro+ (33),0.0000,1907,R
11,1.,Eddie Cicotte (24),0.0000,1908,R
12,1.,Eddie Cicotte (30),0.0000,1914,R
13,1.,Jack Coombs (23),0.0000,1906,R
14,1.,Jack Coombs (27),0.0000,1910,R
15,1.,Frank Corridon (26),0.0000,1907,R
16,1.,Frank Corridon (27),0.0000,1908,R
17,1.,Frank Corridon (28),0.0000,1909,R
18,1.,Candy Cummings+ (27),0.0000,1876,R
19,1.,Dave Davenport (28),0.0000,1918,R
20,1.,Ren Deagle (25),0.0000,1883,R
21,1.,Ren Deagle (26),0.0000,1884,R
22,1.,Ed Doheny (28),0.0000,1902,L
23,1.,Phil Douglas (29),0.0000,1919,R
24,1.,Denny Driscoll (26),0.0000,1882,L
25,1.,Cy Falkenberg (27),0.0000,1907,R
26,1.,Cy Falkenberg (29),0.0000,1909,R
27,1.,Brownie Foreman (20),0.0000,1895,L
28,1.,Rube Foster (28),0.0000,1916,R
29,1.,John Fox (22),0.0000,1881,
30,1.,Harry Gaspar (26),0.0000,1909,R
31,1.,Vean Gregg (29),0.0000,1914,L
32,1.,Frank Hankinson (23),0.0000,1879,R
33,1.,Slim Harriss (28),0.0000,1926,R
34,1.,Guy Hecker (26),0.0000,1882,R
35,1.,Charlie Hodnett (24),0.0000,1884,
36,1.,Patrick Horan,0.0000,1884,R
37,1.,Walter Johnson+ (20),0.0000,1908,R
38,1.,Walter Johnson+ (28),0.0000,1916,R
39,1.,Walter Johnson+ (31),0.0000,1919,R
40,1.,Addie Joss+ (24),0.0000,1904,R
41,1.,Addie Joss+ (29),0.0000,1909,R
42,1.,Rudy Kallio (25),0.0000,1918,R
43,1.,Ed Karger (23),0.0000,1906,L
44,1.,Tim Keefe+ (23),0.0000,1880,R
45,1.,Ed Killian (27),0.0000,1904,L
46,1.,Ed Killian (28),0.0000,1905,L
47,1.,John Kirby (20),0.0000,1885,R
48,1.,Ed Klepfer (29),0.0000,1917,R
49,1.,Lon Knight (23),0.0000,1876,R
50,1.,Dutch Leonard (21),0.0000,1913,L
51,1.,Carl Lundgren (27),0.0000,1907,R
52,1.,John Malarkey (30),0.0000,1902,R
53,1.,Bobby Mathews (25),0.0000,1877,R
54,1.,Jim McCormick (21),0.0000,1878,R
55,1.,Bill McGunnigle (24),0.0000,1879,R
56,1.,Bobby Mitchell (21),0.0000,1877,L
57,1.,Willie Mitchell (22),0.0000,1912,L
58,1.,Earl Moore (25),0.0000,1903,R
59,1.,Cy Morgan (31),0.0000,1910,R
60,1.,Cy Morgan (32),0.0000,1911,R
61,1.,Tricky Nichols (27),0.0000,1878,R
62,1.,Deacon Phillippe (33),0.0000,1905,R
63,1.,Billy Rhines (29),0.0000,1898,R
64,1.,Bob Rhoads (27),0.0000,1907,R
65,1.,Jack Rowan (23),0.0000,1909,R
66,1.,Reb Russell (26),0.0000,1915,L
67,1.,Babe Ruth+ (21),0.0000,1916,L
68,1.,Harry Salisbury (24),0.0000,1879,
69,1.,Jim Scott (21),0.0000,1909,R
70,1.,Ed Siever (27),0.0000,1902,L
71,1.,Charlie Smith (27),0.0000,1907,R
72,1.,Frank Smith (24),0.0000,1904,R
73,1.,Frank Smith (25),0.0000,1905,R
74,1.,Allan Sothoron (28),0.0000,1921,R
