,Rank,Player (age that year),Earned Runs,Year,Throws
0,1.,John Coleman (20),291,1883,R
1,2.,Theodore Breitenstein (25),238,1894,L
2,3.,Red Donahue (24),237,1897,R
3,4.,Al Mays (22),232,1887,R
4,5.,Kid Carsey (18),230,1891,R
5,6.,Gus Weyhing (20),221,1887,R
6,7.,Henry Porter (30),219,1888,R
7,8.,Matt Kilroy (20),218,1886,L
8,8.,Tony Mullane (27),218,1886,R
9,10.,Ed Seward (20),216,1887,R
10,11.,Kid Nichols+ (24),215,1894,R
11,11.,Old Hoss Radbourn+ (32),215,1887,R
12,11.,Stump Weidman (25),215,1886,R
13,14.,Pink Hawley (21),214,1894,R
14,14.,Toad Ramsey (22),214,1887,L
15,16.,Theodore Breitenstein (26),213,1895,L
16,16.,George Cobb (26),213,1892,L
17,18.,Billy Crowell (21),211,1887,R
18,19.,Phenomenal Smith (22),207,1887,L
19,20.,Mark Baldwin (25),206,1889,R
20,20.,Fleury Sullivan (22),206,1884,
21,22.,Bill Hart (31),205,1897,R
22,23.,Ed Beatin (23),202,1890,L
23,24.,Matt Kilroy (21),201,1887,L
24,24.,Frank Mountain (23),201,1883,R
25,26.,Bert Cunningham (24),200,1890,R
26,27.,Larry McKeon (18),199,1884,
27,28.,Red Ehret (25),198,1894,R
28,28.,Pud Galvin+ (26),198,1883,R
29,30.,Brickyard Kennedy (26),197,1894,R
30,30.,Park Swartzel (23),197,1889,R
31,32.,Frank Dwyer (26),196,1894,R
32,32.,Egyptian Healy (20),196,1887,R
33,32.,Jim Whitney (28),196,1886,R
34,35.,Kid Gleason (26),195,1893,R
35,36.,Red Ehret (20),194,1889,R
36,37.,Tom Parrott (26),192,1894,R
37,38.,Bill Hart (30),191,1896,R
38,38.,Hardie Henderson (22),191,1885,R
39,38.,Bill Hutchison (32),191,1892,R
40,38.,Jack Taylor (23),191,1896,R
41,42.,Ice Box Chamberlain (23),190,1891,R
42,42.,Jack Lynch (29),190,1886,R
43,42.,Scott Stratton (23),190,1893,R
44,45.,Chick Fraser (22),189,1896,R
45,46.,Jersey Bakley (20),188,1884,R
46,46.,John Clarkson+ (27),188,1889,R
47,46.,George Hemming (24),188,1893,R
48,46.,Adonis Terry (19),188,1884,R
49,50.,Bill Carrick (25),187,1899,R
50,50.,Kid Carsey (22),187,1895,R
51,50.,Bill Hutchison (34),187,1894,R
52,53.,George Haddock (23),186,1890,R
53,53.,Bobo Newsom (30),186,1938,R
54,55.,Sadie McMahon (22),185,1890,R
55,56.,Bill Hutchison (33),184,1893,R
56,56.,Jack Stivetts (26),184,1894,R
57,58.,Mark Baldwin (26),183,1890,R
58,59.,Henry Gruber (26),182,1890,R
59,59.,Ad Gumbert (26),182,1894,R
60,59.,Gus Weyhing (26),182,1893,R
61,62.,Bob Barr (27),181,1884,R
62,62.,Bill Hutchison (30),181,1890,R
63,62.,Tony Mullane (34),181,1893,R
64,62.,Gus Weyhing (31),181,1898,R
65,66.,Ed Stein (24),180,1894,R
66,67.,John Clarkson+ (25),179,1887,R
67,67.,John Ewing (26),179,1889,R
68,67.,Hardie Henderson (20),179,1883,R
69,67.,Cy Young+ (27),179,1894,R
70,71.,Bob Barr (33),178,1890,R
71,72.,Kid Carsey (21),177,1894,R
72,72.,Gus Weyhing (27),177,1894,R
73,74.,Jersey Bakley (24),176,1888,R
74,74.,Pretzels Getzien (25),176,1889,R
75,76.,Duke Esper (25),175,1893,L
