,Rank,Player (age that year),Batters Faced,Year,Throws
0,1.,Will White (24),2906,1879,R
1,2.,Pud Galvin+ (26),2741,1883,R
2,3.,Old Hoss Radbourn+ (29),2672,1884,R
3,4.,Jim McCormick (23),2669,1880,R
4,5.,Guy Hecker (28),2649,1884,R
5,6.,John Clarkson+ (27),2641,1889,R
6,7.,Bill Hutchison (32),2639,1892,R
7,8.,Jim Devlin (27),2568,1876,R
8,9.,Pud Galvin+ (27),2554,1884,R
9,10.,John Coleman (20),2546,1883,R
10,11.,Old Hoss Radbourn+ (28),2540,1883,R
11,12.,Tim Keefe+ (26),2517,1883,R
12,13.,Bill Hutchison (30),2506,1890,R
13,14.,Matt Kilroy (21),2492,1887,L
14,15.,John Clarkson+ (23),2487,1885,R
15,16.,Toad Ramsey (21),2477,1886,L
16,17.,Matt Kilroy (20),2469,1886,L
17,18.,Pud Galvin+ (22),2436,1879,R
18,19.,Toad Ramsey (22),2430,1887,L
19,20.,John Ward+ (19),2425,1879,R
20,21.,Jim McCormick (25),2412,1882,R
21,22.,Lee Richmond (23),2410,1880,L
22,23.,Mickey Welch+ (20),2387,1880,R
23,24.,Charlie Buffinton (23),2383,1884,R
24,25.,Amos Rusie+ (19),2379,1890,R
25,26.,Bill Hutchison (31),2371,1891,R
26,27.,Mickey Welch+ (24),2370,1884,R
27,28.,Will White (28),2367,1883,R
28,29.,Tony Mullane (25),2364,1884,R
29,30.,John Ward+ (20),2351,1880,R
30,31.,Jim McCormick (27),2336,1884,R
31,32.,Jim Devlin (28),2328,1877,R
32,33.,Bobby Mathews (24),2327,1876,R
33,34.,Jim McCormick (22),2325,1879,R
34,35.,Ed Morris (22),2321,1885,L
35,36.,Amos Rusie+ (21),2314,1892,R
36,37.,Jim Whitney (23),2301,1881,R
37,38.,Silver King (20),2286,1888,R
38,39.,Mark Baldwin (25),2275,1889,R
39,40.,Bill Sweeney (26),2270,1884,R
40,41.,George Bradley (23),2269,1876,R
41,42.,Hardie Henderson (22),2268,1885,R
42,43.,Tony Mullane (27),2258,1886,R
43,44.,Ed Morris (23),2252,1886,L
44,45.,Jersey Bakley (24),2251,1888,R
45,46.,Dupee Shaw (25),2244,1884,L
46,47.,Mark Baldwin (26),2242,1890,R
47,48.,Frank Mountain (23),2230,1883,R
48,49.,Al Spalding+ (25),2219,1876,R
49,50.,Will White (25),2217,1880,R
50,51.,Phenomenal Smith (22),2204,1887,L
51,52.,Sadie McMahon (22),2197,1890,R
52,53.,Billy Taylor (29),2195,1884,R
53,54.,Tommy Bond (23),2189,1879,R
54,55.,Larry McKeon (18),2185,1884,
55,56.,John Clarkson+ (25),2183,1887,R
56,57.,Larry Corcoran (24),2180,1884,R
57,58.,Terry Larkin (23),2176,1879,R
58,59.,Tim Keefe+ (29),2173,1886,R
59,60.,George Bradley (26),2170,1879,R
60,61.,Amos Rusie+ (20),2167,1891,R
61,62.,Tommy Bond (21),2165,1877,R
62,63.,Kid Gleason (23),2163,1890,R
63,64.,Old Hoss Radbourn+ (31),2162,1886,R
64,65.,Tommy Bond (22),2159,1878,R
65,66.,Sadie McMahon (23),2155,1891,R
66,67.,Bob Barr (33),2152,1890,R
67,68.,Mickey Welch+ (26),2151,1886,R
68,69.,Jim McCormick (24),2145,1881,R
69,70.,Larry Corcoran (20),2133,1880,R
70,71.,Terry Larkin (21),2132,1877,R
71,72.,Ed Beatin (23),2127,1890,L
72,73.,Amos Rusie+ (22),2111,1893,R
73,74.,Terry Larkin (22),2105,1878,R
74,75.,George Derby (23),2101,1881,R
75,75.,Jim Whitney (25),2101,1883,R
76,77.,Dave Foutz (29),2091,1886,R
77,78.,Ed Seward (21),2085,1888,R
78,79.,Henry Porter (30),2084,1888,R
79,80.,Tommy Bond (24),2082,1880,R
80,81.,Hugh Daily (36),2076,1884,R
81,82.,Matt Kilroy (23),2070,1889,L
82,83.,Guy Hecker (27),2056,1883,R
83,84.,Adonis Terry (19),2049,1884,R
84,85.,Gus Weyhing (20),2042,1887,R
85,86.,Larry Corcoran (23),2041,1883,R
86,87.,Pud Galvin+ (24),2037,1881,R
87,88.,Henry Porter (27),2035,1885,R
88,89.,John Clarkson+ (26),2029,1888,R
89,90.,Frank Killen (21),2028,1892,L
90,91.,Phil Knell (26),2017,1891,L
91,92.,Gus Weyhing (25),2005,1892,R
92,93.,Jack Lynch (27),2002,1884,R
93,93.,Al Mays (22),2002,1887,R
94,93.,Ed Morris (25),2002,1888,L
95,96.,Lee Richmond (24),1992,1881,L
96,97.,Ed Seward (20),1990,1887,R
97,98.,Guy Hecker (29),1988,1885,R
98,98.,Silver King (22),1988,1890,R
99,100.,Theodore Breitenstein (25),1987,1894,L
100,101.,Will White (29),1986,1884,R
101,102.,Mark Baldwin (28),1983,1892,R
102,103.,John Clarkson+ (29),1982,1891,R
103,104.,Tim Keefe+ (30),1981,1887,R
104,105.,Harry McCormick (23),1975,1879,R
105,105.,Will White (27),1975,1882,R
106,107.,Bob Emslie (25),1971,1884,R
107,108.,Pud Galvin+ (23),1969,1880,R
108,109.,Fleury Sullivan (22),1967,1884,
109,110.,Silver King (21),1966,1889,R
110,111.,Mickey Welch+ (25),1963,1885,R
111,112.,Gus Weyhing (22),1959,1889,R
112,112.,Gus Weyhing (24),1959,1891,R
113,114.,Bert Cunningham (22),1952,1888,R
114,115.,Tim Keefe+ (27),1950,1884,R
115,116.,Bob Caruthers (21),1948,1885,R
116,117.,Mark Baldwin (27),1944,1891,R
117,118.,Will White (23),1939,1878,R
118,119.,Kid Carsey (18),1937,1891,R
119,120.,Lady Baldwin (27),1936,1886,L
120,120.,Theodore Breitenstein (26),1936,1895,L
121,122.,Tony Mullane (23),1927,1882,R
122,123.,Stump Weidman (25),1924,1886,R
123,124.,Jack Lynch (29),1918,1886,R
124,125.,Old Hoss Radbourn+ (27),1916,1882,R
125,125.,Jack Stivetts (23),1916,1891,R
126,127.,Old Hoss Radbourn+ (32),1915,1887,R
127,128.,John Clarkson+ (24),1914,1886,R
128,129.,Amos Rusie+ (23),1910,1894,R
129,130.,Charlie Sweeney (21),1909,1884,R
130,131.,Pud Galvin+ (25),1900,1882,R
131,131.,Hardie Henderson (21),1900,1884,R
132,133.,Pud Galvin+ (30),1897,1887,R
133,134.,Kid Nichols+ (22),1893,1892,R
134,135.,Pink Hawley (22),1892,1895,R
135,136.,Jim Whitney (27),1887,1885,R
136,137.,Bob Caruthers (25),1880,1889,R
137,138.,Lee Richmond (25),1876,1882,L
138,139.,Tony Mullane (24),1875,1883,R
139,140.,Mike Smith (19),1872,1887,L
140,141.,Tony Mullane (32),1870,1891,R
141,142.,Henry Porter (28),1864,1886,R
142,143.,Kid Gleason (24),1859,1891,R
143,144.,Bob Barr (27),1853,1884,R
144,145.,Frank Killen (25),1850,1896,L
145,146.,Cy Young+ (24),1848,1891,R
146,147.,Cy Young+ (25),1847,1892,R
147,148.,Charlie Ferguson (21),1844,1884,R
148,149.,Old Hoss Radbourn+ (30),1841,1885,R
149,150.,Henry Gruber (26),1839,1890,R
150,151.,Charlie Buffinton (24),1838,1885,R
151,152.,Jack Stivetts (22),1837,1890,R
152,152.,Park Swartzel (23),1837,1889,R
153,154.,George Cobb (26),1836,1892,L
154,155.,Mickey Welch+ (23),1829,1883,R
