,Rank,Player (age that year),Adj. Pitching Runs,Year,Throws
0,1.,Amos Rusie+ (23),112,1894,R
1,2.,Old Hoss Radbourn+ (29),110,1884,R
2,3.,Guy Hecker (28),98,1884,R
3,4.,John Clarkson+ (27),93,1889,R
4,5.,Silver King (20),91,1888,R
5,6.,Tim Keefe+ (26),83,1883,R
6,7.,Silver King (22),82,1890,R
7,8.,Pedro Martinez+ (28),79,2000,R
8,9.,Pud Galvin+ (27),78,1884,R
9,9.,Cy Young+ (34),78,1901,R
10,11.,Walter Johnson+ (24),76,1912,R
11,12.,Jouett Meekin (27),75,1894,R
12,13.,Roger Clemens (34),74,1997,R
13,13.,Lefty Grove+ (31),74,1931,L
14,15.,Cy Young+ (28),73,1895,R
15,16.,Kid Nichols+ (27),72,1897,R
16,16.,Old Hoss Radbourn+ (28),72,1883,R
17,16.,Mike Smith (19),72,1887,L
18,19.,John Clarkson+ (25),71,1887,R
19,19.,Walter Johnson+ (25),71,1913,R
20,19.,Amos Rusie+ (22),71,1893,R
21,19.,Will White (28),71,1883,R
22,23.,Cy Young+ (25),70,1892,R
23,24.,John Clarkson+ (23),69,1885,R
24,24.,Dave Foutz (29),69,1886,R
25,24.,Dolf Luque (32),69,1923,R
26,27.,Lefty Grove+ (30),68,1930,L
27,27.,Matt Kilroy (21),68,1887,L
28,27.,Kid Nichols+ (23),68,1893,R
29,27.,Charlie Sweeney (21),68,1884,R
30,31.,Lefty Gomez+ (28),67,1937,L
31,31.,Lefty Grove+ (36),67,1936,L
32,31.,Pedro Martinez+ (27),67,1999,R
33,31.,Kid Nichols+ (20),67,1890,R
34,31.,Scott Stratton (20),67,1890,R
35,36.,Red Faber+ (32),66,1921,R
36,36.,Toad Ramsey (21),66,1886,L
37,36.,Billy Rhines (21),66,1890,R
38,36.,Cy Young+ (26),66,1893,R
39,40.,Kid Nichols+ (28),65,1898,R
40,41.,Theodore Breitenstein (24),64,1893,L
41,41.,Pink Hawley (22),64,1895,R
42,41.,Billy Taylor (29),64,1884,R
43,41.,Cy Young+ (27),64,1894,R
44,45.,Bob Caruthers (21),63,1885,R
45,45.,Bob Feller+ (21),63,1940,R
46,45.,Dwight Gooden (20),63,1985,R
47,45.,Dazzy Vance+ (39),63,1930,R
48,49.,Kid Nichols+ (25),62,1895,R
49,50.,Steve Carlton+ (27),61,1972,L
50,50.,Randy Johnson+ (35),61,1999,L
51,50.,Greg Maddux+ (29),61,1995,R
52,50.,Ed Morris (22),61,1885,L
53,50.,Vic Willis+ (23),61,1899,R
54,55.,Bob Gibson+ (32),60,1968,R
55,55.,Lefty Gomez+ (25),60,1934,L
56,55.,Clark Griffith+ (28),60,1898,R
57,55.,Bill Hoffer (24),60,1895,R
58,55.,Carl Hubbell+ (33),60,1936,L
59,55.,Sandy Koufax+ (30),60,1966,L
60,55.,Will White (27),60,1882,R
61,62.,Charlie Buffinton (23),59,1884,R
62,62.,Jim Devlin (27),59,1876,R
63,62.,Ron Guidry (27),59,1978,L
64,62.,Ed Morris (23),59,1886,L
65,62.,Mickey Welch+ (25),59,1885,R
