,Rank,Player (age that year),Adj. Pitching Wins,Year,Throws
0,1.,Old Hoss Radbourn+ (29),10.53,1884,R
1,2.,Guy Hecker (28),9.60,1884,R
2,3.,Amos Rusie+ (23),9.25,1894,R
3,4.,Silver King (20),9.05,1888,R
4,5.,John Clarkson+ (27),8.54,1889,R
5,6.,Pedro Martinez+ (28),8.37,2000,R
6,7.,Walter Johnson+ (24),8.35,1912,R
7,8.,Walter Johnson+ (25),8.32,1913,R
8,9.,Roger Clemens (34),7.94,1997,R
9,10.,Bob Gibson+ (32),7.93,1968,R
10,11.,Tim Keefe+ (26),7.75,1883,R
11,11.,Cy Young+ (34),7.75,1901,R
12,13.,Dwight Gooden (20),7.55,1985,R
13,14.,Lefty Grove+ (31),7.53,1931,L
14,15.,Pud Galvin+ (27),7.36,1884,R
15,16.,Dolf Luque (32),7.35,1923,R
16,17.,Steve Carlton+ (27),7.26,1972,L
17,18.,Cy Young+ (25),6.97,1892,R
18,19.,Pete Alexander+ (28),6.92,1915,R
19,19.,Silver King (22),6.92,1890,R
20,19.,Greg Maddux+ (29),6.92,1995,R
21,22.,Sandy Koufax+ (30),6.91,1966,L
22,23.,Pedro Martinez+ (27),6.90,1999,R
23,24.,John Clarkson+ (23),6.86,1885,R
24,25.,Ron Guidry (27),6.81,1978,L
25,25.,Hal Newhouser+ (24),6.81,1945,L
26,27.,Lefty Gomez+ (28),6.78,1937,L
27,28.,Red Faber+ (32),6.65,1921,R
28,29.,Old Hoss Radbourn+ (28),6.60,1883,R
29,30.,Kid Nichols+ (27),6.59,1897,R
30,31.,Christy Mathewson+ (24),6.54,1905,R
31,31.,Will White (28),6.54,1883,R
32,33.,Lefty Grove+ (30),6.53,1930,L
33,34.,Greg Maddux+ (28),6.51,1994,R
34,35.,Dean Chance (23),6.49,1964,R
35,35.,Tom Seaver+ (26),6.49,1971,R
36,37.,Lefty Grove+ (36),6.47,1936,L
37,38.,Kid Nichols+ (28),6.46,1898,R
38,39.,Randy Johnson+ (35),6.40,1999,L
39,40.,Bob Feller+ (21),6.39,1940,R
40,40.,Dave Foutz (29),6.39,1886,R
41,40.,Charlie Sweeney (21),6.39,1884,R
42,43.,Carl Hubbell+ (33),6.38,1936,L
43,44.,Vida Blue (21),6.36,1971,L
44,45.,Kid Nichols+ (20),6.34,1890,R
45,46.,Carl Hubbell+ (30),6.33,1933,L
46,46.,Pedro Martinez+ (25),6.33,1997,R
47,46.,Wilbur Wood (29),6.33,1971,L
48,49.,John Clarkson+ (25),6.31,1887,R
49,49.,Billy Rhines (21),6.31,1890,R
50,51.,Scott Stratton (20),6.26,1890,R
51,52.,Cy Young+ (28),6.24,1895,R
52,53.,Zack Greinke (31),6.22,2015,R
53,54.,Randy Johnson+ (38),6.19,2002,L
54,55.,Dazzy Vance+ (37),6.18,1928,R
55,56.,Gaylord Perry+ (33),6.14,1972,R
56,57.,Mike Smith (19),6.13,1887,L
57,58.,Randy Johnson+ (37),6.12,2001,L
58,58.,Amos Rusie+ (22),6.12,1893,R
