,Rank,Player (age that year),Sit. Wins Saved (WPA/LI),Year,Throws
0,1.,Pedro Martinez+ (28),8.48,2000,R
1,2.,Lefty Grove+ (31),7.95,1931,L
2,3.,Carl Hubbell+ (33),7.54,1936,L
3,4.,Bob Gibson+ (32),7.24,1968,R
4,5.,Roger Clemens (34),7.23,1997,R
5,6.,Sandy Koufax+ (30),7.18,1966,L
6,7.,Greg Maddux+ (29),7.17,1995,R
7,8.,Sandy Koufax+ (27),7.15,1963,L
8,9.,Steve Carlton+ (27),7.07,1972,L
9,10.,Juan Marichal+ (28),6.91,1966,R
10,11.,Dwight Gooden (20),6.85,1985,R
11,12.,John Tudor (31),6.84,1985,L
12,13.,Sandy Koufax+ (29),6.78,1965,L
13,14.,Bob Feller+ (21),6.77,1940,R
14,15.,Pedro Martinez+ (27),6.66,1999,R
15,16.,Lefty Grove+ (30),6.55,1930,L
16,17.,Mike Scott (31),6.54,1986,R
17,18.,Don Drysdale+ (27),6.50,1964,R
18,19.,Dolf Luque (32),6.47,1923,R
19,20.,Ron Guidry (27),6.45,1978,L
20,21.,Tom Seaver+ (26),6.38,1971,R
21,22.,Lefty Gomez+ (28),6.36,1937,L
22,23.,Carl Hubbell+ (30),6.35,1933,L
23,24.,Vida Blue (21),6.34,1971,L
24,25.,Greg Maddux+ (32),6.32,1998,R
25,26.,Mort Cooper (29),6.30,1942,R
26,27.,Carl Hubbell+ (31),6.28,1934,L
27,27.,Justin Verlander (28),6.28,2011,R
28,29.,Greg Maddux+ (28),6.27,1994,R
29,30.,Pedro Martinez+ (25),6.26,1997,R
30,30.,Johan Santana (25),6.26,2004,L
31,32.,Dean Chance (23),6.24,1964,R
32,33.,Greg Maddux+ (31),6.22,1997,R
33,34.,Dazzy Vance+ (37),6.17,1928,R
34,35.,Dazzy Vance+ (33),6.09,1924,R
35,36.,Lefty Gomez+ (25),6.06,1934,L
36,37.,Randy Johnson+ (37),6.03,2001,L
37,38.,Jim Palmer+ (29),6.00,1975,R
38,39.,Randy Johnson+ (31),5.98,1995,L
39,40.,Bob Gibson+ (33),5.90,1969,R
40,40.,Bret Saberhagen (25),5.90,1989,R
41,42.,Randy Johnson+ (40),5.87,2004,L
42,43.,Larry Dierker (22),5.86,1969,R
43,44.,Robin Roberts+ (27),5.84,1954,R
44,45.,Kevin Brown (31),5.82,1996,R
45,46.,Bob Feller+ (20),5.79,1939,R
46,47.,Clayton Kershaw (27),5.77,2015,L
47,48.,Kevin Brown (33),5.75,1998,R
48,49.,Kevin Appier (25),5.73,1993,R
49,50.,Jake Arrieta (29),5.71,2015,R
50,50.,Dazzy Vance+ (39),5.71,1930,R
51,52.,Derek Lowe (29),5.66,2002,R
52,53.,Curt Schilling (35),5.64,2002,R
53,53.,Warren Spahn+ (26),5.64,1947,L
54,55.,Zack Greinke (31),5.62,2015,R
55,56.,Catfish Hunter+ (29),5.61,1975,R
56,57.,John Smoltz+ (29),5.60,1996,R
57,58.,Sandy Koufax+ (28),5.59,1964,L
58,59.,Warren Spahn+ (32),5.51,1953,L
59,60.,Whit Wyatt (33),5.50,1941,R
60,61.,Bob Lemon+ (27),5.48,1948,R
61,62.,Ted Lyons+ (26),5.47,1927,R
62,63.,Lefty Grove+ (32),5.45,1932,L
63,63.,Clayton Kershaw (25),5.45,2013,L
64,63.,Don Sutton+ (27),5.45,1972,R
65,66.,Teddy Higuera (30),5.43,1988,L
66,66.,Corey Kluber (31),5.43,2017,R
67,68.,Lefty Grove+ (28),5.38,1928,L
68,68.,Bucky Walters (31),5.38,1940,R
69,70.,Juan Marichal+ (31),5.37,1969,R
70,71.,Stan Coveleski+ (30),5.36,1920,R
71,72.,Lefty Grove+ (36),5.35,1936,L
