,Rank,Player (age that year),Championship WPA (cWPA),Year,Throws
0,1.,Vic Raschi (30),38.34,1949,R
1,2.,Ellis Kinder (34),36.60,1949,R
2,3.,Sandy Koufax+ (29),33.77,1965,L
3,4.,Carl Hubbell+ (30),33.48,1933,L
4,5.,Dazzy Vance+ (39),32.88,1930,R
5,6.,Carl Hubbell+ (33),29.41,1936,L
6,7.,Gene Bearden (27),29.36,1948,L
7,8.,Robin Roberts+ (23),28.44,1950,R
8,9.,Bob Feller+ (21),28.02,1940,R
9,10.,Herb Pennock+ (30),27.14,1924,L
10,11.,Bob Shawkey (31),27.10,1922,R
11,12.,Sandy Koufax+ (30),26.94,1966,L
12,13.,Jesse Haines+ (34),26.78,1928,R
13,14.,Whit Wyatt (33),26.74,1941,R
14,15.,Juan Marichal+ (28),26.67,1966,R
15,16.,Warren Spahn+ (35),25.22,1956,L
16,17.,Sandy Koufax+ (27),24.66,1963,L
17,18.,Bill Sherdel (31),24.59,1928,L
18,19.,Sal Maglie (39),24.29,1956,R
19,20.,Larry Sherry (23),23.95,1959,R
20,21.,Bullet Joe Bush (29),23.92,1922,R
21,22.,Paul Dean (22),23.49,1935,R
22,23.,Howie Pollet (25),22.88,1946,L
23,24.,Warren Spahn+ (27),22.39,1948,L
24,25.,Dizzy Dean+ (24),22.33,1934,R
25,26.,Billy Pierce (35),22.25,1962,L
26,27.,Pete Alexander+ (29),21.97,1916,R
27,28.,Cliff Melton (25),21.88,1937,L
28,29.,Stan Coveleski+ (30),21.76,1920,R
29,30.,Joe Page (31),21.55,1949,L
30,31.,Early Wynn+ (31),21.52,1951,R
31,32.,Bill Lee (28),21.40,1938,R
32,33.,Waite Hoyt+ (21),21.08,1921,R
33,34.,Hal Newhouser+ (23),20.36,1944,L
34,35.,Lefty Grove+ (31),20.10,1931,L
35,36.,Johnny Antonelli (24),20.03,1954,L
36,37.,Bucky Walters (30),19.96,1939,R
37,38.,Eddie Lopat (33),19.81,1951,L
38,39.,Bill Doak (33),19.80,1924,R
39,40.,Pat Malone (27),19.34,1930,R
40,40.,Don Newcombe (25),19.34,1951,R
41,42.,Harry Brecheen (31),19.12,1946,L
42,42.,Vic Raschi (31),19.12,1950,R
43,44.,Duster Mails (25),18.94,1920,L
44,45.,Mort Cooper (29),18.90,1942,R
45,46.,Lefty Grove+ (30),18.66,1930,L
46,47.,Urban Shocker (31),18.61,1922,R
47,48.,Ray Kremer (31),18.55,1926,R
48,49.,Walter Johnson+ (36),18.42,1924,R
49,50.,Lon Warneke (26),18.39,1935,R
50,51.,Ray Narleski (26),18.28,1955,R
51,52.,Roger Wolff (34),18.19,1945,R
