,Rank,Player (age that year),Total Zone Runs,Year,Throws
0,1.,Adam Everett (29),40,2006,R
1,2.,Darin Erstad (28),39,2002,L
2,3.,Jose Cruz (29),38,2003,R
3,4.,Barry Bonds (24),37,1989,L
4,4.,Brett Gardner (27),37,2011,L
5,6.,Andruw Jones (22),36,1999,R
6,7.,Mark Belanger (31),35,1975,R
7,7.,Michael Bourn (29),35,2012,R
8,7.,Andruw Jones (21),35,1998,R
9,10.,Manny Machado (20),34,2013,R
10,11.,Rey Ordóñez (28),33,1999,R
11,11.,Brooks Robinson+ (31),33,1968,R
12,11.,Robin Ventura (30),33,1998,R
13,11.,Devon White (29),33,1992,R
14,15.,Ken Griffey Jr.+ (26),32,1996,L
15,15.,Brooks Robinson+ (30),32,1967,R
16,15.,Ozzie Smith+ (34),32,1989,R
17,18.,Coco Crisp (27),31,2007,R
18,18.,Jim Piersall (26),31,1956,R
19,20.,Buddy Bell (27),30,1979,R
20,20.,Clete Boyer (24),30,1961,R
21,20.,Darin Erstad (25),30,1999,L
22,20.,Brandon Inge (29),30,2006,R
23,20.,Darrin Jackson (28),30,1992,R
24,20.,Graig Nettles (26),30,1971,R
25,20.,Kirby Puckett+ (24),30,1984,R
26,20.,Aurelio Rodriguez (22),30,1970,R
27,28.,Adrian Beltre (25),29,2004,R
28,28.,Byron Buxton (23),29,2017,R
29,28.,Willie Davis (24),29,1964,L
30,28.,Darin Erstad (26),29,2000,L
31,28.,Bobby Grich (24),29,1973,R
32,28.,Franklin Gutierrez (26),29,2009,R
33,28.,Al Kaline+ (26),29,1961,R
34,28.,Pokey Reese (26),29,1999,R
35,28.,Andrelton Simmons (23),29,2013,R
36,37.,Bobby Abreu (24),28,1998,R
37,37.,Barry Bonds (25),28,1990,L
38,37.,Clete Boyer (25),28,1962,R
39,37.,Ozzie Guillen (23),28,1987,R
40,37.,Tony Gwynn+ (31),28,1991,L
41,37.,Andruw Jones (20),28,1997,R
42,37.,Brian Jordan (29),28,1996,R
43,37.,Jim Piersall (23),28,1953,R
44,45.,Nori Aoki (31),27,2013,R
45,45.,Luis Aparicio+ (26),27,1960,R
46,45.,Mark Belanger (24),27,1968,R
47,45.,Buddy Bell (29),27,1981,R
48,45.,Jamey Carroll (32),27,2006,R
49,45.,Gary Carter+ (29),27,1983,R
50,45.,Roberto Clemente+ (23),27,1958,R
51,45.,Ron Hansen (26),27,1964,R
52,45.,Jason Heyward (24),27,2014,L
53,45.,Andruw Jones (24),27,2001,R
54,45.,Bobby Knoop (25),27,1964,R
55,45.,Graig Nettles (31),27,1976,R
56,45.,Magglio Ordonez (25),27,1999,R
57,45.,Alex Rios (31),27,2012,R
58,45.,Scott Rolen (29),27,2004,R
59,45.,Sammy Sosa (27),27,1996,R
60,45.,Ichiro Suzuki (30),27,2004,R
61,45.,Robin Ventura (31),27,1999,R
62,45.,Devon White (24),27,1987,R
63,64.,Elvis Andrus (28),26,2017,R
64,64.,Mark Belanger (29),26,1973,R
65,64.,Mark Belanger (34),26,1978,R
66,64.,Paul Blair (25),26,1969,R
67,64.,Paul Blair (26),26,1970,R
68,64.,Billy Hamilton (25),26,2016,R
69,64.,Al Kaline+ (23),26,1958,R
70,64.,Garry Maddox (29),26,1979,R
71,64.,Albert Pujols (27),26,2007,R
72,64.,Rey Sanchez (33),26,2001,R
73,64.,Kyle Seager (26),26,2014,R
74,75.,Garret Anderson (31),25,2003,L
75,75.,Jesse Barfield (27),25,1987,R
76,75.,Lenny Dykstra (27),25,1990,L
