,Rank,Player (age that year),Double Plays Turned as C,Year,Throws
0,1.,Steve O'Neill (24),36,1916,R
1,2.,Frankie Hayes (30),29,1945,R
2,3.,Yogi Berra+ (26),25,1951,R
3,3.,Ray Schalk+ (23),25,1916,R
4,5.,Tom Haller (31),23,1968,R
5,5.,Jack Lapp (30),23,1915,R
6,5.,Muddy Ruel (28),23,1924,R
7,8.,Bob O'Farrell (25),22,1922,R
8,8.,Steve O'Neill (22),22,1914,R
9,10.,Gabby Hartnett+ (26),21,1927,R
10,10.,Wes Westrum (27),21,1950,R
11,12.,Jason Kendall (23),20,1997,R
12,12.,Johnny Kling (36),20,1912,R
13,12.,Steve O'Neill (28),20,1920,R
14,12.,Ray Schalk+ (21),20,1914,R
15,12.,Ray Schalk+ (27),20,1920,R
16,12.,Ray Schalk+ (28),20,1921,R
17,12.,Ray Schalk+ (30),20,1923,R
18,19.,John Bateman (29),19,1970,R
19,19.,Paul Casanova (25),19,1967,R
20,19.,Darren Daulton (31),19,1993,R
21,19.,Hank Gowdy (26),19,1916,R
22,19.,Steve O'Neill (25),19,1917,R
23,19.,Yip Owens (29),19,1915,R
24,19.,Art Wilson (28),19,1914,R
25,26.,Bill Bergen (31),18,1909,R
26,26.,Yogi Berra+ (24),18,1949,R
27,26.,Claude Berry (34),18,1914,R
28,26.,Larry McLean (28),18,1910,R
29,26.,Cy Perkins (25),18,1921,R
30,26.,Bill Rariden (27),18,1915,R
31,26.,Muddy Ruel (29),18,1925,R
32,26.,Ray Schalk+ (20),18,1913,R
33,26.,Ray Schalk+ (24),18,1917,R
34,26.,Jim Stephens (26),18,1910,R
35,26.,Gabby Street (26),18,1909,R
36,37.,Sam Agnew (26),17,1913,R
37,37.,Walter Blair (30),17,1914,R
38,37.,Clint Courtney (31),17,1958,R
39,37.,Red Dooin (29),17,1908,R
40,37.,Johnny Edwards (26),17,1964,R
41,37.,Joe Ferguson (26),17,1973,R
42,37.,Jim Hegan (27),17,1948,R
43,37.,John Henry (26),17,1916,R
44,37.,Randy Hundley (27),17,1969,R
45,37.,Charles Johnson (25),17,1997,R
46,37.,Bill Killefer (24),17,1912,R
47,37.,Johnny Kling (26),17,1902,R
48,37.,Pat Moran (27),17,1903,R
49,37.,Ray Mueller (31),17,1943,R
50,37.,Steve O'Neill (23),17,1915,R
51,37.,Cy Perkins (24),17,1920,R
52,37.,Muddy Ruel (26),17,1922,R
53,37.,Merv Shea (32),17,1933,R
54,37.,Zack Taylor (27),17,1926,R
55,37.,Jack Warner (24),17,1897,R
56,37.,Jimmie Wilson (27),17,1928,R
57,58.,Sam Agnew (28),16,1915,R
58,58.,Brad Ausmus (28),16,1997,R
59,58.,Johnny Bench+ (26),16,1974,R
60,58.,Yogi Berra+ (25),16,1950,R
61,58.,Tim Blackwell (27),16,1980,R
62,58.,Bob Boone (25),16,1973,R
63,58.,Bob Boone (38),16,1986,R
64,58.,Lou Criger (37),16,1909,R
65,58.,Clay Dalrymple (26),16,1963,R
66,58.,Tim Donahue (28),16,1898,R
67,58.,Ted Easterly (29),16,1914,R
68,58.,Johnny Edwards (25),16,1963,R
69,58.,Ray Fosse (24),16,1971,R
70,58.,George Gibson (30),16,1911,R
71,58.,Truck Hannah (29),16,1918,R
72,58.,Gabby Hartnett+ (30),16,1931,R
73,58.,Jim Hegan (28),16,1949,R
74,58.,Rollie Hemsley (29),16,1936,R
75,58.,Bill Killefer (22),16,1910,R
76,58.,Bill Killefer (25),16,1913,R
77,58.,Larry McLean (27),16,1909,R
78,58.,Larry McLean (29),16,1911,R
79,58.,Larry McLean (30),16,1912,R
80,58.,Chief Meyers (29),16,1910,R
81,58.,Chief Meyers (33),16,1914,R
82,58.,Steve O'Neill (27),16,1919,R
83,58.,Cy Perkins (23),16,1919,R
84,58.,John Roseboro (28),16,1961,R
85,58.,John Roseboro (36),16,1969,R
86,58.,Wally Schang (29),16,1919,R
87,58.,Admiral Schlei (27),16,1905,R
88,58.,Walter Schmidt (31),16,1918,R
89,58.,Brian Schneider (27),16,2004,R
90,58.,Hank Severeid (29),16,1920,R
91,58.,Bennie Warren (29),16,1941,R
92,58.,Jimmie Wilson (28),16,1929,R
93,58.,Chief Zimmer (33),16,1894,R
94,95.,Bert Adams (28),15,1919,R
95,95.,Eddie Ainsmith (27),15,1917,R
96,95.,Jimmy Archer (29),15,1912,R
97,95.,Joe Azcue (29),15,1969,R
98,95.,Bill Bergen (32),15,1910,R
99,95.,Yogi Berra+ (31),15,1956,R
100,95.,Dick Bertell (27),15,1963,R
101,95.,Walter Blair (31),15,1915,R
102,95.,Bob Boone (37),15,1985,R
103,95.,Frank Bowerman (31),15,1900,R
104,95.,Roger Bresnahan+ (26),15,1905,R
105,95.,Nig Clarke (28),15,1911,R
106,95.,Mickey Cochrane+ (29),15,1932,R
107,95.,Del Crandall (29),15,1959,R
108,95.,Spud Davis (27),15,1932,R
109,95.,Bill Dickey+ (26),15,1933,R
110,95.,Rick Ferrell+ (32),15,1938,R
111,95.,Carlton Fisk+ (39),15,1987,R
112,95.,Bill Freehan (26),15,1968,R
113,95.,Patsy Gharrity (29),15,1921,R
114,95.,Mike González (33),15,1924,R
115,95.,John Grim (25),15,1893,R
116,95.,Gabby Hartnett+ (24),15,1925,R
117,95.,Rollie Hemsley (27),15,1934,R
118,95.,Ramon Hernandez (25),15,2001,R
119,95.,Fred Jacklitsch (31),15,1907,R
120,95.,Kenji Johjima (31),15,2007,R
121,95.,Charles Johnson (29),15,2001,R
122,95.,Duane Josephson (26),15,1968,R
123,95.,Bill Killefer (28),15,1916,R
124,95.,Connie Mack+ (24),15,1887,R
125,95.,Gus Mancuso (27),15,1933,R
126,95.,Gus Mancuso (30),15,1936,R
127,95.,Wickey McAvoy (23),15,1918,R
128,95.,Chief Meyers (34),15,1915,R
129,95.,Lance Parrish (34),15,1990,R
130,95.,Tony Pena (27),15,1984,R
131,95.,Tony Pena (34),15,1991,R
132,95.,Darrell Porter (27),15,1979,R
133,95.,Ray Schalk+ (29),15,1922,R
134,95.,Ray Schalk+ (32),15,1925,R
135,95.,Walter Schmidt (34),15,1921,R
136,95.,Earl Smith (28),15,1925,R
137,95.,Jim Sundberg (23),15,1974,R
138,95.,Jim Sundberg (31),15,1982,R
139,95.,Al Todd (35),15,1937,R
140,95.,Roxy Walters (27),15,1920,R
141,95.,Jimmie Wilson (30),15,1931,R
142,95.,Ivey Wingo (24),15,1915,R
143,95.,Ivey Wingo (25),15,1916,R
144,145.,Eddie Ainsmith (32),14,1922,R
145,145.,Brad Ausmus (26),14,1995,R
146,145.,Alex Avila (24),14,2011,R
147,145.,Johnny Bassler (30),14,1925,R
148,145.,John Bateman (25),14,1966,R
149,145.,Yogi Berra+ (29),14,1954,R
150,145.,Frank Bruggy (30),14,1921,R
151,145.,Dick Buckley (33),14,1892,R
152,145.,Doc Bushong (29),14,1886,R
153,145.,Roy Campanella+ (28),14,1950,R
154,145.,Gary Carter+ (23),14,1977,R
155,145.,Gary Carter+ (29),14,1983,R
156,145.,Pat Collins (29),14,1926,R
157,145.,Ben Davis (24),14,2001,R
158,145.,Jody Davis (29),14,1986,R
159,145.,Rick Dempsey (28),14,1978,R
160,145.,Red Dooin (28),14,1907,R
161,145.,Red Dooin (30),14,1909,R
162,145.,Red Dooin (31),14,1910,R
163,145.,Ted Easterly (27),14,1912,R
164,145.,Bobby Estalella (25),14,2000,R
165,145.,Al Evans (30),14,1947,R
166,145.,Carlton Fisk+ (42),14,1990,R
167,145.,George Gibson (34),14,1915,R
168,145.,Geronimo Gil (26),14,2002,R
169,145.,Mike González (27),14,1918,R
170,145.,Peaches Graham (32),14,1909,R
171,145.,Gabby Hartnett+ (27),14,1928,R
172,145.,Ray Hayworth (29),14,1933,R
173,145.,Jim Hegan (26),14,1947,R
174,145.,Jim Hegan (29),14,1950,R
175,145.,Charles Johnson (27),14,1999,R
176,145.,Bill Killefer (29),14,1917,R
177,145.,Paul Lo Duca (31),14,2003,R
178,145.,Sherm Lollar (34),14,1959,R
179,145.,Al Lopez+ (24),14,1933,R
180,145.,Al Lopez+ (33),14,1942,R
181,145.,Brian McCann (27),14,2011,R
182,145.,Ed McFarland (25),14,1899,R
183,145.,Deacon McGuire (32),14,1896,R
184,145.,Thurman Munson (28),14,1975,R
185,145.,Ken O'Dea (32),14,1945,R
186,145.,Jim Pagliaroni (27),14,1965,R
187,145.,Heinie Peitz (34),14,1905,R
188,145.,Bill Rariden (26),14,1914,R
189,145.,J.T. Realmuto (28),14,2019,R
190,145.,Buck Rodgers (23),14,1962,R
191,145.,Buck Rodgers (25),14,1964,R
192,145.,Muddy Ruel (27),14,1923,R
193,145.,Benito Santiago (26),14,1991,R
194,145.,Boss Schmidt (26),14,1907,R
195,145.,Luke Sewell (26),14,1927,R
196,145.,Hal Smith (25),14,1956,R
197,145.,Oscar Stanage (29),14,1912,R
198,145.,Gabby Street (25),14,1908,R
199,145.,Jim Sundberg (27),14,1978,R
200,145.,Jim Sundberg (28),14,1979,R
201,145.,Matt Wieters (25),14,2011,R
202,145.,Jimmie Wilson (23),14,1924,R
203,145.,Ivey Wingo (29),14,1920,R
204,145.,Chief Zimmer (29),14,1890,R
205,206.,Eddie Ainsmith (28),13,1918,R
206,206.,Joe Astroth (30),13,1953,R
207,206.,Brad Ausmus (34),13,2003,R
208,206.,Joe Azcue (23),13,1963,R
209,206.,Kid Baldwin (21),13,1886,R
210,206.,Charlie Bennett (31),13,1886,R
211,206.,Bill Bergen (24),13,1902,R
212,206.,Ray Berres (33),13,1941,R
213,206.,Dick Billings (29),13,1972,R
214,206.,Henry Blanco (28),13,2000,R
215,206.,Earle Brucker (36),13,1937,R
216,206.,Gary Carter+ (32),13,1986,R
217,206.,Gary Carter+ (33),13,1987,R
218,206.,Del Crandall (23),13,1953,R
219,206.,Harry Danning (27),13,1939,R
220,206.,Harry Danning (28),13,1940,R
221,206.,Rick Dempsey (29),13,1979,R
222,206.,Bill Dickey+ (22),13,1929,R
223,206.,Bill Dickey+ (27),13,1934,R
224,206.,Tim Donahue (29),13,1899,R
