,Rank,Player (age that year),Passed Balls,Year,Throws
0,1.,Rudy Kemmler (23),114,1883,R
1,2.,Chris Fulmer (27),113,1886,R
2,3.,Bill Traffley (25),104,1885,R
3,3.,Ed Whiting (22),104,1882,L
4,5.,Mike Hines (20),99,1883,L
5,5.,Pop Snyder (26),99,1881,R
6,7.,Sleeper Sullivan (23),97,1882,R
7,8.,Doc Bushong (27),95,1884,R
8,8.,Fred Carroll (21),95,1886,R
9,10.,Jackie Hayes (22),93,1883,R
10,11.,Charlie Reilley (23),89,1879,R
11,12.,Wilbert Robinson+ (22),87,1886,R
12,13.,John Kerins (27),83,1886,R
13,14.,Silver Flint (28),82,1884,R
14,14.,Wilbert Robinson+ (23),82,1887,R
15,14.,Ed Whiting (23),82,1883,L
16,17.,Kid Baldwin (22),81,1887,R
17,17.,Frank Graves (25),81,1886,R
18,19.,Dan Sullivan (25),80,1882,R
19,20.,Paul Cook (26),77,1889,R
20,21.,Silver Flint (27),76,1883,R
21,21.,Connie Mack+ (24),76,1887,R
22,23.,Fred Carroll (20),74,1885,R
23,23.,Eddie Fusselback (27),74,1884,
24,23.,Barney Gilligan (27),74,1883,R
25,26.,Tom Gillen (22),73,1884,
26,26.,Emil Gross (22),73,1880,R
27,26.,John Kelly (24),73,1883,R
28,29.,Fleet Walker (27),72,1884,R
29,30.,Jack Boyle (26),71,1892,R
30,30.,Doc Bushong (28),71,1885,R
31,30.,Pop Snyder (24),71,1879,R
32,30.,Dan Sullivan (27),71,1884,R
33,34.,Fatty Briody (23),70,1882,R
34,34.,Doc Bushong (29),70,1886,R
35,36.,Ed Crane (22),69,1884,R
36,36.,John Kelly (25),69,1884,R
37,38.,Mert Hackett (23),68,1883,R
38,39.,Kid Baldwin (21),67,1886,R
39,39.,Emil Gross (25),67,1883,R
40,41.,John Crowley (22),66,1884,
41,41.,Silver Flint (24),66,1880,R
42,41.,Mert Hackett (26),66,1886,R
43,41.,Deacon McGuire (20),66,1884,R
44,41.,Jocko Milligan (22),66,1884,R
45,46.,Lew Brown (26),65,1884,R
46,46.,Buck Ewing+ (28),65,1888,R
47,46.,John Humphries (22),65,1884,L
48,46.,George Myers (25),65,1886,R
49,46.,Bill Traffley (24),65,1884,R
50,51.,Fred Carroll (19),64,1884,R
51,51.,Silver Flint (26),64,1882,R
52,53.,Bill Holbert (24),63,1879,R
53,53.,Rudy Kemmler (24),63,1884,R
54,53.,Charlie Reipschlager (30),63,1886,R
55,56.,Jack Boyle (21),62,1887,R
56,56.,Jack Corcoran (26),62,1884,
57,56.,Sam Trott (27),62,1884,L
58,59.,Tom Dolan (31),61,1886,R
59,59.,Bill Krieg (25),61,1884,R
60,59.,Jack Rowe (23),61,1880,R
61,62.,Ed Rowen (25),60,1883,
62,62.,Farmer Vaughn (25),60,1889,R
63,64.,Amos Cross (26),59,1886,
64,64.,Silver Flint (23),59,1879,R
65,66.,Billy Colgan,58,1884,
66,66.,Joe Crotty (25),58,1885,R
67,66.,Silver Flint (25),58,1881,R
68,66.,Charlie Hoover (23),58,1889,R
69,66.,Jocko Milligan (27),58,1889,R
70,66.,Jack O'Connor (23),58,1889,R
71,66.,Jack O'Connor (24),58,1890,R
72,66.,Jimmy Peoples (22),58,1886,R
73,66.,Pop Snyder (22),58,1877,R
74,66.,Pop Snyder (27),58,1882,R
75,76.,George Myers (24),57,1885,R
76,76.,Jack O'Brien (23),57,1883,R
77,76.,Pop Snyder (33),57,1888,R
78,79.,Doc Bushong (25),56,1882,R
79,79.,John Clapp (27),56,1879,R
80,79.,John Clapp (28),56,1880,R
81,79.,Emil Gross (23),56,1881,R
82,79.,Bill Harbridge (23),56,1878,L
83,79.,Jack Ryan (21),56,1890,R
84,79.,Deacon White+ (31),56,1879,R
85,86.,Lew Brown (20),55,1878,R
86,86.,John Clapp (29),55,1881,R
87,86.,Silver Flint (22),55,1878,R
88,86.,Pop Snyder (32),55,1887,R
89,86.,Sy Sutcliffe (28),55,1890,L
90,86.,Chief Zimmer (29),55,1890,R
91,92.,Lave Cross (21),54,1887,R
92,92.,Bill Holbert (27),54,1882,R
93,92.,King Kelly+ (30),54,1888,R
94,92.,Jack O'Brien (26),54,1886,R
95,92.,Sam Trott (30),54,1887,L
96,97.,Doc Bushong (24),53,1881,R
97,97.,Wilbert Robinson+ (24),53,1888,R
98,97.,Sam Trott (26),53,1883,L
99,100.,John Clapp (24),52,1876,R
100,100.,Bob Clark (23),52,1886,R
101,100.,Tom Daly (21),52,1887,R
102,100.,Chris Fulmer (28),52,1887,R
103,100.,John Kelly (23),52,1882,R
104,105.,Jack Boyle (22),51,1888,R
105,105.,Jack Boyle (23),51,1889,R
106,105.,William Brown (21),51,1887,R
107,105.,Paul Cook (25),51,1888,R
108,105.,Jocko Milligan (25),51,1887,R
109,110.,Kid Baldwin (24),50,1889,R
110,110.,Jocko Milligan (23),50,1885,R
111,110.,Chief Zimmer (28),50,1889,R
112,113.,Jim Donahue (25),49,1887,R
113,113.,Sleeper Sullivan (22),49,1881,R
114,113.,Billy Taylor (28),49,1883,R
115,116.,Kid Baldwin (23),48,1888,R
116,116.,Barney Gilligan (30),48,1886,R
117,116.,Doc Kennedy (26),48,1880,R
118,116.,Connie Mack+ (25),48,1888,R
119,116.,Cal McVey (27),48,1877,R
120,116.,Doggie Miller (21),48,1886,R
121,116.,Doggie Miller (23),48,1888,R
122,116.,Jack O'Brien (25),48,1885,R
123,116.,Jim O'Rourke+ (35),48,1886,R
124,116.,Charlie Reipschlager (29),48,1885,R
125,116.,Rooney Sweeney (24),48,1883,
126,127.,Doc Bushong (26),47,1883,R
127,127.,Doc Bushong (31),47,1888,R
128,127.,Paul Cook (24),47,1887,R
129,127.,Jim Donahue (26),47,1888,R
130,127.,Doggie Miller (22),47,1887,R
131,127.,Dan Sullivan (28),47,1885,R
132,127.,Chief Zimmer (27),47,1888,R
133,134.,Tug Arundel (25),46,1887,R
134,134.,Fred Carroll (23),46,1888,R
135,134.,Amos Cross (25),46,1885,
136,134.,Tom Gunning (23),46,1885,R
137,134.,King Kelly+ (28),46,1886,R
138,134.,George Townsend (21),46,1888,R
139,140.,Charlie Bennett (28),45,1883,R
140,140.,Ed Caskin (27),45,1879,R
141,140.,John Clapp (25),45,1877,R
142,140.,Jackie Hayes (24),45,1885,R
143,140.,Bill Holbert (25),45,1880,R
144,140.,Connie Mack+ (27),45,1890,R
145,140.,Phil Powers (25),45,1880,R
146,147.,Fatty Briody (26),44,1885,R
147,147.,Jack Clements (20),44,1885,L
148,147.,Pat Deasley (27),44,1885,R
149,147.,Duke Farrell (22),44,1889,R
150,147.,Chris Fulmer (29),44,1888,R
151,147.,Deacon McGuire (22),44,1886,R
152,147.,Pop Snyder (28),44,1883,R
153,154.,Buck Ewing+ (30),43,1890,R
154,154.,George Myers (26),43,1887,R
155,156.,Lew Brown (21),42,1879,R
156,156.,Barney Gilligan (23),42,1879,R
157,156.,Charlie Reipschlager (31),42,1887,R
158,156.,Pop Tate (28),42,1889,R
159,160.,Charlie Bennett (27),41,1882,R
160,160.,Doc Bushong (30),41,1887,R
161,160.,Con Daily (23),41,1888,R
162,160.,Pat Deasley (24),41,1882,R
163,160.,Silver Flint (29),41,1885,R
164,160.,Barney Gilligan (26),41,1882,R
165,160.,Frank Ringo (22),41,1883,
166,167.,Jack Clements (22),40,1887,L
167,167.,Buck Ewing+ (25),40,1885,R
168,167.,Barney Gilligan (29),40,1885,R
169,167.,Bill Holbert (28),40,1883,R
170,167.,Malachi Kittridge (20),40,1890,R
171,167.,Doggie Miller (20),40,1885,R
172,167.,Jocko Milligan (26),40,1888,R
173,167.,Jocko Milligan (29),40,1891,R
174,167.,Tom O'Rourke (24),40,1890,R
175,167.,Jack Ryan (22),40,1891,R
176,167.,Pop Snyder (23),40,1878,R
177,167.,Deacon White+ (30),40,1878,R
178,179.,Lew Brown (19),39,1877,R
179,179.,Dick Buckley (31),39,1890,R
180,179.,Jack Clements (23),39,1888,L
181,179.,Jim Keenan (33),39,1889,R
182,179.,Deacon McGuire (27),39,1891,R
183,179.,Charlie Reipschlager (27),39,1883,R
184,179.,Emmett Rogers (22),39,1890,
185,186.,Charlie Bennett (26),38,1881,R
186,186.,Marty Bergen (26),38,1898,R
187,186.,Ned Bligh (25),38,1889,R
188,186.,Harry Decker (25),38,1890,R
189,186.,John Munyan (29),38,1890,
190,186.,Jimmy Peoples (23),38,1887,R
191,186.,Jack Rowe (24),38,1881,R
192,186.,Jack Rowe (25),38,1882,R
193,194.,Con Daily (20),37,1885,R
194,194.,Jim Keenan (32),37,1888,R
195,194.,King Kelly+ (21),37,1879,R
196,194.,Doggie Miller (24),37,1889,R
197,198.,Jack Clements (25),36,1890,L
198,198.,Tom Daly (22),36,1888,R
199,198.,Jerry Harrington (22),36,1891,R
