,Rank,Player (age that year),Stolen Bases Allowed as C,Year,Throws
0,1.,Deacon McGuire (31),293,1895,R
1,2.,Deacon McGuire (30),278,1894,R
2,3.,Connie Mack+ (27),265,1890,R
3,4.,Wilbert Robinson+ (26),259,1890,R
4,5.,Chief Zimmer (29),234,1890,R
5,6.,Chief Zimmer (30),229,1891,R
6,7.,Jack O'Connor (24),223,1890,R
7,8.,Sy Sutcliffe (28),213,1890,L
8,9.,Harry Decker (25),210,1890,R
9,10.,Deacon McGuire (28),209,1892,R
10,11.,Jack Clements (26),205,1891,L
11,11.,Deacon McGuire (32),205,1896,R
12,11.,Ed Sweeney (24),205,1913,R
13,14.,Deacon McGuire (27),204,1891,R
14,15.,Pop Schriver (28),203,1894,R
15,16.,Dick Buckley (33),202,1892,R
16,17.,Duke Farrell (27),193,1894,R
17,18.,Jim Donahue (29),191,1891,R
18,19.,Jerry Harrington (22),187,1891,R
19,19.,Bill Wilson (29),187,1897,R
20,21.,John Munyan (29),185,1890,
21,22.,Jack Clements (25),182,1890,L
22,22.,Duke Farrell (26),182,1893,R
23,22.,Ed McFarland (22),182,1896,R
24,25.,Jack Boyle (26),181,1892,R
25,25.,Herman Pitz (24),181,1890,
26,27.,Malachi Kittridge (20),176,1890,R
27,28.,Oscar Stanage (29),172,1912,R
28,29.,Ed McFarland (26),171,1900,R
29,29.,Wilbert Robinson+ (29),171,1893,R
30,31.,Heinie Peitz (24),170,1895,R
31,32.,Jocko Milligan (29),169,1891,R
32,32.,Gabby Street (26),169,1909,R
33,34.,Deacon McGuire (35),166,1899,R
34,34.,Oscar Stanage (28),166,1911,R
35,36.,Hank Severeid (26),165,1917,R
36,36.,Joe Sugden (26),165,1897,R
37,38.,Wilbert Robinson+ (30),164,1894,R
38,39.,Oscar Stanage (31),163,1914,R
39,39.,Ed Sweeney (23),163,1912,R
40,41.,Tom Daly (24),162,1890,R
41,41.,Joe Sugden (28),162,1899,R
42,43.,Bill Merritt (24),160,1895,R
43,44.,Joe Sugden (25),159,1896,R
44,45.,Dick Buckley (32),156,1891,R
45,45.,Jack Ryan (21),156,1890,R
46,47.,Deacon McGuire (26),155,1890,R
47,47.,Pat Moran (27),155,1903,R
48,47.,Mike Piazza+ (27),155,1996,R
49,50.,John Grim (25),153,1893,R
50,51.,Buck Ewing+ (30),152,1890,R
51,51.,John Grim (26),152,1894,R
52,51.,Jack Lapp (30),152,1915,R
53,51.,Harry Sage (26),152,1890,R
54,55.,Deacon McGuire (34),151,1898,R
55,55.,Ivey Wingo (21),151,1912,R
56,57.,Jack Bliss (29),150,1911,R
57,57.,Deacon McGuire (33),150,1897,R
58,59.,Bill Carrigan (26),149,1910,R
59,59.,Chief Zimmer (31),149,1892,R
60,61.,Johnny Kling (27),148,1903,R
61,62.,Duke Farrell (23),147,1890,R
62,62.,Heinie Peitz (22),147,1893,R
63,62.,Doc Powers (30),147,1901,R
64,65.,Jack Clements (27),146,1892,L
65,65.,Klondike Douglass (25),146,1897,R
66,67.,Wilbert Robinson+ (28),144,1892,R
67,68.,Nig Clarke (28),143,1911,R
68,68.,Jack Clements (30),143,1895,L
69,68.,George Gibson (29),143,1910,R
70,68.,John Grim (28),143,1896,R
71,68.,John Grim (29),143,1897,R
72,68.,Malachi Kittridge (27),143,1897,R
73,74.,Bill Bergen (31),142,1909,R
74,74.,Lance Parrish (31),142,1987,R
75,76.,Bill Merritt (25),141,1896,R
76,77.,Craig Biggio+ (23),140,1989,R
77,77.,Red Dooin (25),140,1904,R
78,77.,Jocko Milligan (30),140,1892,R
79,77.,Lew Ritter (27),140,1903,R
80,81.,Jim Toy (32),139,1890,R
81,82.,Claude Berry (34),138,1914,R
82,83.,Charlie Bennett (35),137,1890,R
83,83.,Jack Boyle (25),137,1891,R
84,83.,Johnny Kling (35),137,1911,R
85,83.,Ed Phelps (31),137,1910,R
86,83.,Lew Ritter (29),137,1905,R
87,88.,Grant Briggs (25),136,1890,
88,88.,Gary Carter+ (34),136,1988,R
89,88.,Red Dooin (30),136,1909,R
90,88.,Jason Kendall (22),136,1996,R
91,88.,Connie Mack+ (29),136,1892,R
92,88.,Tom Needham (26),136,1905,R
93,88.,Ozzie Virgil (29),136,1986,R
94,88.,Bill Wilson (22),136,1890,R
95,88.,Parke Wilson (28),136,1896,R
96,97.,Red Dooin (27),135,1906,R
97,97.,King Kelly+ (33),135,1891,R
98,97.,Terry Kennedy (27),135,1983,R
99,100.,Dick Buckley (35),134,1894,R
100,100.,Morgan Murphy (27),134,1894,R
101,100.,Steve O'Neill (23),134,1915,R
102,103.,Ted Easterly (29),133,1914,R
103,103.,Tom Kinslow (27),133,1893,R
104,103.,Pop Schriver (26),133,1892,R
105,103.,Ozzie Virgil (30),133,1987,R
106,107.,Eddie Ainsmith (27),132,1917,R
107,107.,Connie Mack+ (31),132,1894,R
108,107.,Chief Zimmer (34),132,1895,R
109,110.,Boileryard Clarke (32),131,1901,R
110,110.,Bill Rariden (23),131,1911,R
111,110.,Jack Warner (26),131,1899,R
112,113.,Walter Blair (31),130,1915,R
