,Rank,Player (age that year),Caught Stealing as C,Year,Throws
0,1.,Deacon McGuire (31),189,1895,R
1,2.,Chief Zimmer (29),183,1890,R
2,3.,Chief Zimmer (30),170,1891,R
3,4.,Duke Farrell (27),158,1894,R
4,5.,Oscar Stanage (28),156,1911,R
5,6.,Johnny Kling (27),150,1903,R
6,6.,Pat Moran (27),150,1903,R
7,8.,Gabby Street (26),142,1909,R
8,9.,Jack Ryan (21),141,1890,R
9,10.,Jack O'Connor (24),140,1890,R
10,11.,Oscar Stanage (31),139,1914,R
11,12.,Bill Bergen (31),138,1909,R
12,12.,George Gibson (28),138,1909,R
13,12.,Bill Rariden (27),138,1915,R
14,15.,George Gibson (29),137,1910,R
15,16.,Harry Sage (26),136,1890,R
16,17.,Red Dooin (30),133,1909,R
17,17.,Duke Farrell (26),133,1893,R
18,17.,Ed Sweeney (24),133,1913,R
19,20.,Connie Mack+ (27),132,1890,R
20,20.,Ed McFarland (22),132,1896,R
21,22.,Bill Killefer (25),130,1913,R
22,23.,Bill Rariden (26),129,1914,R
23,23.,Boss Schmidt (27),129,1908,R
24,25.,Red Dooin (29),128,1908,R
25,26.,Duke Farrell (23),127,1890,R
26,26.,Deacon McGuire (30),127,1894,R
27,28.,Connie Mack+ (29),121,1892,R
28,28.,Ray Schalk+ (21),121,1914,R
29,30.,Claude Berry (34),120,1914,R
30,30.,Ed McFarland (26),120,1900,R
31,30.,Deacon McGuire (27),120,1891,R
32,33.,Deacon McGuire (35),119,1899,R
33,34.,Art Wilson (28),118,1914,R
34,35.,Cy Perkins (24),115,1920,R
35,35.,Ivey Wingo (25),115,1916,R
36,37.,Sam Agnew (27),114,1914,R
37,37.,Red Dooin (25),114,1904,R
38,37.,Frank Snyder (21),114,1915,R
39,37.,Ed Sweeney (23),114,1912,R
40,37.,Jack Warner (24),114,1897,R
41,42.,Sam Agnew (26),113,1913,R
42,42.,Jack Boyle (26),113,1892,R
43,42.,Johnny Kling (26),113,1902,R
44,42.,Oscar Stanage (29),113,1912,R
45,46.,Johnny Kling (32),112,1908,R
46,46.,Doc Powers (30),112,1901,R
47,46.,Ivey Wingo (21),112,1912,R
48,49.,John Grim (26),111,1894,R
49,49.,Ed McFarland (25),111,1899,R
50,49.,Bill Wilson (29),111,1897,R
51,49.,Chief Zimmer (33),111,1894,R
52,53.,Bill Bergen (26),110,1904,R
53,53.,Malachi Kittridge (20),110,1890,R
54,53.,Malachi Kittridge (29),110,1899,R
55,53.,Malachi Kittridge (31),110,1901,R
56,53.,John Munyan (29),110,1890,
57,53.,Ray Schalk+ (20),110,1913,R
58,53.,Hank Severeid (26),110,1917,R
59,53.,Sy Sutcliffe (28),110,1890,L
60,53.,Ira Thomas (30),110,1911,R
61,62.,Red Dooin (26),109,1905,R
62,62.,John Grim (27),109,1895,R
63,62.,King Kelly+ (33),109,1891,R
64,62.,Johnny Kling (28),109,1904,R
65,62.,Johnny Kling (35),109,1911,R
66,62.,Jack Warner (26),109,1899,R
67,68.,Boileryard Clarke (32),108,1901,R
68,68.,Wally Schang (24),108,1914,R
69,70.,Bill Bergen (28),107,1906,R
70,70.,Walter Blair (30),107,1914,R
71,70.,Ted Easterly (29),107,1914,R
72,70.,Ed McFarland (24),107,1898,R
73,70.,Larry McLean (28),107,1910,R
74,70.,Chief Meyers (29),107,1910,R
75,70.,Jim Stephens (26),107,1910,R
76,70.,Gabby Street (25),107,1908,R
77,70.,Billy Sullivan (33),107,1908,R
78,79.,Frank Bowerman (30),106,1899,R
79,79.,Fred Jacklitsch (38),106,1914,R
80,79.,Wilbert Robinson+ (26),106,1890,R
81,82.,Jimmy Archer (29),105,1912,R
82,82.,Jimmy Archer (30),105,1913,R
83,82.,Frank Bowerman (31),105,1900,R
84,82.,John Grim (25),105,1893,R
85,82.,Admiral Schlei (27),105,1905,R
86,87.,Duke Farrell (32),104,1899,R
87,87.,Pop Schriver (28),104,1894,R
88,87.,Jack Warner (25),104,1898,R
89,90.,Johnny Kling (29),103,1905,R
90,90.,Otto Miller (23),103,1912,R
91,90.,Morgan Murphy (24),103,1891,R
92,90.,Billy Sullivan (31),103,1906,R
93,94.,Eddie Ainsmith (27),102,1917,R
94,94.,Roger Bresnahan+ (29),102,1908,R
95,94.,Chief Meyers (32),102,1913,R
96,94.,Tom Needham (25),102,1904,R
97,98.,Ray Schalk+ (24),101,1917,R
98,98.,Jack Warner (33),101,1906,R
99,100.,Frank Bowerman (33),100,1902,R
100,100.,Larry McLean (29),100,1911,R
101,102.,Bill Bergen (27),99,1905,R
102,102.,Buck Ewing+ (30),99,1890,R
103,102.,Steve O'Neill (23),99,1915,R
104,102.,Chief Zimmer (38),99,1899,R
105,106.,Jim Donahue (29),98,1891,R
106,106.,Tim Donahue (29),98,1899,R
107,106.,Tom Needham (26),98,1905,R
108,106.,Yip Owens (29),98,1915,R
109,106.,Admiral Schlei (28),98,1906,R
110,106.,Joe Sugden (28),98,1899,R
111,112.,Lou Criger (33),97,1905,R
112,112.,Bill Killefer (24),97,1912,R
113,112.,Deacon McGuire (32),97,1896,R
114,112.,Larry McLean (30),97,1912,R
115,112.,Jack O'Neill (30),97,1903,R
116,117.,Marty Bergen (26),96,1898,R
117,117.,Dick Buckley (33),96,1892,R
118,117.,Jack Clements (26),96,1891,L
119,117.,John Grim (29),96,1897,R
120,117.,Mike Simon (30),96,1913,R
121,122.,Jerry Harrington (22),95,1891,R
122,122.,Grover Land (29),95,1914,R
123,122.,Otto Miller (24),95,1913,R
124,122.,Heinie Peitz (29),95,1900,R
125,122.,Oscar Stanage (27),95,1910,R
126,122.,Gabby Street (27),95,1910,R
127,122.,Jack Warner (30),95,1903,R
128,129.,Sam Agnew (28),94,1915,R
129,129.,Harry Bemis (28),94,1902,R
130,129.,Bill Bergen (30),94,1908,R
131,129.,Bill Bergen (32),94,1910,R
132,129.,Bill Bergen (33),94,1911,R
133,129.,Walter Blair (31),94,1915,R
134,129.,Dick Buckley (31),94,1890,R
135,129.,George Gibson (30),94,1911,R
136,129.,Bill Killefer (26),94,1914,R
137,129.,Doc Marshall (31),94,1907,R
138,129.,Admiral Schlei (26),94,1904,R
139,129.,Ossee Schrecongost (32),94,1907,R
140,141.,Lou Criger (31),93,1903,R
141,141.,Tim Donahue (28),93,1898,R
142,141.,Red Dooin (23),93,1902,R
143,141.,Peaches Graham (33),93,1910,R
144,141.,Grover Hartley (26),93,1915,R
145,141.,Deacon McGuire (26),93,1890,R
146,141.,Steve O'Neill (22),93,1914,R
147,141.,Steve O'Neill (25),93,1917,R
148,141.,Admiral Schlei (31),93,1909,R
149,141.,Billy Sullivan (26),93,1901,R
150,141.,Chief Zimmer (31),93,1892,R
151,152.,George Gibson (27),92,1908,R
152,152.,Billy Maloney (23),92,1901,R
153,152.,Ivey Wingo (22),92,1913,R
154,155.,John Grim (28),91,1896,R
155,155.,Chief Meyers (33),91,1914,R
156,155.,Wilbert Robinson+ (30),91,1894,R
157,158.,Bill Bergen (23),90,1901,R
158,158.,Bill Bergen (24),90,1902,R
159,158.,Bill Carrigan (26),90,1910,R
160,158.,Bill Carrigan (29),90,1913,R
161,158.,Lou Criger (28),90,1900,R
162,158.,Red Dooin (31),90,1910,R
163,158.,Larry McLean (27),90,1909,R
164,158.,Chief Zimmer (35),90,1896,R
165,166.,Jack Clements (25),89,1890,L
166,166.,Jody Davis (29),89,1986,R
167,166.,Hank Gowdy (24),89,1914,R
168,166.,John Henry (24),89,1914,R
169,166.,Herman Pitz (24),89,1890,
170,166.,Ray Schalk+ (22),89,1915,R
171,166.,Ossee Schrecongost (24),89,1899,R
172,166.,Jack Warner (31),89,1904,R
173,166.,Chief Zimmer (39),89,1900,R
174,175.,Jimmy Archer (28),88,1911,R
175,175.,Charlie Bennett (35),88,1890,R
176,175.,Boileryard Clarke (31),88,1900,R
177,175.,Duke Farrell (30),88,1897,R
178,175.,John Henry (23),88,1913,R
179,175.,Johnny Kling (30),88,1906,R
180,175.,Les Nunamaker (25),88,1914,R
181,175.,Bill Rariden (23),88,1911,R
182,175.,Boss Schmidt (26),88,1907,R
183,184.,Jack Bliss (29),86,1911,R
184,184.,Roger Bresnahan+ (26),86,1905,R
185,184.,Roger Bresnahan+ (27),86,1906,R
186,184.,George Gibson (26),86,1907,R
187,184.,George Gibson (34),86,1915,R
188,184.,Peaches Graham (32),86,1909,R
189,184.,Malachi Kittridge (33),86,1903,R
190,184.,Deacon McGuire (33),86,1897,R
191,184.,Steve O'Neill (24),86,1916,R
192,184.,Heinie Peitz (28),86,1899,R
193,184.,Billy Sullivan (34),86,1909,R
194,184.,Ivey Wingo (26),86,1917,R
195,184.,Bob Wood (35),86,1901,R
196,197.,Roger Bresnahan+ (32),85,1911,R
197,197.,Hank Gowdy (26),85,1916,R
198,197.,Bill Killefer (22),85,1910,R
199,197.,Deacon McGuire (28),85,1892,R
200,197.,Bill Merritt (25),85,1896,R
201,197.,Chief Meyers (30),85,1911,R
202,197.,Jocko Milligan (29),85,1891,R
203,197.,Heinie Peitz (24),85,1895,R
204,205.,Johnny Bassler (28),84,1923,R
205,205.,Claude Berry (35),84,1915,R
206,205.,Nig Clarke (28),84,1911,R
207,205.,Hank Gowdy (25),84,1915,R
208,205.,Chief Meyers (31),84,1912,R
209,205.,Mickey O'Neil (22),84,1920,R
210,205.,Wilbert Robinson+ (35),84,1899,R
211,205.,Jack Warner (28),84,1901,R
212,213.,Bill Carrigan (28),83,1912,R
213,213.,Nig Clarke (24),83,1907,R
214,213.,Red Kleinow (28),83,1906,R
215,213.,Pat Moran (28),83,1904,R
216,213.,Pat Moran (29),83,1905,R
217,213.,Tom Needham (27),83,1906,R
218,213.,Bob O'Farrell (25),83,1922,R
219,213.,Lew Ritter (29),83,1905,R
220,213.,Boss Schmidt (28),83,1909,R
221,213.,Jim Toy (32),83,1890,R
222,213.,Farmer Vaughn (31),83,1895,R
223,224.,Boileryard Clarke (33),82,1902,R
224,224.,Ted Easterly (24),82,1909,R
225,224.,Mike González (27),82,1918,R
226,224.,Heinie Peitz (22),82,1893,R
227,224.,Muddy Ruel (27),82,1923,R
228,224.,Pop Schriver (26),82,1892,R
229,224.,Oscar Stanage (30),82,1913,R
