,Rank,Player (age that year),Caught Stealing %,Year,Throws
0,1.,Shanty Hogan (27),77.42,1933,R
1,2.,Mike LaValliere (32),72.73,1993,R
2,3.,Joe Astroth (30),72.09,1953,R
3,4.,Ray Schalk+ (32),71.77,1925,R
4,5.,Roberto Perez (31),71.43,2020,R
5,5.,Roy Spencer (33),71.43,1933,R
6,5.,Joe Tipton (29),71.43,1951,R
7,8.,Roy Campanella+ (29),69.39,1951,R
8,9.,Gus Mancuso (35),69.23,1941,R
9,10.,Jim Hegan (29),68.75,1950,R
10,11.,Buddy Rosar (32),67.86,1947,R
11,12.,Sherm Lollar (29),67.74,1954,R
12,12.,Buddy Rosar (33),67.74,1948,R
13,14.,Jim Hegan (25),67.44,1946,R
14,15.,Gabby Hartnett+ (27),67.16,1928,R
15,16.,Roy Campanella+ (26),66.67,1948,R
16,16.,Buddy Rosar (31),66.67,1946,R
17,16.,Gus Triandos (26),66.67,1957,R
18,19.,Bob O'Farrell (25),65.87,1922,R
19,20.,Al Lopez+ (33),65.79,1942,R
20,21.,Rollie Hemsley (39),65.63,1946,R
21,21.,Byrd Lynn (27),65.63,1916,R
22,23.,Frank Snyder (27),65.56,1921,R
23,24.,Al Lopez+ (34),65.00,1943,R
24,25.,Roy Campanella+ (30),64.71,1952,R
25,26.,Sam Agnew (29),64.58,1916,R
26,27.,Gus Mancuso (31),64.44,1937,R
27,28.,Gabby Hartnett+ (31),64.15,1932,R
28,29.,Yadier Molina (22),64.10,2005,R
29,30.,Patsy Gharrity (29),63.42,1921,R
30,31.,Paul Richards (35),63.04,1944,R
31,32.,Johnnie Heving (28),62.86,1924,R
32,33.,Walt Alexander (25),62.50,1916,R
33,33.,Roy Campanella+ (28),62.50,1950,R
34,33.,Jake Early (33),62.50,1948,R
35,33.,Frankie Pytlak (24),62.50,1933,R
36,33.,Wes Westrum (29),62.50,1952,R
37,38.,Paddy Livingston (30),62.32,1910,R
38,39.,Joe Azcue (26),62.22,1966,R
39,40.,Mike Ryan (29),61.77,1971,R
40,41.,Sam Agnew (32),61.54,1919,R
41,41.,Al Evans (31),61.54,1948,R
42,43.,Roxy Walters (23),61.48,1916,R
43,44.,Leo Dixon (30),61.43,1925,R
44,45.,Gabby Hartnett+ (32),61.40,1933,R
45,46.,Gabby Hartnett+ (36),61.22,1937,R
46,47.,Al Lopez+ (27),61.19,1936,R
47,48.,Gus Mancuso (30),61.11,1936,R
48,48.,Mickey Owen (23),61.11,1939,R
49,50.,Thurman Munson (24),61.02,1971,R
50,51.,Shanty Hogan (21),60.98,1927,R
51,51.,Larry McLean (29),60.98,1911,R
52,53.,Moe Berg (26),60.87,1928,R
53,53.,Jason LaRue (27),60.87,2001,R
54,55.,Dick Bertell (27),60.81,1963,R
55,56.,Al Lopez+ (28),60.78,1937,R
56,56.,Merv Shea (32),60.78,1933,R
57,56.,Bob Swift (29),60.78,1944,R
58,59.,Ray Schalk+ (27),60.77,1920,R
59,60.,Jim Hegan (26),60.71,1947,R
60,61.,Gabby Hartnett+ (25),60.66,1926,R
61,62.,Gus Niarhos (27),60.61,1948,R
62,63.,Bill Killefer (32),60.53,1920,R
63,64.,Mickey Owen (24),60.42,1940,R
64,64.,John Roseboro (31),60.42,1964,R
65,66.,Gabby Hartnett+ (30),60.38,1931,R
66,66.,Al Lopez+ (30),60.38,1939,R
67,68.,Gabby Hartnett+ (34),60.35,1935,R
68,68.,Ivan Rodriguez+ (29),60.35,2001,R
69,70.,Buddy Rosar (28),60.26,1943,R
70,71.,Cy Perkins (24),60.21,1920,R
71,72.,Bill Dickey+ (35),60.00,1942,R
72,72.,Hank Gowdy (27),60.00,1917,R
73,72.,Gabby Hartnett+ (35),60.00,1936,R
74,72.,Rollie Hemsley (33),60.00,1940,R
75,72.,Ray Murray (35),60.00,1953,R
76,72.,Mike Tresh (31),60.00,1945,R
77,78.,Paul Richards (34),59.78,1943,R
78,79.,Rick Ferrell+ (29),59.76,1935,R
79,80.,Eddie Ainsmith (26),59.65,1916,R
80,81.,Mike González (34),59.62,1925,R
81,81.,Ernie Lombardi+ (30),59.62,1938,R
82,83.,Johnny Bassler (28),59.57,1923,R
83,84.,John Roseboro (26),59.52,1959,R
84,85.,Nig Clarke (27),59.46,1910,R
85,85.,Wes Westrum (31),59.46,1954,R
86,87.,Andy Seminick (33),59.38,1954,R
87,88.,Jimmie Wilson (27),59.34,1928,R
88,89.,Ray Katt (28),59.18,1955,R
