,Rank,Player (age that year),Def. Games as 1B,Year,Throws
0,1.,Jeff Bagwell+ (28),162,1996,R
1,1.,Ernie Banks+ (34),162,1965,R
2,1.,Bill Buckner (35),162,1985,L
3,1.,Carlos Delgado (28),162,2000,R
4,1.,Prince Fielder (25),162,2009,R
5,1.,Freddie Freeman (24),162,2014,R
6,1.,Steve Garvey (27),162,1976,R
7,1.,Steve Garvey (30),162,1979,R
8,1.,Steve Garvey (31),162,1980,R
9,1.,Steve Garvey (36),162,1985,R
10,1.,Eric Karros (29),162,1997,R
11,1.,Derrek Lee (26),162,2002,R
12,1.,Matt Olson (24),162,2018,R
13,1.,Pete Rose (39),162,1980,R
14,1.,Pete Rose (41),162,1982,R
15,1.,Richie Sexson (28),162,2003,R
16,1.,Norm Siebern (28),162,1962,R
17,1.,Joey Votto (33),162,2017,R
18,1.,Bill White (29),162,1963,L
19,20.,Jeff Bagwell+ (31),161,1999,R
20,20.,Bill Buckner (32),161,1982,L
21,20.,Carlos Delgado (29),161,2001,R
22,20.,Freddie Freeman (28),161,2018,R
23,20.,Steve Garvey (29),161,1978,R
24,20.,Adrian Gonzalez (25),161,2007,L
25,20.,Adrian Gonzalez (26),161,2008,L
26,20.,Derrek Lee (28),161,2004,R
27,20.,Willie Montanez (28),161,1976,L
28,20.,Wes Parker (30),161,1970,L
29,20.,Joey Votto (29),161,2013,R
30,31.,Jeff Bagwell+ (33),160,2001,R
31,31.,Steve Balboni (28),160,1985,R
32,31.,Orlando Cepeda+ (24),160,1962,R
33,31.,Prince Fielder (26),160,2010,R
34,31.,Steve Garvey (26),160,1975,R
35,31.,Steve Garvey (28),160,1977,R
36,31.,Mark Grace (27),160,1991,L
37,31.,Mark Grace (35),160,1999,L
38,31.,Pedro Guerrero (33),160,1989,R
39,31.,Mike Hargrove (30),160,1980,L
40,31.,Todd Helton (26),160,2000,L
41,31.,Keith Hernandez (25),160,1979,L
42,31.,Harmon Killebrew+ (31),160,1967,R
43,31.,James Loney (26),160,2010,L
44,31.,Don Mattingly (25),160,1986,L
45,31.,John Mayberry (27),160,1976,L
46,31.,John Olerud (30),160,1999,L
47,31.,Rafael Palmeiro (28),160,1993,L
48,31.,Anthony Rizzo (25),160,2015,L
49,31.,J.T. Snow (31),160,1999,L
50,31.,Joey Votto (27),160,2011,R
51,31.,Bill White (30),160,1964,L
52,53.,Jeff Bagwell+ (24),159,1992,R
53,53.,Jeff Bagwell+ (29),159,1997,R
54,53.,Babe Borton (26),159,1915,L
55,53.,Prince Fielder (27),159,2011,R
