,Rank,Player (age that year),Putouts as 1B,Year,Throws
0,1.,Jiggs Donahue (27),1846,1907,L
1,2.,High Pockets Kelly+ (24),1759,1920,R
2,3.,Phil Todt (24),1755,1926,L
3,4.,Wally Pipp (33),1710,1926,L
4,5.,Jiggs Donahue (26),1697,1906,L
5,6.,Candy LaChance (34),1691,1904,R
6,7.,Tom Jones (33),1687,1907,R
7,8.,Ernie Banks+ (34),1682,1965,R
8,9.,Wally Pipp (29),1667,1922,L
9,10.,Lou Gehrig+ (24),1662,1927,L
10,11.,Stuffy McInnis (26),1658,1917,R
11,12.,Jim Bottomley+ (27),1656,1927,L
12,13.,Jake Daubert (38),1652,1922,L
13,13.,Ed Konetchy (25),1652,1911,R
14,15.,Wally Pipp (27),1649,1920,L
15,16.,Jiggs Donahue (25),1645,1905,L
16,17.,High Pockets Kelly+ (26),1642,1922,R
17,18.,Earl Sheely (28),1637,1921,R
18,19.,Walter Holke (24),1635,1917,L
19,20.,Chris Chambliss (31),1626,1980,R
20,20.,Ed Konetchy (30),1626,1916,R
21,22.,Wally Pipp (28),1624,1921,L
22,22.,Fred Tenney (36),1624,1908,L
23,24.,Vic Saier (25),1622,1916,R
24,25.,Bill Terry+ (28),1621,1927,L
25,26.,Tom Jones (34),1616,1908,R
26,26.,Harry Swacina (32),1616,1914,R
27,28.,Fred Beck (27),1614,1914,L
28,29.,Ed Konetchy (22),1610,1908,R
29,30.,Wally Pipp (24),1609,1917,L
30,31.,Jim Bottomley+ (26),1607,1926,L
31,32.,Steve Garvey (28),1606,1977,R
32,33.,Jason Thompson (22),1599,1977,L
33,34.,Fred Luderus (31),1597,1917,R
34,34.,Albert Pujols (25),1597,2005,R
35,36.,Charlie Grimm (25),1596,1924,L
36,37.,Joe Nealon (21),1592,1906,R
37,37.,Bill Terry+ (35),1592,1934,L
38,39.,Donn Clendenon (32),1587,1968,R
39,39.,Elbie Fletcher (21),1587,1937,L
40,39.,Frank McCormick (29),1587,1940,R
41,39.,Fred Tenney (35),1587,1907,L
42,43.,Keith Hernandez (28),1586,1982,L
43,43.,Stuffy McInnis (29),1586,1920,R
44,45.,Ed Konetchy (23),1584,1909,R
45,45.,Bill Terry+ (29),1584,1928,L
46,47.,Steve Garvey (27),1583,1976,R
47,48.,Mark Grace (28),1580,1992,L
48,49.,George Burns (21),1579,1914,R
49,50.,Ed Konetchy (28),1576,1914,R
50,51.,Bill Terry+ (30),1575,1929,L
51,52.,Steve Balboni (28),1573,1985,R
52,53.,Donn Clendenon (29),1572,1965,R
53,53.,Keith Hernandez (26),1572,1980,L
54,55.,Babe Borton (26),1571,1915,L
55,56.,Willie Montanez (28),1569,1976,L
56,57.,High Pockets Kelly+ (27),1568,1923,R
57,58.,Hal Trosky (22),1567,1935,R
58,59.,Lou Gehrig+ (23),1566,1926,L
59,60.,Ernie Banks+ (33),1565,1964,R
60,60.,Earl Sheely (32),1565,1925,R
61,62.,Earl Sheely (30),1563,1923,R
62,63.,Jerry Freeman (28),1561,1908,R
63,64.,Chick Gandil (28),1557,1916,R
64,65.,Fred Tenney (33),1556,1905,L
65,66.,High Pockets Kelly+ (25),1552,1921,R
66,66.,Tommy Tucker (34),1552,1898,R
67,68.,Stuffy McInnis (30),1549,1921,R
68,69.,Bill Buckner (32),1547,1982,L
69,70.,Steve Garvey (29),1546,1978,R
70,71.,Fritz Mollwitz (25),1545,1915,R
71,72.,Ray Grimes (27),1544,1921,R
72,72.,Candy LaChance (32),1544,1902,R
73,74.,Elbie Fletcher (27),1541,1943,L
74,75.,Steve Garvey (33),1539,1982,R
75,76.,Eddie Murray+ (28),1538,1984,R
76,76.,Bill Terry+ (31),1538,1930,L
77,78.,High Pockets Kelly+ (33),1537,1929,R
78,79.,Steve Garvey (25),1536,1974,R
79,79.,Ed Konetchy (29),1536,1915,R
80,81.,Fred Luderus (27),1533,1913,R
81,81.,Stuffy McInnis (21),1533,1912,R
82,83.,Andres Galarraga (35),1528,1996,R
83,83.,Walter Holke (27),1528,1920,L
84,85.,Jake Beckley+ (36),1526,1904,L
85,86.,Jake Beckley+ (24),1523,1892,L
86,87.,Vic Saier (23),1521,1914,R
87,88.,Mark Grace (27),1520,1991,L
88,89.,Bill Everitt (29),1519,1898,R
89,90.,Carlos Delgado (29),1518,2001,R
90,90.,Frank McCormick (28),1518,1939,R
91,92.,Charlie Grimm (22),1517,1921,L
92,92.,Roy Leslie (27),1517,1922,R
93,94.,Walter Holke (31),1516,1924,L
94,95.,Dolph Camilli (32),1515,1939,L
95,96.,Joe Hauser (25),1513,1924,L
96,96.,Buck Jordan (26),1513,1933,R
97,96.,Wally Pipp (23),1513,1916,L
98,96.,Bill White (30),1513,1964,L
99,100.,Elbie Fletcher (24),1512,1940,L
100,100.,Earl Sheely (29),1512,1922,R
101,100.,Gus Suhr (32),1512,1938,R
102,103.,Jim Bottomley+ (33),1511,1933,L
103,104.,George Sisler+ (23),1510,1916,L
104,105.,Don Hurst (23),1509,1929,L
105,106.,Frank McCormick (33),1508,1944,R
106,106.,George Stovall (30),1508,1908,R
107,108.,Hal Chase (23),1507,1906,L
108,109.,Lu Blue (25),1506,1922,L
109,110.,Babe Young (24),1505,1940,L
110,111.,Stuffy McInnis (22),1504,1913,R
111,111.,Eddie Murray+ (22),1504,1978,R
112,111.,Bob Unglaub (26),1504,1907,R
113,114.,Les Fleming (26),1503,1942,L
114,114.,Jason Thompson (23),1503,1978,L
115,116.,Steve Garvey (31),1502,1980,R
116,116.,Tom Jones (31),1502,1905,R
117,118.,Zeke Bonura (27),1500,1936,R
118,118.,Steve Garvey (26),1500,1975,R
119,118.,Stuffy McInnis (32),1500,1923,R
120,118.,Jake Virtue (27),1500,1892,L
121,122.,George Burns (33),1499,1926,R
122,122.,Hal Chase (34),1499,1917,L
123,122.,Ed Konetchy (24),1499,1910,R
124,122.,Fred Luderus (30),1499,1916,R
125,126.,Dan Brouthers+ (34),1498,1892,L
126,126.,Joe Kuhel (27),1498,1933,L
127,126.,Wes Parker (30),1498,1970,L
128,129.,Charlie Grimm (21),1496,1920,L
129,130.,Paul Goldschmidt (25),1494,2013,R
130,130.,Fred Merkle (30),1494,1919,R
131,132.,Bill Terry+ (33),1493,1932,L
132,133.,Will Clark (24),1492,1988,L
133,134.,Cap Anson+ (40),1491,1892,R
134,134.,Lu Blue (32),1491,1929,L
135,134.,Bill Everitt (30),1491,1899,R
136,137.,Keith Hernandez (25),1489,1979,L
137,138.,Babe Dahlgren (28),1488,1940,R
138,138.,Lou Gehrig+ (25),1488,1928,L
139,138.,Wally Pipp (26),1488,1919,L
140,138.,Jake Stahl (31),1488,1910,R
141,142.,Wally Joyner (27),1487,1989,L
142,142.,Tony Lupien (26),1487,1943,L
143,142.,Hal Trosky (21),1487,1934,R
144,145.,Lew Fonseca (30),1486,1929,R
145,145.,Phil Todt (26),1486,1928,L
