,Rank,Player (age that year),Errors Committed as 1B,Year,Throws
0,1.,Joe Quinn (21),62,1884,R
1,2.,Cap Anson+ (32),58,1884,R
2,3.,Cap Anson+ (33),57,1885,R
3,3.,Dan Stearns (21),57,1883,R
4,5.,John Kerins (26),56,1885,R
5,6.,Tim Murnane (25),55,1876,R
6,6.,Otto Schomberg (22),55,1887,L
7,8.,Martin Powell (27),54,1883,L
8,8.,Dan Stearns (22),54,1884,R
9,10.,Alex McKinnon (27),53,1884,
10,11.,Jim Field (20),52,1883,
11,11.,Jim Field (21),52,1884,
12,13.,Dan Brouthers+ (32),50,1890,L
13,14.,Dave Orr (24),49,1884,R
14,14.,Jumbo Schoeneck (22),49,1884,R
15,14.,Dan Stearns (27),49,1889,R
16,14.,Oscar Walker (25),49,1879,L
17,18.,Cap Anson+ (34),48,1886,R
18,18.,Bill Phillips (27),48,1884,R
19,20.,Bill Everitt (30),47,1899,R
20,20.,Bill Joyce (30),47,1898,R
21,22.,Roger Connor+ (23),46,1881,L
22,22.,Alex McKinnon (29),46,1886,
23,24.,Cap Anson+ (30),45,1882,R
24,24.,Charlie Levis (24),45,1884,
25,24.,Harry Stovey (27),45,1884,R
26,24.,Ed Swartwood (24),45,1883,R
27,24.,Tommy Tucker (28),45,1892,R
28,29.,Cap Anson+ (40),44,1892,R
29,29.,Dan Brouthers+ (25),44,1883,L
30,29.,Roger Connor+ (25),44,1883,L
31,29.,Martin Powell (26),44,1882,L
32,29.,Tommy Tucker (25),44,1889,R
33,29.,Jake Virtue (26),44,1891,L
34,35.,Charlie Comiskey+ (23),43,1883,R
35,35.,Paul Hines (34),43,1889,R
36,35.,Henry Larkin (28),43,1888,R
37,35.,Mox McQuery (25),43,1886,
38,35.,Joe Start (40),43,1883,L
39,40.,Dan Brouthers+ (28),42,1886,L
40,40.,Dan Brouthers+ (30),42,1888,L
41,40.,Charlie Comiskey+ (28),42,1888,R
42,40.,Bill Everitt (29),42,1898,R
43,40.,Sid Farrar (24),42,1884,R
44,40.,Jake Goodman (24),42,1878,
45,40.,Cal McVey (29),42,1879,R
46,40.,Everett Mills (31),42,1876,
47,40.,Perry Werden (31),42,1893,R
48,49.,Jack Doyle (30),41,1900,R
49,49.,Jerry Freeman (28),41,1908,R
50,49.,John Reilly (26),41,1885,R
51,52.,Cap Anson+ (31),40,1883,R
52,52.,Charlie Comiskey+ (24),40,1884,R
53,52.,Roger Connor+ (35),40,1893,L
54,52.,Joe Gerhardt (21),40,1876,R
55,52.,Charlie Hickman (26),40,1902,R
56,52.,Charlie Hickman (27),40,1903,R
57,52.,John Reilly (24),40,1883,R
58,52.,John Reilly (27),40,1886,R
59,60.,Charlie Comiskey+ (29),39,1889,R
60,60.,Sid Farrar (23),39,1883,R
61,60.,Charlie Gould (28),39,1876,R
62,60.,Dave Orr (25),39,1885,R
63,64.,Jake Beckley+ (24),38,1892,L
64,64.,Dan Brouthers+ (29),38,1887,L
65,64.,Harry Davis (33),38,1907,R
66,64.,Jack Doyle (24),38,1894,R
67,64.,Jim Field (22),38,1885,
68,64.,Henry Larkin (32),38,1892,R
69,64.,Milt Scott (23),38,1884,
70,64.,Milt Scott (25),38,1886,
71,72.,Dan Brouthers+ (26),37,1884,L
72,72.,Harry Davis (32),37,1906,R
73,72.,Jimmy Knowles (27),37,1884,
74,72.,Harry Stovey (26),37,1883,R
75,76.,Cap Anson+ (35),36,1887,R
76,76.,Jack Boyle (29),36,1895,R
77,76.,Ed Cartwright (34),36,1894,R
