,Rank,Player (age that year),Double Plays Turned as 1B,Year,Throws
0,1.,Ferris Fain (28),194,1949,L
1,2.,Ferris Fain (29),192,1950,L
2,3.,Donn Clendenon (30),182,1966,R
3,4.,Andres Galarraga (36),176,1997,R
4,5.,Ron Jackson (26),175,1979,R
5,5.,Albert Pujols (25),175,2005,R
6,7.,Gil Hodges (27),171,1951,R
7,8.,Mickey Vernon (31),168,1949,L
8,9.,Carlos Delgado (29),166,2001,R
9,9.,Ted Kluszewski (29),166,1954,L
10,11.,Rudy York (30),163,1944,R
11,12.,Rod Carew+ (31),161,1977,R
12,12.,Donn Clendenon (29),161,1965,R
13,14.,Cecil Cooper (30),160,1980,L
14,15.,Gil Hodges (26),159,1950,R
15,15.,Jake Jones (26),159,1947,R
16,17.,Eddie Murray+ (24),158,1980,R
17,17.,Mickey Rocco (28),158,1944,L
18,17.,Mark Teixeira (26),158,2006,R
19,17.,Mickey Vernon (35),158,1953,L
20,21.,Carlos Delgado (28),157,2000,R
21,21.,Tito Francona (28),157,1962,L
22,21.,Lou Gehrig+ (35),157,1938,L
23,21.,George McQuinn (30),157,1940,L
24,21.,Rafael Palmeiro (31),157,1996,L
25,26.,Cecil Cooper (32),156,1982,L
26,26.,Todd Helton (24),156,1998,L
27,26.,Todd Helton (32),156,2006,L
28,26.,John Mayberry (24),156,1973,L
29,26.,Mo Vaughn (32),156,2000,R
30,31.,Whitey Lockman (25),155,1952,R
31,31.,Tony Lupien (31),155,1948,L
32,33.,Donn Clendenon (27),154,1963,R
33,33.,Andres Galarraga (35),154,1996,R
34,33.,Adam LaRoche (27),154,2007,L
35,33.,Don Mattingly (24),154,1985,L
36,33.,Eddie Murray+ (29),154,1985,R
37,33.,John Olerud (31),154,2000,L
38,33.,Rudy York (32),154,1946,R
39,40.,Chris Chambliss (24),153,1973,R
40,40.,Chris Davis (27),153,2013,R
41,40.,Jimmie Foxx+ (30),153,1938,R
42,40.,Todd Helton (33),153,2007,L
43,40.,Ted Kluszewski (30),153,1955,L
44,40.,Frank McCormick (28),153,1939,R
45,40.,Jason Thompson (23),153,1978,L
46,47.,Les Fleming (26),152,1942,L
47,47.,Todd Helton (25),152,1999,L
48,47.,Gil Hodges (28),152,1952,R
49,47.,Eddie Murray+ (28),152,1984,R
50,51.,Rudy York (33),151,1947,R
51,52.,Zeke Bonura (27),150,1936,R
52,52.,Joe Kuhel (29),150,1935,L
53,52.,Lyle Overbay (33),150,2010,L
54,52.,Tony Perez+ (38),150,1980,R
