,Rank,Player (age that year),Assists as 3B,Year,Throws
0,1.,Graig Nettles (26),412,1971,R
1,2.,Graig Nettles (28),410,1973,R
2,2.,Brooks Robinson+ (37),410,1974,R
3,4.,Harlond Clift (24),405,1937,R
4,4.,Brooks Robinson+ (30),405,1967,R
5,6.,Mike Schmidt+ (24),404,1974,R
6,7.,Doug DeCinces (31),399,1982,R
7,8.,Brandon Inge (29),398,2006,R
8,9.,Buddy Bell (30),396,1982,R
9,9.,Clete Boyer (25),396,1962,R
10,9.,Mike Schmidt+ (27),396,1977,R
11,12.,Ron Santo+ (27),393,1967,R
12,13.,Terry Pendleton (28),392,1989,R
13,14.,Ron Santo+ (26),391,1966,R
14,15.,Vinny Castilla (28),389,1996,R
15,15.,Aurelio Rodriguez (26),389,1974,R
16,17.,Nolan Arenado (24),385,2015,R
17,17.,Ossie Vitt (26),385,1916,R
18,19.,Buddy Bell (31),383,1983,R
19,19.,Graig Nettles (31),383,1976,R
20,19.,Tim Wallach (27),383,1985,R
21,22.,Billy Shindle (31),382,1892,R
22,23.,Darrell Evans (28),381,1975,R
23,24.,Graig Nettles (30),379,1975,R
24,25.,Nolan Arenado (25),378,2016,R
25,25.,Brandon Inge (28),378,2005,R
26,25.,Frank Malzone (28),378,1958,R
27,25.,Ron Santo+ (28),378,1968,R
28,29.,Graig Nettles (29),377,1974,R
29,29.,Aurelio Rodriguez (22),377,1970,R
30,29.,Mike Schmidt+ (26),377,1976,R
31,32.,Jimmy Collins+ (29),376,1899,R
32,33.,Aurelio Rodriguez (27),375,1975,R
33,34.,Ron Santo+ (23),374,1963,R
34,35.,George Brett+ (26),373,1979,R
35,35.,Ron Santo+ (25),373,1965,R
36,35.,Kyle Seager (28),373,2016,R
37,38.,Mike Schmidt+ (30),372,1980,R
38,38.,Robin Ventura (24),372,1992,R
39,40.,Tommy Leach (26),371,1904,R
40,40.,Bill Melton (25),371,1971,R
41,40.,Terry Pendleton (25),371,1986,R
42,43.,Arlie Latham (31),370,1891,R
43,43.,Frank Malzone (27),370,1957,R
44,43.,Brooks Robinson+ (32),370,1969,R
45,46.,Darrell Evans (32),369,1979,R
46,46.,Ken Keltner (27),369,1944,R
47,46.,Terry Pendleton (26),369,1987,R
48,46.,Lee Tannehill (23),369,1904,R
49,50.,Wade Boggs+ (25),368,1983,R
50,50.,Mike Schmidt+ (25),368,1975,R
51,52.,Darrell Evans (27),367,1974,R
52,52.,Ron Santo+ (24),367,1964,R
53,54.,Ron Cey (26),365,1974,R
54,55.,Buddy Bell (27),364,1979,R
55,56.,Buddy Bell (21),363,1973,R
56,57.,Larry Gardner (34),362,1920,R
57,58.,Terry Pendleton (24),361,1985,R
58,58.,Mike Schmidt+ (29),361,1979,R
59,60.,Gary Gaetti (24),360,1983,R
60,61.,Pedro Alvarez (26),359,2013,R
61,61.,Bobby Byrne (24),359,1909,R
62,63.,Lave Cross (33),358,1899,R
63,63.,Graig Nettles (25),358,1970,R
64,63.,Lee Tannehill (24),358,1905,R
65,66.,Frank Malzone (29),357,1959,R
66,66.,Doug Rader (25),357,1970,R
67,68.,Buddy Bell (26),355,1978,R
68,68.,George Brett+ (22),355,1975,R
69,68.,Art Devlin (26),355,1906,R
70,68.,Manny Machado (20),355,2013,R
71,68.,Jimmy Williams (22),355,1899,R
72,73.,Clete Boyer (28),354,1965,R
73,73.,Rube Lutzke (25),354,1923,R
74,73.,Charlie Reilly (23),354,1890,R
75,73.,Brooks Robinson+ (34),354,1971,R
76,73.,Brooks Robinson+ (36),354,1973,R
77,78.,Clete Boyer (24),353,1961,R
78,78.,Gary Gaetti (32),353,1991,R
79,78.,Ken Keltner (25),353,1942,R
80,78.,Jeff King (28),353,1993,R
81,78.,Brooks Robinson+ (31),353,1968,R
82,83.,Willie Kamm (23),352,1923,R
83,83.,Aurelio Rodriguez (21),352,1969,R
84,83.,Kyle Seager (27),352,2015,R
85,86.,Lave Cross (32),351,1898,R
86,86.,Eddie Mathews+ (26),351,1958,R
87,86.,Billy Nash (27),351,1892,R
88,89.,Ken Boyer (27),350,1958,R
89,89.,Babe Pinelli (26),350,1922,R
90,91.,Troy Glaus (23),349,2000,R
91,91.,Kelly Gruber (26),349,1988,R
92,91.,Terry Pendleton (30),349,1991,R
93,91.,Heinie Zimmerman (30),349,1917,R
94,95.,Bobby Byrne (22),348,1907,R
95,95.,Darrell Evans (31),348,1978,R
96,95.,Eddie Foster (25),348,1912,R
