,Rank,Player (age that year),Def. Games as SS,Year,Throws
0,1.,Maury Wills (29),165,1962,R
1,2.,Jose Pagan (27),164,1962,R
2,2.,Frank Taveras (29),164,1979,R
3,4.,Leo Cardenas (25),163,1964,R
4,4.,Tony Fernandez (24),163,1986,R
5,6.,Larry Bowa (28),162,1974,R
6,6.,Ed Brinkman (31),162,1973,R
7,6.,Orlando Cabrera (26),162,2001,R
8,6.,Orlando Cabrera (28),162,2003,R
9,6.,Starlin Castro (22),162,2012,R
10,6.,Alcides Escobar (27),162,2014,R
11,6.,Alcides Escobar (29),162,2016,R
12,6.,Alcides Escobar (30),162,2017,R
13,6.,Jim Fregosi (24),162,1966,R
14,6.,Alfredo Griffin (24),162,1982,R
15,6.,Alfredo Griffin (27),162,1985,R
16,6.,Alfredo Griffin (28),162,1986,R
17,6.,Dick Howser (28),162,1964,R
18,6.,Neifi Perez (25),162,1998,R
19,6.,Neifi Perez (27),162,2000,R
20,6.,Cal Ripken Jr.+ (22),162,1983,R
21,6.,Cal Ripken Jr.+ (23),162,1984,R
22,6.,Cal Ripken Jr.+ (25),162,1986,R
23,6.,Cal Ripken Jr.+ (26),162,1987,R
24,6.,Cal Ripken Jr.+ (28),162,1989,R
25,6.,Cal Ripken Jr.+ (30),162,1991,R
26,6.,Cal Ripken Jr.+ (31),162,1992,R
27,6.,Cal Ripken Jr.+ (32),162,1993,R
28,6.,Alex Rodriguez (26),162,2002,R
29,6.,Jimmy Rollins (28),162,2007,R
30,6.,Bill Russell (24),162,1973,R
31,6.,Miguel Tejada (27),162,2001,R
32,6.,Miguel Tejada (28),162,2002,R
33,6.,Miguel Tejada (29),162,2003,R
34,6.,Miguel Tejada (30),162,2004,R
35,36.,Dale Berra (26),161,1983,R
36,36.,Jeff Blauser (27),161,1993,R
37,36.,Orlando Cabrera (33),161,2008,R
38,36.,Tony Fernandez (28),161,1990,R
39,36.,Dick Groat (31),161,1962,R
40,36.,Ron Hansen (27),161,1965,R
41,36.,Barry Larkin+ (35),161,1999,R
42,36.,Jose Reyes (22),161,2005,R
43,36.,Cal Ripken Jr.+ (24),161,1985,R
44,36.,Cal Ripken Jr.+ (27),161,1988,R
45,36.,Cal Ripken Jr.+ (29),161,1990,R
46,36.,Alex Rodriguez (25),161,2001,R
47,36.,Marcus Semien (28),161,2019,R
48,36.,Roy Smalley (26),161,1979,R
49,36.,Robin Yount+ (20),161,1976,R
50,51.,Elvis Andrus (26),160,2015,R
51,51.,Leo Cardenas (27),160,1966,R
52,51.,Leo Cardenas (30),160,1969,R
