,Rank,Player (age that year),Putouts as SS,Year,Throws
0,1.,Donie Bush (26),425,1914,R
1,1.,Hughie Jennings+ (26),425,1895,R
2,3.,Joe Cassidy (22),408,1905,R
3,4.,Rabbit Maranville+ (22),407,1914,R
4,5.,Dave Bancroft+ (31),405,1922,R
5,5.,Eddie Miller (23),405,1940,R
6,7.,Monte Cross (28),404,1898,R
7,8.,Dave Bancroft+ (30),396,1921,R
8,9.,Mickey Doolin (26),395,1906,R
9,10.,Buck Weaver (22),392,1913,R
10,11.,Buck Herzog (29),391,1915,R
11,11.,Rabbit Maranville+ (23),391,1915,R
12,13.,Ed Abbaticchio (28),386,1905,R
13,13.,Rabbit Maranville+ (24),386,1916,R
14,15.,Bobby Wallace+ (31),385,1905,R
15,16.,Doc Lavan (30),382,1921,R
16,17.,Dick Bartell (25),381,1933,R
17,18.,Everett Scott (28),380,1921,R
18,19.,Ray Chapman (24),378,1915,R
19,20.,Hughie Jennings+ (27),377,1896,R
20,21.,Monte Cross (32),373,1902,R
21,21.,Heinie Wagner (27),373,1908,R
22,23.,Donie Bush (23),372,1911,R
23,23.,George McBride (27),372,1908,R
24,25.,Dave Bancroft+ (27),371,1918,R
25,25.,Tommy Thevenow (22),371,1926,R
26,27.,Charlie Babb (31),370,1904,R
27,27.,Monte Cross (29),370,1899,R
28,27.,Eddie Joost (31),370,1947,R
29,27.,George McBride (29),370,1910,R
30,31.,Bill Dahlen (28),369,1898,R
31,32.,Ed Abbaticchio (27),367,1904,R
32,32.,George McBride (33),367,1914,R
33,32.,Buck Weaver (23),367,1914,R
34,35.,Dave Bancroft+ (29),362,1920,R
35,36.,Rabbit Maranville+ (27),361,1919,R
36,36.,Joe Sewell+ (28),361,1927,R
37,38.,Ray Chapman (26),360,1917,R
38,39.,Dick Bartell (24),359,1932,R
39,39.,Rabbit Maranville+ (30),359,1922,R
40,41.,Charley O'Leary (29),358,1905,R
41,41.,Heinie Sand (28),358,1926,R
42,43.,Bill Cissell (25),357,1929,R
43,43.,Eddie Miller (27),357,1944,R
44,45.,Roger Peckinpaugh (23),356,1914,R
45,46.,Hod Ford (30),355,1928,R
46,47.,Rudy Hulswitt (26),354,1903,R
47,47.,Travis Jackson+ (24),354,1928,R
48,47.,Rabbit Maranville+ (28),354,1920,R
49,47.,Joe Tinker+ (31),354,1912,R
50,47.,Honus Wagner+ (34),354,1908,R
51,52.,Tommy Corcoran (29),353,1898,R
52,52.,Tommy Corcoran (35),353,1904,R
53,52.,Jimmy Esmond (25),353,1915,R
54,52.,George McBride (30),353,1911,R
55,52.,Charley O'Leary (31),353,1907,R
56,52.,Honus Wagner+ (31),353,1905,R
57,58.,Frankie Crosetti (27),352,1938,R
58,58.,Mickey Doolin (29),352,1909,R
59,58.,Eddie Joost (33),352,1949,R
60,58.,Heinie Sand (27),352,1925,R
61,62.,Herman Long (33),351,1899,R
62,63.,Dave Bancroft+ (37),350,1928,R
63,63.,Dick Bartell (26),350,1934,R
64,65.,George Davis+ (27),349,1898,R
65,65.,Mickey Doolin (35),349,1915,R
66,65.,Billy Gilbert (26),349,1902,R
67,65.,George McBride (31),349,1912,R
68,65.,Ivy Olson (33),349,1919,R
69,65.,Joe Sewell+ (25),349,1924,R
70,71.,Ernie Johnson (27),348,1915,R
71,71.,Billy Jurges (27),348,1935,R
