,Rank,Player (age that year),Assists as SS,Year,Throws
0,1.,Ozzie Smith+ (25),621,1980,R
1,2.,Glenn Wright (23),601,1924,R
2,3.,Dave Bancroft+ (29),598,1920,R
3,4.,Tommy Thevenow (22),597,1926,R
4,5.,Ivan de Jesus (24),595,1977,R
5,6.,Cal Ripken Jr.+ (23),583,1984,R
6,7.,Whitey Wietelmann (24),581,1943,R
7,8.,Dave Bancroft+ (31),579,1922,R
8,9.,Rabbit Maranville+ (22),574,1914,R
9,10.,Don Kessinger (25),573,1968,R
10,11.,Roy Smalley (26),572,1979,R
11,12.,Leo Cardenas (30),570,1969,R
12,12.,Ozzie Guillen (24),570,1988,R
13,12.,Joe Tinker+ (27),570,1908,R
14,12.,Terry Turner (25),570,1906,R
15,16.,Ed Brinkman (28),569,1970,R
16,16.,Heinie Wagner (27),569,1908,R
17,18.,George McBride (27),568,1908,R
18,19.,Donie Bush (21),567,1909,R
19,20.,Art Fletcher (32),565,1917,R
20,21.,Luis Aparicio+ (35),563,1969,R
21,22.,Tommy Corcoran (29),561,1898,R
22,22.,Germany Smith (33),561,1892,R
23,22.,Troy Tulowitzki (22),561,2007,R
24,25.,Larry Bowa (25),560,1971,R
25,25.,Bill Russell (24),560,1973,R
26,27.,Dick Bartell (28),559,1936,R
27,28.,Ivan de Jesus (25),558,1978,R
28,29.,Luke Appling+ (28),556,1935,R
29,29.,Donie Bush (23),556,1911,R
30,31.,Ozzie Smith+ (24),555,1979,R
31,32.,Tommy Thevenow (26),554,1930,R
32,33.,Bill Dahlen (38),553,1908,R
33,34.,Mark Belanger (30),552,1974,R
34,34.,Travis Jackson+ (25),552,1929,R
35,36.,Luis Aparicio+ (26),551,1960,R
36,37.,Ozzie Smith+ (30),549,1985,R
37,38.,Ozzie Smith+ (23),548,1978,R
38,39.,Donie Bush (24),547,1912,R
39,39.,Travis Jackson+ (24),547,1928,R
40,41.,Dave Bancroft+ (30),546,1921,R
41,41.,George McBride (30),546,1911,R
42,43.,Mark Belanger (32),545,1976,R
43,44.,Donie Bush (26),544,1914,R
44,44.,Art Fletcher (30),544,1915,R
45,44.,Eddie Miller (27),544,1944,R
46,47.,Bucky Dent (23),543,1975,R
47,47.,Eddie Miller (26),543,1943,R
48,49.,Don Kessinger (26),542,1969,R
49,49.,Arky Vaughan+ (28),542,1940,R
50,49.,Bobby Wallace+ (27),542,1901,R
51,52.,Luke Appling+ (30),541,1937,R
52,52.,Roy Smalley (24),541,1950,R
53,54.,Doc Lavan (30),540,1921,R
54,54.,Vern Stephens (27),540,1948,R
55,56.,Bill Almon (24),538,1977,R
56,56.,Everett Scott (29),538,1922,R
57,58.,Bob Allen (24),537,1892,R
58,58.,Ollie Beard (27),537,1889,R
59,58.,Hughie Jennings+ (23),537,1892,R
60,61.,Dave Concepcion (26),536,1974,R
61,61.,Rabbit Maranville+ (37),536,1929,R
62,63.,Luis Aparicio+ (34),535,1968,R
63,63.,Ozzie Smith+ (27),535,1982,R
64,63.,Maury Wills (32),535,1965,R
65,66.,Luke Appling+ (26),534,1933,R
66,66.,Travis Jackson+ (20),534,1924,R
67,66.,Cal Ripken Jr.+ (22),534,1983,R
68,69.,Bill Russell (29),533,1978,R
69,69.,Dickie Thon (25),533,1983,R
70,71.,Tommy Corcoran (36),531,1905,R
71,71.,Jim Fregosi (24),531,1966,R
72,71.,Cal Ripken Jr.+ (28),531,1989,R
73,71.,Arky Vaughan+ (27),531,1939,R
74,75.,Mark Belanger (29),530,1973,R
75,75.,Hal Lanier (26),530,1969,R
76,75.,Glenn Wright (24),530,1925,R
77,78.,Dick Bartell (24),529,1932,R
78,78.,Monte Cross (29),529,1899,R
79,78.,Ivan de Jesus (27),529,1980,R
80,78.,J.J. Hardy (29),529,2012,R
81,78.,Rabbit Maranville+ (29),529,1921,R
82,78.,Joe Sewell+ (26),529,1925,R
83,84.,Rick Burleson (29),528,1980,R
84,84.,Ray Chapman (26),528,1917,R
85,84.,Joe Cronin+ (26),528,1933,R
86,84.,Rafael Ramirez (24),528,1982,R
87,84.,Cal Ripken Jr.+ (30),528,1991,R
