,Rank,Player (age that year),Errors Committed as SS,Year,Throws
0,1.,Billy Shindle (29),119,1890,R
1,2.,Frank Fennelly (26),117,1886,R
2,2.,Herman Long (23),117,1889,R
3,4.,Phil Tomney (26),114,1889,R
4,5.,John Ward+ (30),105,1890,R
5,6.,Lou Say (30),102,1884,R
6,6.,Joe Sullivan (23),102,1893,
7,8.,Frank Fennelly (28),100,1888,R
8,9.,Frank Fennelly (27),99,1887,R
9,9.,Herman Long (26),99,1892,R
10,9.,Ed McKean (23),99,1887,R
11,9.,Frank Shugart (25),99,1892,R
12,13.,John Gochnaur (27),98,1903,R
13,13.,Herman Long (27),98,1893,R
14,15.,Gene DeMontreville (23),97,1896,R
15,15.,Bill Keister (29),97,1901,R
16,17.,Tom Burns (28),96,1885,R
17,17.,Bill White (27),96,1887,R
18,19.,Bill White (26),95,1886,R
19,20.,Billy Geer,94,1884,R
20,20.,Germany Smith (29),94,1888,R
21,22.,Jim Canavan (24),93,1891,R
22,22.,Monte Cross (28),93,1898,R
23,22.,Frank Fennelly (29),93,1889,R
24,25.,Shorty Fuller (24),92,1892,R
25,25.,Ed McKean (28),92,1892,R
26,25.,Frank Scheibeck (25),92,1890,R
27,28.,Shorty Fuller (22),91,1890,R
28,28.,Ed McKean (27),91,1891,R
29,30.,Monte Cross (29),90,1899,R
30,30.,Hughie Jennings+ (23),90,1892,R
31,32.,Tommy Corcoran (21),88,1890,R
32,32.,Sam Wise (25),88,1883,R
33,34.,Ollie Beard (27),87,1889,R
34,34.,Milt Whitehead (22),87,1884,R
35,36.,Bill Dahlen (25),86,1895,R
36,36.,Chippy McGarr (24),86,1887,R
37,36.,John Ward+ (28),86,1888,R
38,39.,Bill Gleason (23),85,1882,R
39,39.,Sadie Houck (27),85,1883,R
40,39.,Herman Long (25),85,1891,R
41,39.,Germany Smith (27),85,1886,R
42,43.,Monte Cross (26),84,1896,R
43,43.,Herman Long (29),84,1895,R
44,45.,Bill Gleason (27),83,1886,R
45,45.,Bill Gleason (28),83,1887,R
46,45.,Herman Long (30),83,1896,R
47,45.,Bill McClellan (28),83,1884,L
48,49.,Gil Hatfield (36),82,1891,R
49,49.,Lou Say (29),82,1883,R
50,49.,Bill White (28),82,1888,R
51,52.,Rudy Hulswitt (26),81,1903,R
52,52.,Harry Lochhead (23),81,1899,R
53,52.,Germany Smith (26),81,1885,R
54,52.,Bobby Wheelock (26),81,1891,R
55,56.,Neal Ball (27),80,1908,R
56,56.,Bill Gleason (29),80,1888,R
57,58.,Bob Allen (23),79,1891,R
58,58.,Ed Delahanty+ (22),79,1890,R
59,58.,Bones Ely (31),79,1894,R
60,58.,Shorty Fuller (23),79,1891,R
61,62.,Ed Abbaticchio (27),78,1904,R
62,62.,Gene DeMontreville (24),78,1897,R
