,Rank,Player (age that year),Putouts as LF (s.1901),Year,Throws
0,1.,Joe Vosmik (22),424,1932,R
1,2.,Rickey Henderson+ (21),412,1980,L
2,3.,Gil Coan (29),379,1951,R
3,4.,Ben Oglivie (31),377,1980,L
4,5.,Bibb Falk (28),370,1927,L
5,5.,Bobby Veach (33),370,1921,R
6,5.,Gary Ward (29),370,1983,R
7,8.,Elmer Valo (28),367,1949,R
8,9.,Barry Bonds (24),366,1989,L
9,9.,Bobby Veach (34),366,1922,R
10,11.,Austin McHenry (25),363,1921,R
11,12.,Fred Clarke+ (36),361,1909,R
12,13.,Ralph Kiner+ (25),360,1948,R
13,14.,Brady Anderson (28),359,1992,L
14,14.,Rocky Colavito (28),359,1962,R
15,14.,Goose Goslin+ (23),359,1924,R
16,17.,Max Carey+ (22),358,1912,R
17,17.,Ben Oglivie (33),358,1982,L
18,19.,Burt Shotton (31),357,1916,R
19,20.,Del Ennis (24),356,1949,R
20,20.,Bobby Veach (29),356,1917,R
21,22.,Charlie Jamieson (30),354,1923,L
22,22.,Bobby Veach (32),354,1920,R
23,22.,Zack Wheat+ (22),354,1910,R
24,25.,Ralph Kiner+ (24),353,1947,R
25,26.,Albert Belle (30),352,1997,R
26,26.,Al Simmons+ (27),352,1929,R
27,28.,Luis Gonzalez (25),350,1993,R
28,28.,Rickey Henderson+ (23),350,1982,L
29,28.,Heinie Manush+ (26),350,1928,L
30,31.,Bob Bescher (28),347,1912,L
31,32.,Fred Clarke+ (35),346,1908,R
32,33.,Tony Phillips (37),345,1996,R
33,33.,Pete Rose (32),345,1973,R
34,33.,Zack Wheat+ (27),345,1915,R
35,36.,Warren Cromartie (25),344,1979,L
36,36.,Pete Rose (33),344,1974,R
37,38.,Warren Cromartie (24),342,1978,L
38,38.,Goose Goslin+ (26),342,1927,R
39,38.,Bobby Veach (28),342,1916,R
40,38.,Roy White (29),342,1973,R
41,42.,Carson Bigbee (27),341,1922,R
42,42.,Carl Crawford (23),341,2005,L
43,42.,Alex Gordon (30),341,2014,R
44,42.,Sherry Magee (20),341,1905,R
45,46.,Jim Greengrass (25),340,1953,R
46,46.,Al Simmons+ (31),340,1933,R
47,48.,Bob Bescher (26),339,1910,L
48,48.,George Burns (30),339,1920,R
49,48.,Whitey Lockman (22),339,1949,R
50,48.,Jim Rice+ (30),339,1983,R
51,48.,Ken Williams (32),339,1922,R
52,53.,Zack Wheat+ (25),338,1913,R
