,Rank,Player (age that year),Errors Committed as LF (s.1901),Year,Throws
0,1.,Ken Williams (31),26,1921,R
1,2.,Bobby Veach (25),24,1913,R
2,3.,Jesse Burkett+ (36),22,1905,L
3,3.,Roy Johnson (26),22,1929,R
4,5.,Patsy Dougherty (28),21,1905,R
5,5.,Rube Ellis (25),21,1911,L
6,5.,Jack Graney (25),21,1911,L
7,5.,Willie Hogan (26),21,1911,R
8,9.,Bob Bescher (26),20,1910,L
9,9.,Patsy Dougherty (27),20,1904,R
10,9.,Jack Graney (28),20,1914,L
11,9.,Bob Johnson (29),20,1935,R
12,9.,Russ Scarritt (26),20,1929,R
13,9.,Burt Shotton (31),20,1916,R
14,15.,Bill Hinchman (26),19,1909,R
15,15.,Burt Shotton (30),19,1915,R
16,17.,Carson Bigbee (27),18,1922,R
17,17.,Jesse Burkett+ (35),18,1904,L
18,17.,Rube Ellis (24),18,1910,L
19,17.,Goose Goslin+ (31),18,1932,R
20,17.,Alex Johnson (26),18,1969,R
21,17.,Duffy Lewis (24),18,1912,R
22,17.,Red Murray (23),18,1907,R
23,17.,Tillie Walker (32),18,1920,R
24,17.,Zack Wheat+ (27),18,1915,R
25,26.,Charlie Jamieson (32),17,1925,L
26,26.,Roy Johnson (32),17,1935,R
27,26.,Duffy Lewis (22),17,1910,R
28,26.,Burt Shotton (32),17,1917,R
29,26.,Bobby Veach (29),17,1917,R
30,31.,John Anderson (32),16,1906,R
31,31.,Bert Daniels (29),16,1912,R
32,31.,Mike Donlin (26),16,1904,L
33,31.,Rube Ellis (23),16,1909,L
34,31.,Clyde Engle (25),16,1909,R
35,31.,Goose Goslin+ (23),16,1924,R
36,31.,Goose Goslin+ (26),16,1927,R
37,31.,Topsy Hartsel (31),16,1905,L
38,31.,Jack Hoey (24),16,1906,L
39,31.,Kip Selbach (32),16,1904,R
40,31.,Jimmy Slagle (30),16,1904,R
41,31.,Moose Solters (30),16,1936,R
42,31.,George Stone (31),16,1908,L
43,31.,Tillie Walker (23),16,1911,R
44,45.,George Bell (28),15,1988,R
45,45.,Bob Bescher (32),15,1916,L
46,45.,Goose Goslin+ (22),15,1923,R
47,45.,Hank Greenberg+ (29),15,1940,R
48,45.,Larry Herndon (29),15,1983,R
49,45.,Roy Johnson (31),15,1934,R
50,45.,Smead Jolley (30),15,1932,R
51,45.,Bill Lamar (28),15,1925,R
52,45.,Duffy Lewis (23),15,1911,R
53,45.,Irish Meusel (27),15,1920,R
54,45.,Irish Meusel (30),15,1923,R
55,45.,Rip Radcliff (30),15,1936,L
56,45.,Johnny Rizzo (25),15,1938,R
57,45.,Lonnie Smith (27),15,1983,R
58,45.,Moose Solters (31),15,1937,R
59,45.,Tillie Walker (33),15,1921,R
60,45.,Zack Wheat+ (22),15,1910,R
61,62.,Bob Bescher (27),14,1911,L
62,62.,Bob Bescher (28),14,1912,L
63,62.,Rube Bressler (34),14,1929,L
64,62.,Lou Brock+ (29),14,1968,L
65,62.,Lou Brock+ (30),14,1969,L
66,62.,Lou Brock+ (32),14,1971,L
67,62.,Gil Coan (29),14,1951,R
68,62.,Jose Cruz (31),14,1979,L
69,62.,Patsy Dougherty (30),14,1907,R
70,62.,Patsy Dougherty (33),14,1910,R
71,62.,Bibb Falk (26),14,1925,L
72,62.,Gus Felix (28),14,1923,R
73,62.,Goose Goslin+ (21),14,1922,R
74,62.,Goose Goslin+ (30),14,1931,R
75,62.,Jack Graney (30),14,1916,L
76,62.,Alex Johnson (25),14,1968,R
77,62.,Bob Johnson (27),14,1933,R
78,62.,Joe Kelly (30),14,1917,R
79,62.,Jay Kirke (24),14,1912,R
80,62.,Duffy Lewis (26),14,1914,R
81,62.,Duffy Lewis (27),14,1915,R
82,62.,Danny Litwhiler (24),14,1941,R
83,62.,Sherry Magee (20),14,1905,R
84,62.,Matty McIntyre (24),14,1904,L
85,62.,Joe Medwick+ (22),14,1934,R
86,62.,Sam Mertes (33),14,1906,R
87,62.,Willie Norwood (27),14,1978,R
88,62.,Lefty O'Doul (34),14,1931,L
89,62.,Mitchell Page (25),14,1977,R
90,62.,Chet Ross (23),14,1940,R
91,62.,Jimmy Sheckard (25),14,1904,R
92,62.,Jimmy Sheckard (32),14,1911,R
93,62.,Jimmy Sheckard (33),14,1912,R
94,62.,George Stone (28),14,1905,L
95,62.,Gee Walker (25),14,1933,R
96,62.,Zack Wheat+ (23),14,1911,R
97,62.,Zack Wheat+ (26),14,1914,R
98,62.,Zack Wheat+ (35),14,1923,R
99,100.,Bob Bescher (25),13,1909,L
100,100.,Dante Bichette (35),13,1999,R
101,100.,Johnny Blatnik (27),13,1948,R
102,100.,Lou Brock+ (27),13,1966,L
103,100.,Lou Brock+ (28),13,1967,L
104,100.,Lou Brock+ (33),13,1972,L
105,100.,Max Carey+ (23),13,1913,R
106,100.,Roy Carlyle (24),13,1925,R
107,100.,Ben Chapman (23),13,1932,R
108,100.,Jose Cruz (34),13,1982,L
109,100.,Josh Devore (22),13,1910,R
110,100.,Pat Duncan (26),13,1920,R
111,100.,Del Ennis (24),13,1949,R
112,100.,Bibb Falk (22),13,1921,L
113,100.,Gus Felix (32),13,1927,R
114,100.,Bob Fothergill (29),13,1927,R
115,100.,Goose Goslin+ (35),13,1936,R
116,100.,Jack Graney (31),13,1917,L
117,100.,Del Howard (28),13,1906,R
118,100.,Frank Huelsman (31),13,1905,R
119,100.,Pete Incaviglia (23),13,1987,R
120,100.,George Jackson (30),13,1912,R
121,100.,Charlie Jamieson (33),13,1926,L
122,100.,Bob Johnson (33),13,1939,R
123,100.,Bob Johnson (36),13,1942,R
124,100.,Duffy Lewis (25),13,1913,R
125,100.,Willie McCovey+ (25),13,1963,L
126,100.,Austin McHenry (25),13,1921,R
127,100.,Joe Medwick+ (23),13,1935,R
128,100.,Alex Metzler (26),13,1929,R
129,100.,Bing Miller (26),13,1921,R
130,100.,Ward Miller (29),13,1914,R
131,100.,Minnie Minoso (35),13,1961,R
132,100.,Lefty O'Doul (33),13,1930,L
133,100.,Whitey Platt (27),13,1948,R
134,100.,John Stone (25),13,1931,R
135,100.,Jack Tobin (27),13,1919,L
136,100.,Bobby Veach (32),13,1920,R
137,100.,Bobby Veach (36),13,1924,R
138,100.,Gee Walker (31),13,1939,R
139,100.,Zack Wheat+ (37),13,1925,R
140,100.,Billy Williams+ (26),13,1964,R
141,142.,Emil Batch (27),12,1907,R
142,142.,Ray Blades (27),12,1924,R
143,142.,Lou Brock+ (26),12,1965,L
144,142.,Lou Brock+ (34),12,1973,L
145,142.,George Burns (26),12,1916,R
146,142.,Max Carey+ (22),12,1912,R
147,142.,Max Carey+ (24),12,1914,R
148,142.,Claude Cooper (23),12,1915,L
149,142.,Kiki Cuyler+ (25),12,1924,R
150,142.,Josh Devore (23),12,1911,R
151,142.,Josh Devore (24),12,1912,R
152,142.,Patsy Dougherty (32),12,1909,R
153,142.,Adam Dunn (26),12,2006,R
154,142.,Rube Ellis (26),12,1912,L
155,142.,Kirk Gibson (31),12,1988,L
156,142.,Goose Goslin+ (27),12,1928,R
157,142.,Goose Goslin+ (29),12,1930,R
158,142.,Goose Goslin+ (33),12,1934,R
159,142.,Jack Graney (33),12,1919,L
160,142.,Rickey Henderson+ (29),12,1988,L
161,142.,Jim Jackson (27),12,1905,R
162,142.,Alex Johnson (27),12,1970,R
163,142.,Bob Johnson (30),12,1936,R
164,142.,Hal Lee (27),12,1932,R
165,142.,Billy Lush (30),12,1904,R
166,142.,Jack McCarthy (37),12,1906,L
167,142.,Mike Menosky (25),12,1920,R
168,142.,Ward Miller (30),12,1915,R
169,142.,Jo-Jo Moore (25),12,1934,R
170,142.,Bama Rowell (31),12,1947,R
171,142.,Frank Schulte (32),12,1915,R
172,142.,Burt Shotton (33),12,1918,R
173,142.,Hack Simmons (29),12,1914,R
174,142.,Lonnie Smith (34),12,1990,R
175,142.,Coaker Triplett (33),12,1945,R
176,142.,Bobby Veach (28),12,1916,R
177,142.,Bobby Veach (31),12,1919,R
178,142.,Zack Wheat+ (36),12,1924,R
179,142.,Ken Williams (33),12,1923,R
180,142.,Ken Williams (35),12,1925,R
181,142.,Ted Williams+ (21),12,1940,R
182,142.,Al Wingo (28),12,1926,R
183,184.,George Anderson (24),11,1914,R
184,184.,Clyde Barnhart (29),11,1925,R
185,184.,Beals Becker (27),11,1914,L
186,184.,George Bell (25),11,1985,R
