,Rank,Player (age that year),Assists as CF (s.1901),Year,Throws
0,1.,Tris Speaker+ (21),35,1909,L
1,1.,Tris Speaker+ (24),35,1912,L
2,3.,Happy Felsch (27),33,1919,R
3,4.,Benny Kauff (25),32,1915,L
4,4.,Clyde Milan (24),32,1911,R
5,6.,Fred Snodgrass (23),31,1911,R
6,7.,Ginger Beaumont (30),30,1907,R
7,7.,Clyde Milan (23),30,1910,R
8,7.,Clyde Milan (25),30,1912,R
9,7.,Tris Speaker+ (25),30,1913,L
10,7.,Tris Speaker+ (26),30,1914,L
11,12.,Jimmy Barrett (29),29,1904,R
12,12.,Max Carey+ (26),29,1916,R
13,12.,Cy Seymour (35),29,1908,L
14,12.,Burt Shotton (28),29,1913,R
15,12.,Stan Spence (29),29,1944,L
16,17.,Max Carey+ (27),28,1917,R
17,17.,Happy Felsch (28),28,1920,R
18,17.,Tris Speaker+ (35),28,1923,L
19,20.,Max Carey+ (33),27,1923,R
20,20.,Clyde Milan (29),27,1916,R
21,20.,Jigger Statz (25),27,1923,R
22,20.,Roy Thomas (31),27,1905,L
23,24.,Rebel Oakes (27),26,1911,R
24,24.,Tris Speaker+ (23),26,1911,L
25,24.,Tris Speaker+ (31),26,1919,L
26,24.,Cy Williams (33),26,1921,L
27,28.,Max Carey+ (28),25,1918,R
28,28.,Ira Flagstead (31),25,1925,R
29,28.,Cy Seymour (32),25,1905,L
30,28.,Tris Speaker+ (28),25,1916,L
31,28.,Tris Speaker+ (32),25,1920,L
32,28.,Sam West (24),25,1929,L
33,34.,Ben Chapman (26),24,1935,R
34,34.,Ty Cobb+ (24),24,1911,R
35,34.,Ty Cobb+ (34),24,1921,R
36,34.,Carden Gillenwater (28),24,1945,R
37,34.,Charlie Hanford (32),24,1914,R
38,34.,Charlie Jones (29),24,1905,R
39,34.,Ben Koehler (28),24,1905,R
40,34.,Dode Paskert (28),24,1910,R
41,34.,Sam Rice+ (30),24,1920,R
42,34.,Tillie Walker (27),24,1915,R
43,34.,Tillie Walker (30),24,1918,R
44,45.,Chet Chadbourne (30),23,1915,R
45,45.,Happy Felsch (25),23,1917,R
46,45.,Fielder Jones (34),23,1906,R
47,45.,Hi Myers (26),23,1915,R
48,45.,Hi Myers (32),23,1921,R
49,45.,Rebel Oakes (30),23,1914,R
50,45.,Sam Rice+ (32),23,1922,R
51,45.,Tris Speaker+ (29),23,1917,L
52,45.,Chick Stahl (33),23,1906,L
53,45.,Cy Williams (29),23,1917,L
54,55.,Joe Birmingham (22),22,1907,R
55,55.,Joe Birmingham (25),22,1910,R
56,55.,Ty Cobb+ (26),22,1913,R
57,55.,Ty Cobb+ (28),22,1915,R
58,55.,Ty Cobb+ (30),22,1917,R
59,55.,Emmet Heidrick (27),22,1904,R
60,55.,Benny Kauff (26),22,1916,L
61,55.,Les Mann (21),22,1914,R
62,55.,Willie Mays+ (24),22,1955,R
63,55.,Ray Powell (31),22,1920,R
64,55.,Edd Roush+ (26),22,1919,L
65,55.,Jigger Statz (26),22,1924,R
66,55.,Lloyd Waner+ (23),22,1929,R
67,68.,Ethan Allen (31),21,1935,R
68,68.,Johnny Bates (27),21,1911,L
69,68.,Sam Chapman (25),21,1941,R
70,68.,Vince DiMaggio (24),21,1937,R
71,68.,Vince DiMaggio (29),21,1942,R
72,68.,Fielder Jones (33),21,1905,R
73,68.,Freddy Leach (29),21,1927,R
74,68.,Armando Marsans (28),21,1916,R
75,68.,Andy Pafko (23),21,1944,R
76,68.,Dode Paskert (38),21,1920,R
77,68.,Dave Philley (28),21,1948,R
78,68.,Jimmy Slagle (31),21,1905,R
79,68.,Tris Speaker+ (27),21,1915,L
80,68.,Tris Speaker+ (38),21,1926,L
81,68.,Roy Thomas (30),21,1904,L
82,83.,Joe Birmingham (23),20,1908,R
83,83.,Joe Birmingham (26),20,1911,R
84,83.,Ping Bodie (23),20,1911,R
85,83.,Vin Campbell (24),20,1912,R
86,83.,Ty Cobb+ (25),20,1912,R
87,83.,Doc Cramer (30),20,1936,R
88,83.,Joe DiMaggio+ (23),20,1938,R
89,83.,Phil Geier (27),20,1904,R
90,83.,Danny Hoffman (27),20,1907,L
91,83.,Andruw Jones (21),20,1998,R
92,83.,Charlie Jones (30),20,1906,R
93,83.,Nemo Leibold (22),20,1914,R
94,83.,Mickey Mantle+ (22),20,1954,R
95,83.,Clyde Milan (26),20,1913,R
96,83.,Irv Noren (25),20,1950,L
97,83.,Dode Paskert (29),20,1911,R
98,83.,Ray Powell (32),20,1921,R
99,83.,Edd Roush+ (22),20,1915,L
100,83.,Cy Seymour (31),20,1904,L
101,83.,Burt Shotton (27),20,1912,R
102,83.,Del Unser (23),20,1968,L
103,83.,Tillie Walker (29),20,1917,R
