,Rank,Player (age that year),Errors Committed as CF (s.1901),Year,Throws
0,1.,Clyde Milan (25),25,1912,R
1,1.,Burt Shotton (27),25,1912,R
2,3.,Vin Campbell (24),24,1912,R
3,3.,Burt Shotton (29),24,1914,R
4,3.,Tris Speaker+ (25),24,1913,L
5,6.,Rip Cannell (25),23,1905,R
6,6.,Clyde Milan (26),23,1913,R
7,8.,Tillie Walker (27),22,1915,R
8,9.,Ty Cobb+ (25),21,1912,R
9,9.,Clyde Milan (28),21,1915,R
10,9.,Sam Rice+ (32),21,1922,R
11,9.,Cy Seymour (32),21,1905,L
12,13.,Max Carey+ (31),20,1921,R
13,13.,Max Carey+ (35),20,1925,R
14,13.,Sam Rice+ (30),20,1920,R
15,13.,Cy Seymour (35),20,1908,L
16,13.,Burt Shotton (28),20,1913,R
17,18.,Earl Averill+ (28),19,1930,R
18,18.,Max Carey+ (33),19,1923,R
19,18.,Max Carey+ (36),19,1926,R
20,18.,Mike Donlin (27),19,1905,L
21,18.,Taylor Douthit (25),19,1926,R
22,18.,Phil Geier (27),19,1904,R
23,18.,Charlie Hemphill (32),19,1908,L
24,18.,Joe Kelly (27),19,1914,R
25,18.,Red Murray (24),19,1908,R
26,18.,Rebel Oakes (28),19,1912,R
27,18.,Ray Powell (32),19,1921,R
28,18.,Hack Wilson+ (30),19,1930,R
29,30.,Ty Cobb+ (28),18,1915,R
30,30.,Wid Matthews (26),18,1923,L
31,30.,Ray Powell (31),18,1920,R
32,30.,Tris Speaker+ (24),18,1912,L
33,34.,Wally Berger (29),17,1935,R
34,34.,Max Carey+ (28),17,1918,R
35,34.,Sam Chapman (23),17,1939,R
36,34.,Ty Cobb+ (24),17,1911,R
37,34.,Ty Cobb+ (29),17,1916,R
38,34.,Joe DiMaggio+ (22),17,1937,R
39,34.,John Dobbs (30),17,1905,R
40,34.,Vern Duncan (24),17,1914,R
41,34.,Cliff Heathcote (20),17,1918,L
42,34.,Benny Kauff (29),17,1919,L
43,34.,Willie McGee (31),17,1990,R
44,34.,Clyde Milan (23),17,1910,R
45,34.,Clyde Milan (24),17,1911,R
46,34.,Rebel Oakes (26),17,1910,R
47,34.,Dode Paskert (28),17,1910,R
48,34.,Cy Seymour (31),17,1904,L
49,50.,Earl Averill+ (30),16,1932,R
50,50.,Max Carey+ (34),16,1924,R
51,50.,Taylor Douthit (26),16,1927,R
52,50.,Taylor Douthit (29),16,1930,R
53,50.,Nemo Leibold (22),16,1914,R
54,50.,Clyde Milan (29),16,1916,R
55,50.,Bernie Neis (27),16,1923,R
56,50.,John O'Neill (24),16,1904,R
57,50.,Rebel Oakes (27),16,1911,R
58,50.,Al Simmons+ (23),16,1925,R
59,50.,Tris Speaker+ (22),16,1910,L
60,50.,Jigger Statz (26),16,1924,R
61,62.,Earl Averill+ (27),15,1929,R
62,62.,Johnny Bates (30),15,1914,L
63,62.,Wally Berger (30),15,1936,R
64,62.,Max Carey+ (32),15,1922,R
65,62.,Ben Chapman (26),15,1935,R
66,62.,Ben Chapman (27),15,1936,R
67,62.,Sam Chapman (25),15,1941,R
68,62.,Earle Combs+ (28),15,1927,R
69,62.,Willie Davis (22),15,1962,L
70,62.,Dom DiMaggio (24),15,1941,R
71,62.,Joe DiMaggio+ (23),15,1938,R
72,62.,Johnny Frederick (29),15,1931,L
73,62.,Benny Kauff (25),15,1915,L
74,62.,Alex Metzler (24),15,1927,R
75,62.,Johnny Mostil (30),15,1926,R
76,62.,Dode Paskert (38),15,1920,R
77,62.,Harry Rice (27),15,1929,R
78,62.,Sam Rice+ (31),15,1921,R
79,62.,Edd Roush+ (33),15,1926,L
80,62.,Burt Shotton (26),15,1911,R
81,62.,Denny Sothern (24),15,1928,R
82,62.,Tris Speaker+ (23),15,1911,L
83,62.,Tris Speaker+ (26),15,1914,L
84,62.,Chick Stahl (33),15,1906,L
85,62.,Frank Welch (23),15,1921,R
86,62.,Cy Williams (29),15,1917,L
87,62.,Cy Williams (36),15,1924,L
