,Rank,Player (age that year),Def. Games as RF (s.1901),Year,Throws
0,1.,Bobby Abreu (27),162,2001,R
1,1.,Johnny Callison (25),162,1964,R
2,1.,Rocky Colavito (31),162,1965,R
3,1.,Jeff Francoeur (22),162,2006,R
4,1.,Jeff Francoeur (23),162,2007,R
5,1.,Hunter Pence (30),162,2013,R
6,1.,Rusty Staub (27),162,1971,R
7,8.,Hank Aaron+ (29),161,1963,R
8,8.,Harold Baines+ (23),161,1982,L
9,8.,Jeromy Burnitz (29),161,1998,R
10,8.,Dwight Evans (30),161,1982,R
11,8.,Dwight Evans (32),161,1984,R
12,8.,Shawn Green (27),161,2000,L
13,8.,Vladimir Guerrero+ (27),161,2002,R
14,8.,Nick Markakis (23),161,2007,L
15,8.,Nick Markakis (25),161,2009,L
16,8.,Hunter Pence (31),161,2014,R
17,8.,Gary Sheffield (27),161,1996,R
18,8.,Ruben Sierra (23),161,1989,R
19,8.,Ruben Sierra (25),161,1991,R
20,8.,Ken Singleton (26),161,1973,R
21,8.,Sammy Sosa (28),161,1997,R
22,23.,Jay Bruce (26),160,2013,L
23,23.,Tommy Griffith (25),160,1915,R
24,23.,Vladimir Guerrero+ (24),160,1999,R
25,23.,Tony Gwynn+ (26),160,1986,L
26,23.,Sammy Sosa (32),160,2001,R
27,23.,Rusty Staub (26),160,1970,R
28,23.,Ichiro Suzuki (36),160,2010,R
29,30.,Harold Baines+ (26),159,1985,L
30,30.,Johnny Callison (26),159,1965,R
31,30.,Brian Giles (33),159,2004,L
32,30.,Shawn Green (28),159,2001,L
33,30.,Nick Markakis (26),159,2010,L
34,30.,Raul Mondesi (26),159,1997,R
35,30.,Dale Murphy (31),159,1987,R
36,30.,Dave Parker (34),159,1985,R
37,30.,Dave Parker (35),159,1986,R
38,30.,Hunter Pence (29),159,2012,R
39,30.,Ichiro Suzuki (29),159,2003,R
40,30.,Justin Upton (23),159,2011,R
41,42.,Hank Aaron+ (32),158,1966,R
42,42.,Bobby Abreu (29),158,2003,R
43,42.,Bobby Abreu (30),158,2004,R
44,42.,Bobby Abreu (31),158,2005,R
45,42.,Jeromy Burnitz (31),158,2000,R
46,42.,Jeromy Burnitz (36),158,2005,R
47,42.,Andre Ethier (27),158,2009,L
48,42.,Brian Giles (35),158,2006,L
49,42.,Vladimir Guerrero+ (26),158,2001,R
50,42.,Austin Kearns (27),158,2007,R
