,Rank,Player (age that year),Putouts as RF (s.1901),Year,Throws
0,1.,Dave Parker (26),381,1977,R
1,1.,Ichiro Suzuki (31),381,2005,R
2,3.,Babe Herman (29),380,1932,L
3,4.,Austin Kearns (27),374,2007,R
4,4.,Hunter Pence (30),374,2013,R
5,6.,Ichiro Suzuki (30),372,2004,R
6,7.,Mookie Betts (24),366,2017,R
7,7.,Lance Richbourg (30),366,1928,R
8,7.,Dave Winfield+ (25),366,1977,R
9,10.,Jason Heyward (24),365,2014,L
10,11.,Jermaine Dye (25),362,1999,R
11,12.,Chuck Klein+ (25),361,1930,R
12,13.,Ichiro Suzuki (36),354,2010,R
13,14.,Tim Salmon (28),353,1997,R
14,15.,Tony Armas (26),351,1980,R
15,15.,Dave Winfield+ (27),351,1979,R
16,17.,Glenn Wilson (26),350,1985,R
17,18.,Jim Piersall (23),349,1953,R
18,19.,Bake McBride (30),348,1979,R
19,20.,Bobby Bonds (27),347,1973,R
20,21.,Mookie Betts (23),346,2016,R
21,21.,Austin Kearns (26),346,2006,R
22,21.,Tony Oliva (31),346,1970,R
23,24.,Dwight Evans (30),344,1982,R
24,24.,Dixie Walker (34),344,1945,R
25,26.,Jay Bruce (23),343,2010,L
26,26.,Tony Gwynn+ (24),343,1984,L
27,26.,Dave Parker (28),343,1979,R
28,29.,Kole Calhoun (27),342,2015,L
29,30.,Shawn Green (26),340,1999,L
30,30.,Greasy Neale (28),340,1920,R
31,30.,Hunter Pence (25),340,2008,R
32,30.,Hunter Pence (27),340,2010,R
33,34.,Dale Murphy (32),339,1988,R
34,34.,Justin Upton (23),339,2011,R
35,34.,Paul Waner+ (30),339,1933,L
36,37.,Bobby Abreu (26),338,2000,R
37,37.,Billy Southworth+ (27),338,1920,R
38,39.,Jose Cruz (29),337,2003,R
39,39.,Raul Mondesi (25),337,1996,R
40,39.,Ichiro Suzuki (29),337,2003,R
41,42.,Raul Mondesi (26),336,1997,R
42,43.,Jesse Barfield (26),335,1986,R
43,43.,Tony Gwynn+ (26),335,1986,L
44,43.,Ichiro Suzuki (27),335,2001,R
45,46.,Mel Ott+ (20),334,1929,R
46,46.,Mel Ott+ (23),334,1932,R
47,46.,Tim Salmon (24),334,1993,R
48,46.,Paul Waner+ (28),334,1931,L
49,50.,Shawn Green (29),333,2002,L
50,50.,Alex Rios (31),333,2012,R
51,52.,Vladimir Guerrero+ (24),332,1999,R
52,52.,Tony Gwynn+ (25),332,1985,L
53,52.,Nick Markakis (26),332,2010,L
54,55.,Jason Heyward (22),331,2012,L
55,55.,Magglio Ordonez (25),331,1999,R
56,57.,Jay Bruce (26),330,2013,L
57,58.,Marlon Byrd (36),329,2014,R
58,58.,Juan Encarnacion (27),329,2003,R
59,58.,Paul Waner+ (26),329,1929,L
60,58.,Glenn Wilson (27),329,1986,R
61,62.,Jesse Barfield (25),328,1985,R
