,Rank,Player (age that year),Double Plays Turned as RF (s.1901),Year,Throws
0,1.,Ty Cobb+ (20),13,1907,R
1,2.,Chief Wilson (30),12,1914,R
2,3.,Wilbur Good (28),11,1914,L
3,3.,Mel Ott+ (20),11,1929,R
4,5.,George Browne (28),10,1904,R
5,5.,Steve Evans (24),10,1909,L
6,5.,Chuck Klein+ (25),10,1930,R
7,8.,Bob Meusel (24),9,1921,R
8,8.,Mike Mitchell (27),9,1907,R
9,8.,Dave Parker (26),9,1977,R
10,8.,Jimmy Sebring (22),9,1904,R
11,8.,Curt Walker (29),9,1926,R
12,8.,Curt Walker (30),9,1927,R
13,8.,Paul Waner+ (28),9,1931,L
14,8.,Cy Williams (39),9,1927,L
15,8.,Chief Wilson (27),9,1911,R
16,17.,George Browne (32),8,1908,R
17,17.,Tom Brunansky (22),8,1983,R
18,17.,Gavvy Cravath (33),8,1914,R
19,17.,Dwight Evans (23),8,1975,R
20,17.,Ira Flagstead (29),8,1923,R
21,17.,Cliff Heathcote (27),8,1925,L
22,17.,Cliff Heathcote (28),8,1926,L
23,17.,Harry Hooper+ (22),8,1910,R
24,17.,Harry Hooper+ (30),8,1918,R
25,17.,Harry Hooper+ (34),8,1922,R
26,17.,Harry Hooper+ (36),8,1924,R
27,17.,Roy Johnson (28),8,1931,R
28,17.,Sixto Lezcano (28),8,1982,R
29,17.,Mike Mitchell (32),8,1912,R
30,17.,Ron Northey (24),8,1944,R
31,17.,Sam Rice+ (33),8,1923,R
32,17.,Frank Schulte (28),8,1911,R
33,17.,Socks Seybold (36),8,1907,R
34,17.,Spike Shannon (29),8,1904,R
35,17.,Casey Stengel+ (26),8,1917,L
36,17.,John Titus (30),8,1906,L
37,17.,Curt Walker (25),8,1922,R
38,17.,Jimmy Welsh (23),8,1926,R
39,40.,Jesse Barfield (25),7,1985,R
40,40.,Jesse Barfield (26),7,1986,R
41,40.,Beals Becker (22),7,1909,L
42,40.,Dante Bichette (27),7,1991,R
43,40.,Bobby Bonds (24),7,1970,R
44,40.,Lou Brock+ (24),7,1963,L
45,40.,Johnny Callison (23),7,1962,R
46,40.,Jack Clark (23),7,1979,R
47,40.,Sam Crawford+ (24),7,1904,L
48,40.,Jose Cruz (29),7,2003,R
49,40.,Kiki Cuyler+ (30),7,1929,R
50,40.,Kiki Cuyler+ (31),7,1930,R
51,40.,Rob Deer (29),7,1990,R
52,40.,Dwight Evans (28),7,1980,R
53,40.,Ron Fairly (29),7,1968,L
54,40.,Elmer Flick+ (31),7,1907,R
55,40.,Walt French (26),7,1926,R
56,40.,Frank Gilhooley (26),7,1918,R
57,40.,Grover Gilmore (25),7,1914,L
58,40.,Goose Goslin+ (32),7,1933,R
59,40.,Harry Heilmann+ (29),7,1924,R
