,Rank,Player (age that year),Def. Games as OF,Year,Throws
0,1.,Billy Williams+ (27),164,1965,R
1,2.,Pete Rose (33),163,1974,R
2,2.,Leon Wagner (30),163,1964,R
3,2.,Billy Williams+ (30),163,1968,R
4,5.,Bobby Abreu (27),162,2001,R
5,5.,Matty Alou (30),162,1969,L
6,5.,Jimmy Barrett (29),162,1904,R
7,5.,Jason Bay (26),162,2005,R
8,5.,Rick Bosetti (25),162,1979,R
9,5.,Johnny Callison (25),162,1964,R
10,5.,Rocky Colavito (31),162,1965,R
11,5.,Jose Cruz (26),162,2000,R
12,5.,Curt Flood (26),162,1964,R
13,5.,Jeff Francoeur (22),162,2006,R
14,5.,Jeff Francoeur (23),162,2007,R
15,5.,Luis Gonzalez (32),162,2000,R
16,5.,Ken Henderson (28),162,1974,R
17,5.,Brian Hunter (26),162,1997,R
18,5.,Adam Jones (26),162,2012,R
19,5.,Andruw Jones (22),162,1999,R
20,5.,Carlos Lee (29),162,2005,R
21,5.,Terrence Long (25),162,2001,L
22,5.,Terrence Long (26),162,2002,L
23,5.,Gary Matthews (31),162,1982,R
24,5.,Omar Moreno (26),162,1979,L
25,5.,Omar Moreno (27),162,1980,L
26,5.,Dale Murphy (26),162,1982,R
27,5.,Hunter Pence (30),162,2013,R
28,5.,Juan Pierre (26),162,2004,L
29,5.,Juan Pierre (28),162,2006,L
30,5.,Juan Pierre (29),162,2007,L
31,5.,Vada Pinson (24),162,1963,L
32,5.,Ruben Sierra (23),162,1989,R
33,5.,Sammy Sosa (30),162,1999,R
34,5.,Rusty Staub (27),162,1971,R
35,5.,Roy White (29),162,1973,R
36,5.,Billy Williams+ (26),162,1964,R
37,5.,Billy Williams+ (28),162,1966,R
38,5.,Billy Williams+ (29),162,1967,R
39,40.,Hank Aaron+ (29),161,1963,R
40,40.,Harold Baines+ (23),161,1982,L
41,40.,Jeromy Burnitz (29),161,1998,R
42,40.,Brett Butler (34),161,1991,L
43,40.,Rocky Colavito (27),161,1961,R
44,40.,Rocky Colavito (28),161,1962,R
45,40.,Dwight Evans (30),161,1982,R
46,40.,Dwight Evans (32),161,1984,R
47,40.,Luis Gonzalez (33),161,2001,R
48,40.,Shawn Green (27),161,2000,L
49,40.,Vladimir Guerrero+ (27),161,2002,R
50,40.,Andruw Jones (23),161,2000,R
51,40.,Andruw Jones (24),161,2001,R
52,40.,Ruppert Jones (24),161,1979,L
53,40.,Nick Markakis (23),161,2007,L
54,40.,Nick Markakis (25),161,2009,L
55,40.,Willie Mays+ (31),161,1962,R
56,40.,Dale Murphy (29),161,1985,R
57,40.,Hunter Pence (31),161,2014,R
58,40.,Juan Pierre (25),161,2003,L
59,40.,Kirby Puckett+ (25),161,1985,R
60,40.,Alex Rios (26),161,2007,R
61,40.,Frank Robinson+ (26),161,1962,R
62,40.,Aaron Rowand (29),161,2007,R
63,40.,Gary Sheffield (27),161,1996,R
64,40.,Ruben Sierra (25),161,1991,R
65,40.,Ken Singleton (26),161,1973,R
66,40.,Sammy Sosa (28),161,1997,R
67,40.,Vernon Wells (24),161,2003,R
68,40.,Roy White (26),161,1970,R
69,40.,George Wright (24),161,1983,R
70,40.,Carl Yastrzemski+ (27),161,1967,R
71,72.,Lance Berkman (28),160,2004,L
72,72.,Jay Bruce (26),160,2013,L
73,72.,Al Bumbry (33),160,1980,R
74,72.,Jeromy Burnitz (36),160,2005,R
75,72.,Eric Byrnes (31),160,2007,R
76,72.,Jose Cruz (35),160,1983,L
77,72.,Jose Cruz (36),160,1984,L
78,72.,Lenny Dykstra (30),160,1993,L
79,72.,Steve Finley (27),160,1992,L
80,72.,Steve Finley (31),160,1996,L
81,72.,Dave Gallagher (28),160,1989,R
82,72.,Alex Gordon (28),160,2012,R
83,72.,Curtis Granderson (28),160,2009,R
84,72.,Tommy Griffith (25),160,1915,R
85,72.,Vladimir Guerrero+ (24),160,1999,R
86,72.,Tony Gwynn+ (26),160,1986,L
87,72.,Roberto Kelly (25),160,1990,R
88,72.,Roger Maris (26),160,1961,R
89,72.,Nick Markakis (34),160,2018,L
