,Rank,Player (age that year),Putouts as P,Year,Throws
0,1.,Dave Foutz (29),57,1886,R
1,2.,Tony Mullane (23),54,1882,R
2,3.,George Bradley (23),50,1876,R
3,3.,Guy Hecker (28),50,1884,R
4,5.,Mike Boddicker (26),49,1984,R
5,6.,Larry Corcoran (24),47,1884,R
6,7.,Theodore Breitenstein (26),46,1895,L
7,8.,Al Spalding+ (25),45,1876,R
8,9.,Jim Devlin (27),44,1876,R
9,9.,Dave Foutz (30),44,1887,R
10,9.,Bill Hutchison (30),44,1890,R
11,12.,Nick Altrock (27),43,1904,L
12,12.,Jim McCormick (25),43,1882,R
13,12.,John Ward+ (20),43,1880,R
14,15.,Oil Can Boyd (25),42,1985,R
15,15.,Theodore Breitenstein (24),42,1893,L
16,15.,Theodore Breitenstein (25),42,1894,L
17,15.,Kid Gleason (25),42,1892,R
18,15.,Harry Howell (30),42,1907,R
19,15.,Nat Hudson (19),42,1888,R
20,21.,Kevin Brown (34),41,1999,R
21,21.,Bobby Mathews (24),41,1876,R
22,21.,Tony Mullane (25),41,1884,R
23,21.,Ed Walsh+ (27),41,1908,R
24,21.,Smoky Joe Wood (22),41,1912,R
25,26.,Kevin Brown (30),40,1995,R
26,26.,Charlie Buffinton (23),40,1884,R
27,26.,Bob Caruthers (23),40,1887,R
28,26.,Guy Hecker (27),40,1883,R
29,26.,Phil Knell (26),40,1891,L
30,26.,Tony Mullane (27),40,1886,R
31,32.,Chick Fraser (22),39,1896,R
32,32.,Greg Maddux+ (24),39,1990,R
33,32.,Greg Maddux+ (25),39,1991,R
34,32.,Greg Maddux+ (27),39,1993,R
35,32.,Jim McCormick (22),39,1879,R
36,32.,Old Hoss Radbourn+ (31),39,1886,R
37,32.,Charlie Sweeney (21),39,1884,R
38,32.,Vic Willis+ (28),39,1904,R
39,40.,Jack Morris+ (35),38,1990,R
40,40.,George Mullin (22),38,1903,R
41,40.,Dan Petry (25),38,1984,R
42,40.,Snake Wiltse (30),38,1902,L
43,44.,Mark Baldwin (27),37,1891,R
44,44.,Mark Baldwin (28),37,1892,R
45,44.,Kevin Brown (27),37,1992,R
46,44.,Larry Corcoran (23),37,1883,R
47,44.,Sonny Gray (25),37,2015,R
48,44.,Orel Hershiser (28),37,1987,R
49,44.,Matt Kilroy (21),37,1887,L
50,44.,Greg Maddux+ (30),37,1996,R
51,44.,Jake Weimer (30),37,1904,L
52,44.,Vic Willis+ (26),37,1902,R
53,44.,Vic Willis+ (29),37,1905,R
54,55.,Kevin Brown (32),36,1997,R
55,55.,John Clarkson+ (27),36,1889,R
56,55.,Chick Fraser (31),36,1905,R
57,55.,Pud Galvin+ (24),36,1881,R
58,55.,Dwight Gooden (21),36,1986,R
59,55.,John Harkins (26),36,1885,R
60,55.,Jim McCormick (23),36,1880,R
61,55.,Denny McLain (24),36,1968,R
62,55.,Win Mercer (22),36,1896,R
63,55.,Dan Petry (26),36,1985,R
64,55.,Ed Stein (22),36,1892,R
65,55.,Mel Stottlemyre (25),36,1967,R
66,55.,Rick Sutcliffe (27),36,1983,R
67,68.,Kevin Brown (35),35,2000,R
68,68.,Mordecai Brown+ (31),35,1908,R
69,68.,Chris Carpenter (35),35,2010,R
70,68.,Bert Cunningham (33),35,1899,R
71,68.,Chick Fraser (23),35,1897,R
72,68.,Chick Fraser (27),35,1901,R
73,68.,Pud Galvin+ (22),35,1879,R
74,68.,Greg Maddux+ (23),35,1989,R
75,68.,Larry McKeon (18),35,1884,
76,68.,Adonis Terry (22),35,1887,R
77,68.,Ed Walsh+ (26),35,1907,R
78,68.,Bill Wegman (29),35,1992,R
79,68.,Mickey Welch+ (20),35,1880,R
80,68.,Stump Weidman (21),35,1882,R
81,82.,Theodore Breitenstein (27),34,1896,L
82,82.,Dick Burns (20),34,1884,L
83,82.,Bob Caruthers (24),34,1888,R
84,82.,Jim Clancy (30),34,1986,R
85,82.,John Clarkson+ (25),34,1887,R
86,82.,Larry Corcoran (20),34,1880,R
87,82.,Brooks Lawrence (32),34,1957,R
88,82.,Bob Lemon+ (28),34,1949,R
