,Rank,Player (age that year),Errors Committed as P,Year,Throws
0,1.,Jack Lynch (27),38,1884,R
1,2.,Bill Sweeney (26),34,1884,R
2,2.,Adonis Terry (19),34,1884,R
3,4.,Bob Barr (27),33,1884,R
4,5.,Al Atkinson (23),31,1884,R
5,5.,Toad Ramsey (22),31,1887,L
6,5.,Billy Taylor (29),31,1884,R
7,8.,Sam Kimber (31),30,1884,R
8,9.,Tim Keefe+ (27),29,1884,R
9,10.,Matt Kilroy (20),28,1886,L
10,10.,Bobby Mathews (24),28,1876,R
11,10.,Dupee Shaw (25),28,1884,L
12,10.,Jim Whitney (23),28,1881,R
13,14.,Jersey Bakley (20),27,1884,R
14,14.,John Clarkson+ (27),27,1889,R
15,16.,Pud Galvin+ (22),26,1879,R
16,17.,Bert Cunningham (22),25,1888,R
17,17.,Chick Fraser (22),25,1896,R
18,17.,Bobby Mathews (32),25,1884,R
19,20.,George Bradley (26),24,1879,R
20,20.,Larry Corcoran (24),24,1884,R
21,20.,Al Mays (22),24,1887,R
22,20.,Frank Mountain (23),24,1883,R
23,20.,Jack Neagle (26),24,1884,R
24,20.,Fleury Sullivan (22),24,1884,
25,20.,Gus Weyhing (20),24,1887,R
26,27.,Tim Keefe+ (26),23,1883,R
27,27.,Ed Morris (21),23,1884,L
28,27.,Tony Mullane (25),23,1884,R
29,27.,Toad Ramsey (21),23,1886,L
30,27.,Lee Richmond (23),23,1880,L
31,27.,Will White (28),23,1883,R
32,33.,Joe Borden (22),22,1876,R
33,33.,Ed Crane (30),22,1892,R
34,33.,Bob Emslie (25),22,1884,R
35,33.,Hardie Henderson (20),22,1883,R
36,33.,Hardie Henderson (21),22,1884,R
37,33.,Frank Killen (21),22,1892,L
38,33.,Jim McCormick (23),22,1880,R
39,33.,Amos Rusie+ (21),22,1892,R
40,33.,Jack Taylor (25),22,1898,R
41,33.,Bill Wise (23),22,1884,
42,43.,Bert Cunningham (24),21,1890,R
43,43.,Jumbo McGinnis (29),21,1883,
44,43.,Win Mercer (22),21,1896,R
45,43.,Tony Mullane (24),21,1883,R
46,43.,Mickey Welch+ (20),21,1880,R
47,43.,Mickey Welch+ (23),21,1883,R
48,49.,John Clarkson+ (23),20,1885,R
49,49.,Matt Kilroy (21),20,1887,L
50,49.,Larry McKeon (18),20,1884,
51,49.,Ed Morris (22),20,1885,L
52,49.,Amos Rusie+ (19),20,1890,R
53,49.,Cy Seymour (24),20,1897,L
54,49.,Cy Seymour (26),20,1899,L
55,49.,Phenomenal Smith (22),20,1887,L
56,49.,Tom Vickery (23),20,1890,R
57,49.,Gus Weyhing (25),20,1892,R
58,49.,Will White (24),20,1879,R
59,60.,John Clarkson+ (24),19,1886,R
60,60.,John Clarkson+ (26),19,1888,R
61,60.,Pud Galvin+ (24),19,1881,R
62,60.,Pretzels Getzien (26),19,1890,R
63,60.,Ed Seward (21),19,1888,R
64,65.,Jersey Bakley (24),18,1888,R
65,65.,Mark Baldwin (28),18,1892,R
66,65.,John Coleman (20),18,1883,R
67,65.,Fred Goldsmith (25),18,1881,R
68,65.,Lon Knight (23),18,1876,R
69,65.,Terry Larkin (22),18,1878,R
70,65.,Sadie McMahon (25),18,1893,R
71,65.,Doc Newton (23),18,1901,L
72,65.,Toad Ramsey (23),18,1888,L
73,74.,Ed Doheny (25),17,1899,L
74,74.,John Fox (24),17,1883,
75,74.,Fred Goldsmith (27),17,1883,R
76,74.,Tim Keefe+ (24),17,1881,R
