,Rank,Player (age that year),Total Zone Runs as C (s.1953),Year,Throws
0,1.,Gary Carter+ (29),27,1983,R
1,2.,Ivan Rodriguez+ (24),25,1996,R
2,3.,Jody Davis (29),21,1986,R
3,3.,Ivan Rodriguez+ (25),21,1997,R
4,5.,Bob Boone (34),20,1982,R
5,5.,Ivan Rodriguez+ (27),20,1999,R
6,7.,Charles Johnson (25),19,1997,R
7,7.,Mike Matheny (29),19,2000,R
8,7.,Tom Pagnozzi (28),19,1991,R
9,7.,Ivan Rodriguez+ (26),19,1998,R
10,11.,Ryan Hanigan (31),18,2012,R
11,12.,Bob Boone (38),17,1986,R
12,12.,Kenji Johjima (31),17,2007,R
13,12.,J.T. Realmuto (28),17,2019,R
14,12.,Jim Sundberg (27),17,1978,R
15,12.,Kurt Suzuki (24),17,2008,R
16,12.,Butch Wynegar (23),17,1979,R
17,18.,Yadier Molina (27),16,2010,R
18,18.,Charlie O'Brien (37),16,1997,R
19,18.,Salvador Perez (26),16,2016,R
20,18.,Brian Schneider (27),16,2004,R
21,22.,Brad Ausmus (31),15,2000,R
22,22.,Gary Carter+ (25),15,1979,R
23,22.,Clay Dalrymple (24),15,1961,R
24,22.,Mike LaValliere (26),15,1987,R
25,22.,Kirt Manwaring (26),15,1992,R
26,22.,Kirt Manwaring (27),15,1993,R
27,22.,Yadier Molina (29),15,2012,R
28,22.,Buster Posey (29),15,2016,R
29,22.,Benito Santiago (23),15,1988,R
30,31.,Brad Ausmus (28),14,1997,R
31,31.,Bob Boone (37),14,1985,R
32,31.,Gary Carter+ (28),14,1982,R
33,31.,Charles Johnson (24),14,1996,R
34,31.,Ron Karkovice (29),14,1993,R
35,31.,Roberto Perez (30),14,2019,R
36,31.,Ellie Rodriguez (25),14,1971,R
37,31.,Jim Sundberg (25),14,1976,R
38,31.,Jim Sundberg (26),14,1977,R
39,31.,Rick Wilkins (26),14,1993,R
40,31.,Dan Wilson (27),14,1996,R
41,42.,Henry Blanco (28),13,2000,R
42,42.,Gary Carter+ (26),13,1980,R
43,42.,Gary Carter+ (27),13,1981,R
44,42.,Rich Gedman (26),13,1986,R
45,42.,Jason Kendall (34),13,2008,R
46,42.,Yadier Molina (23),13,2006,R
47,42.,Yadier Molina (24),13,2007,R
48,42.,Yadier Molina (30),13,2013,R
49,42.,Yadier Molina (31),13,2014,R
50,42.,Tony Pena (27),13,1984,R
51,42.,Tony Pena (28),13,1985,R
52,42.,Jim Sundberg (24),13,1975,R
53,54.,Brad Ausmus (32),12,2001,R
54,54.,Ed Bailey (28),12,1959,R
55,54.,Johnny Bench+ (22),12,1970,R
56,54.,Johnny Bench+ (24),12,1972,R
57,54.,Johnny Bench+ (28),12,1976,R
58,54.,Dick Bertell (27),12,1963,R
59,54.,Tim Blackwell (27),12,1980,R
60,54.,Del Crandall (28),12,1958,R
61,54.,Del Crandall (29),12,1959,R
62,54.,Rick Dempsey (29),12,1979,R
63,54.,Carlton Fisk+ (29),12,1977,R
64,54.,Charles Johnson (23),12,1995,R
65,54.,Martin Maldonado (30),12,2017,R
66,54.,James McCann (26),12,2016,R
67,54.,Yadier Molina (22),12,2005,R
68,54.,Lance Parrish (27),12,1983,R
69,54.,Ivan Rodriguez+ (29),12,2001,R
70,54.,Ivan Rodriguez+ (33),12,2005,R
71,54.,Mike Scioscia (29),12,1988,R
72,54.,Matt Wieters (26),12,2012,R
73,54.,Steve Yeager (29),12,1978,R
74,75.,Tucker Barnhart (26),11,2017,R
75,75.,Bob Boone (31),11,1979,R
76,75.,Chris Cannizzaro (27),11,1965,R
77,75.,Gary Carter+ (24),11,1978,R
78,75.,Del Crandall (32),11,1962,R
79,75.,Bo Diaz (34),11,1987,R
80,75.,John Flaherty (31),11,1999,R
81,75.,Rich Gedman (25),11,1985,R
82,75.,Jake Gibbs (29),11,1968,R
83,75.,Jerry Grote (26),11,1969,R
84,75.,Randy Hundley (27),11,1969,R
85,75.,Terry Kennedy (29),11,1985,R
86,75.,George Mitterwald (25),11,1970,R
87,75.,Yadier Molina (26),11,2009,R
88,75.,Yadier Molina (34),11,2017,R
89,75.,Wilson Ramos (27),11,2015,R
90,75.,Gil Reyes (27),11,1991,R
91,75.,Ivan Rodriguez+ (34),11,2006,R
92,75.,Kelly Shoppach (31),11,2011,R
93,75.,Jim Sundberg (33),11,1984,R
94,75.,Matt Wieters (25),11,2011,R
95,75.,Dan Wilson (28),11,1997,R
96,75.,Steve Yeager (34),11,1983,R
97,98.,John Bateman (29),10,1970,R
98,98.,Johnny Bench+ (26),10,1974,R
99,98.,Johnny Bench+ (27),10,1975,R
100,98.,Johnny Bench+ (31),10,1979,R
101,98.,Bob Boone (39),10,1987,R
102,98.,Robinson Chirinos (30),10,2014,R
103,98.,Jim Essian (27),10,1978,R
104,98.,Ray Fosse (26),10,1973,R
105,98.,Elston Howard (35),10,1964,R
106,98.,Charles Johnson (27),10,1999,R
107,98.,Gerald Laird (29),10,2009,R
108,98.,Paul Lo Duca (31),10,2003,R
109,98.,Sherm Lollar (35),10,1960,R
110,98.,Kirt Manwaring (30),10,1996,R
111,98.,Mike Matheny (34),10,2005,R
112,98.,Tim McCarver (25),10,1967,R
113,98.,Bengie Molina (27),10,2002,R
114,98.,Bengie Molina (28),10,2003,R
115,98.,Jose Molina (29),10,2004,R
116,98.,Tom Pagnozzi (27),10,1990,R
117,98.,Carlos Perez (25),10,2016,R
118,98.,Manny Pina (30),10,2017,R
119,98.,Buck Rodgers (25),10,1964,R
120,98.,Ivan Rodriguez+ (23),10,1995,R
121,98.,Manny Sanguillen (27),10,1971,R
122,98.,Brian Schneider (26),10,2003,R
123,98.,John Stearns (26),10,1978,R
124,98.,Terry Steinbach (32),10,1994,R
125,98.,Jim Sundberg (28),10,1979,R
126,98.,Alex Trevino (22),10,1980,R
127,98.,Dave Valle (28),10,1989,R
128,98.,Matt Wieters (27),10,2013,R
129,98.,Butch Wynegar (24),10,1980,R
130,98.,Steve Yeager (27),10,1976,R
131,132.,Sandy Alomar (26),9,1992,R
132,132.,Brad Ausmus (26),9,1995,R
133,132.,Brad Ausmus (30),9,1999,R
134,132.,Brad Ausmus (34),9,2003,R
135,132.,Alex Avila (27),9,2014,R
136,132.,Johnny Bench+ (25),9,1973,R
137,132.,Henry Blanco (27),9,1999,R
138,132.,Bob Boone (41),9,1989,R
139,132.,Dick Brown (26),9,1961,R
140,132.,Gary Carter+ (31),9,1985,R
141,132.,Willson Contreras (26),9,2018,R
142,132.,Clay Dalrymple (28),9,1965,R
143,132.,Clay Dalrymple (30),9,1967,R
144,132.,Jody Davis (25),9,1982,R
145,132.,Rick Dempsey (26),9,1976,R
146,132.,Rick Dempsey (27),9,1977,R
147,132.,Einar Diaz (28),9,2001,R
148,132.,Jim Essian (29),9,1980,R
149,132.,Jorge Fabregas (29),9,1999,R
150,132.,Bill Freehan (22),9,1964,R
151,132.,Bill Freehan (31),9,1973,R
152,132.,Ramon Hernandez (26),9,2002,R
153,132.,Elston Howard (33),9,1962,R
154,132.,Ron Karkovice (32),9,1996,R
155,132.,Steve Lake (28),9,1985,R
156,132.,Joe Mauer (24),9,2007,R
157,132.,James McCann (25),9,2015,R
158,132.,Bob Melvin (25),9,1987,R
159,132.,Damian Miller (30),9,2000,R
160,132.,Damian Miller (34),9,2004,R
161,132.,Yadier Molina (32),9,2015,R
162,132.,Miguel Montero (27),9,2011,R
163,132.,Miguel Montero (28),9,2012,R
164,132.,Thurman Munson (23),9,1970,R
165,132.,Thurman Munson (26),9,1973,R
166,132.,Ed Ott (28),9,1980,R
167,132.,Lance Parrish (34),9,1990,R
168,132.,Salvador Perez (22),9,2012,R
169,132.,Salvador Perez (24),9,2014,R
170,132.,Manny Pina (31),9,2018,R
171,132.,Darrell Porter (27),9,1979,R
172,132.,Buster Posey (30),9,2017,R
173,132.,Humberto Quintero (30),9,2010,R
174,132.,Wilson Ramos (26),9,2014,R
175,132.,Ivan Rodriguez+ (20),9,1992,R
176,132.,Ivan Rodriguez+ (38),9,2010,R
177,132.,Mike Ryan (26),9,1968,R
178,132.,Mike Ryan (29),9,1971,R
179,132.,Mike Scioscia (25),9,1984,R
180,132.,John Stearns (30),9,1982,R
181,132.,Jim Sundberg (32),9,1983,R
182,132.,Gene Tenace (32),9,1979,R
183,132.,Yorvit Torrealba (31),9,2010,R
184,132.,Ernie Whitt (31),9,1983,R
185,132.,Rick Wilkins (30),9,1997,R
186,187.,Rod Barajas (32),8,2008,R
187,187.,Earl Battey (25),8,1960,R
188,187.,Johnny Bench+ (23),8,1971,R
189,187.,Dick Bertell (28),8,1964,R
190,187.,Dann Bilardello (24),8,1983,R
191,187.,Bob Boone (35),8,1983,R
192,187.,John Buck (31),8,2012,R
193,187.,Smoky Burgess (33),8,1960,R
194,187.,Gary Carter+ (22),8,1976,R
195,187.,Paul Casanova (28),8,1970,R
196,187.,Alberto Castillo (29),8,1999,R
197,187.,Rick Cerone (26),8,1980,R
198,187.,Rick Dempsey (33),8,1983,R
199,187.,Duffy Dyer (30),8,1976,R
200,187.,A.J. Ellis (32),8,2013,R
201,187.,Carlton Fisk+ (39),8,1987,R
202,187.,Jim French (27),8,1969,R
203,187.,Yan Gomes (25),8,2013,R
204,187.,Chris Hoiles (30),8,1995,R
205,187.,Randy Hundley (26),8,1968,R
206,187.,Kenji Johjima (33),8,2009,R
207,187.,Ron Karkovice (26),8,1990,R
208,187.,Gerald Laird (27),8,2007,R
209,187.,Jason LaRue (27),8,2001,R
210,187.,Jonathan Lucroy (30),8,2016,R
211,187.,Eli Marrero (25),8,1999,R
212,187.,George Mitterwald (32),8,1977,R
213,187.,Thurman Munson (28),8,1975,R
214,187.,Charlie O'Brien (29),8,1989,R
215,187.,Charlie O'Brien (32),8,1992,R
216,187.,Tom Pagnozzi (33),8,1996,R
217,187.,Lance Parrish (23),8,1979,R
218,187.,Salvador Perez (28),8,2018,R
219,187.,Mike Piazza+ (24),8,1993,R
220,187.,Buster Posey (32),8,2019,R
221,187.,Mike Redmond (36),8,2007,R
