,Rank,Player (age that year),Range Factor/Game as 1B,Year,Throws
0,1.,Jiggs Donahue (27),12.650,1907,L
1,2.,Frank Isbell (33),12.574,1909,R
2,3.,Gene Paulette (26),12.541,1917,R
3,4.,Joe Gerhardt (21),12.537,1876,R
4,5.,Jiggs Donahue (28),12.349,1908,L
5,6.,Cap Anson+ (27),12.314,1879,R
6,7.,Phil Todt (24),12.214,1926,L
7,8.,Joe Start (36),12.154,1879,L
8,9.,George Burns (21),12.102,1914,R
9,10.,Stuffy McInnis (27),12.096,1918,R
10,11.,George Stovall (30),12.076,1908,R
11,12.,High Pockets Kelly+ (24),12.013,1920,R
12,13.,Joe Start (35),12.000,1878,L
13,14.,Oscar Walker (25),11.917,1879,L
14,15.,Tom Jones (31),11.904,1905,R
15,16.,Joe Start (34),11.900,1877,L
16,17.,George Stovall (29),11.877,1907,R
17,18.,Gene Paulette (27),11.876,1918,R
18,19.,Hal Chase (36),11.869,1919,L
19,20.,Bill Phillips (31),11.868,1888,R
20,21.,Herman Dehlman (24),11.844,1876,
21,22.,Dots Miller (27),11.824,1914,R
22,23.,Jiggs Donahue (25),11.805,1905,L
23,24.,Jiggs Donahue (26),11.786,1906,L
24,25.,Jake Daubert (40),11.784,1924,L
25,26.,Tim Murnane (27),11.771,1878,R
26,27.,Joe Start (37),11.756,1880,L
27,28.,Jake Goodman (24),11.750,1878,
28,29.,George Sisler+ (25),11.746,1918,L
29,30.,Fred Merkle (30),11.742,1919,R
30,31.,John McGuinness (27),11.708,1884,
31,32.,Stuffy McInnis (26),11.687,1917,R
32,33.,Bill Everitt (30),11.662,1899,R
33,34.,George Stovall (37),11.659,1915,R
34,35.,George Burns (22),11.654,1915,R
35,36.,Keith Hernandez (27),11.633,1981,L
36,37.,Joe Harris (26),11.632,1917,R
37,38.,Wally Pipp (33),11.626,1926,L
38,39.,George Burns (25),11.625,1918,R
39,40.,Patsy Tebeau (31),11.598,1896,R
40,41.,Jumbo Latham (24),11.576,1877,R
41,42.,High Pockets Kelly+ (26),11.556,1922,R
42,43.,Tom Jones (33),11.548,1907,R
43,44.,Wally Pipp (29),11.546,1922,L
44,45.,Fred Tenney (33),11.541,1905,L
45,46.,Walter Holke (26),11.537,1919,L
46,46.,Vic Saier (25),11.537,1916,R
47,48.,Cap Anson+ (33),11.536,1885,R
48,49.,Chub Sullivan (22),11.525,1878,R
49,50.,Candy LaChance (32),11.522,1902,R
50,51.,Harry Davis (27),11.521,1901,R
51,52.,Charlie Comiskey+ (23),11.510,1883,R
52,53.,Bill Terry+ (28),11.507,1927,L
53,54.,Roger Connor+ (32),11.504,1890,L
54,55.,George Burns (26),11.500,1919,R
55,56.,Ed Konetchy (32),11.491,1918,R
56,57.,Charlie Hickman (26),11.490,1902,R
57,58.,John Ganzel (29),11.465,1903,R
58,59.,Wally Pipp (26),11.464,1919,L
59,60.,Chick Gandil (28),11.462,1916,R
60,61.,Harry Taylor (24),11.458,1890,
61,62.,Tom Jones (30),11.455,1904,R
62,63.,Elbie Fletcher (21),11.453,1937,L
63,64.,Chappy Lane,11.452,1882,
64,65.,Bill Phillips (28),11.444,1885,R
65,66.,Johnny McCarthy (33),11.436,1943,L
66,67.,Walter Holke (25),11.432,1918,L
67,68.,Wally Pipp (27),11.431,1920,L
68,69.,Bob Unglaub (26),11.425,1907,R
69,70.,Jake Beckley+ (38),11.424,1906,L
70,71.,Fred Tenney (35),11.409,1907,L
71,72.,Fred Tenney (37),11.408,1909,L
72,73.,Jiggs Donahue (24),11.406,1904,L
73,74.,Earl Sheely (28),11.403,1921,R
74,75.,Charlie Comiskey+ (24),11.398,1884,R
75,76.,Fred Merkle (29),11.395,1918,R
76,77.,Billy O'Brien (27),11.394,1887,R
77,78.,George Burns (24),11.385,1917,R
78,79.,Charlie Carr (28),11.379,1905,R
79,80.,Jack Fournier (24),11.371,1914,R
80,81.,Roy Leslie (27),11.367,1922,R
81,82.,George Burns (23),11.363,1916,R
82,83.,Jim Bottomley+ (27),11.355,1927,L
83,84.,Charlie Comiskey+ (22),11.351,1882,R
84,85.,Ed Konetchy (35),11.344,1921,R
85,86.,Del Gainer (26),11.340,1913,R
86,87.,Claude Rossman (25),11.333,1906,L
87,88.,John Anderson (29),11.331,1903,R
88,88.,Stuffy McInnis (29),11.331,1920,R
89,90.,George Stovall (32),11.326,1910,R
90,91.,Bill Terry+ (30),11.315,1929,L
91,92.,Milt Scott (24),11.301,1885,
92,93.,John Reilly (32),11.300,1891,R
93,94.,Kitty Bransfield (28),11.299,1903,R
94,94.,Bill Terry+ (34),11.299,1933,L
95,96.,George Sisler+ (23),11.298,1916,L
96,97.,Fred Merkle (31),11.294,1920,R
97,98.,Joe Start (39),11.293,1882,L
98,99.,Lou Gehrig+ (24),11.290,1927,L
99,99.,Tommy Tucker (34),11.290,1898,R
100,101.,Jake Virtue (28),11.288,1893,L
101,102.,Alex McKinnon (28),11.280,1885,
102,103.,Jake Beckley+ (37),11.276,1905,L
103,104.,Walter Holke (27),11.252,1920,L
104,105.,Ed Konetchy (22),11.247,1908,R
105,106.,Fred Luderus (32),11.240,1918,R
106,107.,Dick Hoblitzell (28),11.237,1917,R
107,108.,Frank Isbell (26),11.233,1902,R
108,109.,High Pockets Kelly+ (27),11.228,1923,R
109,110.,Jake Stahl (29),11.226,1908,R
110,111.,Jim Field (21),11.210,1884,
111,112.,Harry Stovey (25),11.209,1882,R
112,113.,Ed Cogswell (25),11.204,1879,R
113,114.,Jake Beckley+ (36),11.197,1904,L
114,115.,Wally Pipp (28),11.196,1921,L
115,116.,High Pockets Kelly+ (25),11.188,1921,R
116,117.,High Pockets Kelly+ (30),11.184,1926,R
117,118.,John Anderson (28),11.175,1902,R
118,119.,Moose Grimshaw (30),11.173,1906,R
119,120.,Cap Anson+ (32),11.170,1884,R
120,120.,Dan McGann (32),11.170,1904,R
121,120.,Stuffy McInnis (28),11.170,1919,R
122,120.,Dots Miller (28),11.170,1915,R
123,124.,George Sisler+ (24),11.165,1917,L
124,125.,Lu Blue (26),11.163,1923,L
125,126.,John Reilly (29),11.162,1888,R
126,127.,Fred Tenney (36),11.160,1908,L
127,128.,High Pockets Kelly+ (33),11.157,1929,R
128,128.,Candy LaChance (26),11.157,1896,R
129,130.,Roger Connor+ (35),11.156,1893,L
130,131.,Bill Terry+ (29),11.154,1928,L
131,132.,Candy LaChance (34),11.147,1904,R
132,133.,Lew Whistler (24),11.146,1892,R
133,134.,Walter Holke (24),11.144,1917,L
134,135.,Johnny McCarthy (28),11.136,1938,L
135,136.,Fritz Mollwitz (28),11.135,1918,R
136,136.,Jake Stahl (30),11.135,1909,R
137,138.,Tom Jones (32),11.133,1906,R
138,139.,Cap Anson+ (29),11.131,1881,R
139,140.,Lu Blue (25),11.118,1922,L
140,141.,Willie Clark (28),11.114,1899,L
141,142.,Dan Stearns (21),11.109,1883,R
142,143.,Jake Beckley+ (25),11.107,1893,L
143,143.,Otto Schomberg (22),11.107,1887,L
144,145.,Cap Anson+ (37),11.105,1889,R
145,146.,Lu Blue (29),11.101,1926,L
146,146.,Kitty Bransfield (29),11.101,1904,R
147,148.,Charlie Householder (30),11.100,1884,L
148,149.,Jake Daubert (38),11.096,1922,L
149,150.,Pop Dillon (27),11.095,1901,R
150,151.,Claude Rossman (27),11.094,1908,L
151,152.,Frank Chance+ (30),11.092,1907,R
152,152.,Bill Terry+ (35),11.092,1934,L
153,154.,Roger Connor+ (27),11.091,1885,L
154,154.,Sam Leslie (30),11.091,1936,L
155,156.,Jim Hackett (25),11.090,1903,R
156,156.,Ed Konetchy (24),11.090,1910,R
157,158.,Bill Sweeney (26),11.089,1931,R
158,159.,Wally Pipp (24),11.084,1917,L
159,160.,Dan Brouthers+ (25),11.083,1883,L
160,160.,Dan McGann (34),11.083,1906,R
161,162.,Jimmy Knowles (27),11.079,1884,
162,163.,Red Kress (28),11.072,1933,R
163,164.,John Ganzel (30),11.068,1904,R
164,165.,Donn Clendenon (32),11.065,1968,R
165,166.,Hal Chase (27),11.062,1910,L
166,167.,Ed Konetchy (23),11.059,1909,R
167,168.,High Pockets Kelly+ (34),11.056,1930,R
168,169.,John Morrill (33),11.053,1888,R
169,170.,Wally Pipp (22),11.052,1915,L
170,171.,Charlie Grimm (25),11.046,1924,L
171,172.,Harry Stovey (28),11.037,1885,R
172,173.,Bill Buckner (28),11.029,1978,L
173,174.,Mox McQuery (25),11.025,1886,
174,175.,Martin Powell (28),11.023,1884,L
175,176.,Ed Konetchy (31),11.016,1917,R
176,177.,John Anderson (27),11.008,1901,R
177,177.,Charlie Hickman (27),11.008,1903,R
178,179.,Zeke Bonura (27),11.007,1936,R
179,179.,Joe Hauser (25),11.007,1924,L
180,179.,Tom Jones (34),11.007,1908,R
181,179.,Fred Tenney (34),11.007,1906,L
182,183.,Joe Nealon (21),11.000,1906,R
183,184.,Elbie Fletcher (24),10.993,1940,L
184,185.,Roger Connor+ (33),10.992,1891,L
185,186.,Gene Paulette (29),10.986,1920,R
186,186.,Gus Suhr (32),10.986,1938,R
187,188.,Patsy Tebeau (33),10.978,1898,R
188,189.,Phil Todt (26),10.972,1928,L
189,190.,Ray Grimes (27),10.966,1921,R
190,191.,Lu Blue (27),10.963,1924,L
191,192.,Mark Grace (28),10.962,1992,L
192,193.,Fred Luderus (31),10.961,1917,R
193,194.,Jake Beckley+ (24),10.960,1892,L
194,195.,Hal Chase (25),10.959,1908,L
195,196.,Ernie Banks+ (34),10.957,1965,R
196,196.,George Stovall (36),10.957,1914,R
197,198.,Al Spalding+ (26),10.956,1877,R
198,199.,Johnny McCarthy (27),10.955,1937,L
199,200.,Tommy Tucker (24),10.954,1888,R
200,201.,High Pockets Kelly+ (28),10.952,1924,R
201,202.,Todd Helton (34),10.951,2008,L
202,203.,George Stovall (31),10.945,1909,R
203,204.,Joe Start (40),10.943,1883,L
204,205.,Bill Abstein (26),10.941,1909,R
205,205.,Kitty Bransfield (27),10.941,1902,R
206,207.,Perry Werden (35),10.940,1897,R
207,208.,Cap Anson+ (31),10.939,1883,R
208,209.,Billy O'Brien (30),10.938,1890,R
209,210.,Charlie Comiskey+ (32),10.936,1892,R
210,211.,Chris Chambliss (31),10.930,1980,R
211,212.,Frank Chance+ (31),10.929,1908,R
212,213.,Cap Anson+ (39),10.927,1891,R
213,214.,Dan McGann (36),10.926,1908,R
214,215.,Bob Horner (27),10.920,1985,R
215,216.,Charlie Carr (27),10.919,1904,R
216,217.,Jim Bottomley+ (33),10.917,1933,L
217,217.,Ed Swartwood (24),10.917,1883,R
218,219.,Kitty Bransfield (33),10.916,1908,R
219,220.,Ed Konetchy (21),10.912,1907,R
220,221.,John Ganzel (26),10.910,1900,R
221,221.,Bill Phillips (25),10.910,1882,R
222,223.,Ed Konetchy (25),10.905,1911,R
223,224.,Tom Jones (36),10.904,1910,R
224,225.,Jake Stahl (31),10.901,1910,R
225,226.,Zeke Bonura (26),10.899,1935,R
226,226.,Ed Konetchy (30),10.899,1916,R
227,228.,John Ganzel (34),10.898,1908,R
228,229.,Dave Foutz (33),10.894,1890,R
229,230.,Dale Alexander (29),10.893,1932,R
230,231.,Keith Hernandez (28),10.892,1982,L
231,231.,Wally Pipp (23),10.892,1916,L
232,233.,Harry Swacina (32),10.886,1914,R
233,234.,Phil Todt (25),10.885,1927,L
234,235.,Jim Field (22),10.883,1885,
235,236.,Charlie Comiskey+ (25),10.880,1885,R
236,237.,Ed Konetchy (27),10.879,1913,R
237,238.,Cap Anson+ (28),10.877,1880,R
238,239.,Dave Orr (26),10.875,1886,R
239,240.,Frank McCormick (29),10.871,1940,R
240,241.,Keith Hernandez (29),10.868,1983,L
241,242.,Joe Harris (33),10.867,1924,R
242,243.,Jumbo Latham (29),10.865,1882,R
243,244.,Stuffy McInnis (30),10.862,1921,R
244,245.,Frank Isbell (25),10.861,1901,R
245,246.,Jake Virtue (26),10.856,1891,L
246,247.,John Ganzel (27),10.855,1901,R
247,248.,Ed Konetchy (34),10.854,1920,R
248,249.,Walter Holke (31),10.851,1924,L
249,250.,Charlie Grimm (30),10.850,1929,L
250,250.,Earl Sheely (32),10.850,1925,R
251,252.,John Morrill (29),10.846,1884,R
252,253.,Earl Sheely (29),10.839,1922,R
253,254.,Ed Konetchy (28),10.838,1914,R
254,255.,Lew Fonseca (30),10.837,1929,R
255,255.,Candy LaChance (33),10.837,1903,R
256,257.,Jake Daubert (35),10.836,1919,L
257,258.,John Reilly (31),10.833,1890,R
258,258.,Fred Tenney (32),10.833,1904,L
259,260.,Phil Weintraub (37),10.831,1945,L
260,261.,Frank Isbell (27),10.829,1903,R
261,262.,Tom Jones (35),10.827,1909,R
262,263.,Babe Young (24),10.823,1940,L
263,264.,Fred Luderus (33),10.819,1919,R
264,265.,Bill Terry+ (31),10.818,1930,L
265,266.,Harry Stovey (26),10.817,1883,R
266,266.,Hal Trosky (22),10.817,1935,R
267,268.,Jake Stahl (25),10.815,1904,R
268,269.,Roger Connor+ (24),10.814,1882,L
269,270.,Cecil Cooper (28),10.810,1978,L
270,270.,Joe Start (38),10.810,1881,L
271,272.,Ernie Banks+ (33),10.809,1964,R
272,273.,George Burns (30),10.801,1923,R
273,274.,Jack Doyle (33),10.799,1903,R
274,275.,Dan Brouthers+ (30),10.798,1888,L
275,275.,Hal Chase (28),10.798,1911,L
276,275.,Sid Farrar (23),10.798,1883,R
277,278.,Fred Merkle (27),10.795,1916,R
278,279.,Ray Schmandt (25),10.794,1921,R
279,280.,Jake Beckley+ (27),10.792,1895,L
280,281.,Charlie Levis (24),10.791,1884,
281,282.,Jake Beckley+ (22),10.790,1890,L
282,282.,Hal Chase (32),10.790,1915,L
283,282.,Jumbo Latham (31),10.790,1884,R
284,282.,Albert Pujols (25),10.790,2005,R
285,286.,Hal Chase (26),10.788,1909,L
286,287.,Jim Bottomley+ (26),10.786,1926,L
287,288.,Frank Chance+ (28),10.783,1905,R
288,289.,Jay Kirke (27),10.782,1915,R
289,290.,Jake Daubert (34),10.781,1918,L
290,291.,Roger Connor+ (29),10.780,1887,L
291,292.,William Brown (25),10.773,1891,R
292,292.,Guy Hecker (26),10.773,1882,R
293,292.,Dave Orr (24),10.773,1884,R
294,295.,Phil Todt (23),10.771,1925,L
295,296.,Dan Stearns (27),10.770,1889,R
296,297.,Joe Kuhel (32),10.766,1938,L
297,298.,John Reilly (30),10.762,1889,R
298,299.,Wally Pipp (25),10.758,1918,L
299,300.,George Burns (29),10.757,1922,R
300,300.,Sid Farrar (25),10.757,1885,R
301,302.,Fred Luderus (30),10.753,1916,R
302,303.,Jake Daubert (39),10.752,1923,L
303,304.,Charlie Grimm (21),10.750,1920,L
304,304.,Mox McQuery (30),10.750,1891,
305,306.,Hal Chase (30),10.748,1913,L
306,307.,Jake Beckley+ (20),10.747,1888,L
307,308.,Keith Hernandez (26),10.745,1980,L
308,309.,Joe Judge (24),10.739,1918,L
309,309.,Chappy Lane,10.739,1884,
310,309.,Frank McCormick (33),10.739,1944,R
311,312.,Candy LaChance (27),10.738,1897,R
312,313.,Mike Lehane (25),10.736,1890,
313,314.,Jason Thompson (22),10.734,1977,L
314,315.,Dan Brouthers+ (24),10.726,1882,L
315,316.,George Sisler+ (35),10.724,1928,L
316,317.,Frank Chance+ (29),10.721,1906,R
317,318.,Sid Farrar (26),10.720,1886,R
318,319.,Stuffy McInnis (25),10.714,1916,R
319,320.,Hal Chase (31),10.710,1914,L
320,321.,Elbie Fletcher (27),10.708,1943,L
321,321.,Wally Pipp (30),10.708,1923,L
322,323.,Candy LaChance (25),10.706,1895,R
323,324.,Donn Clendenon (29),10.703,1965,R
324,324.,Stuffy McInnis (22),10.703,1913,R
325,326.,Butch Schmidt (27),10.701,1914,L
326,327.,John Morrill (30),10.696,1885,R
327,328.,Fred Luderus (29),10.695,1915,R
328,329.,Rod Carew+ (36),10.694,1982,R
329,329.,Dick Hoblitzell (24),10.694,1913,R
330,331.,Harry Davis (24),10.693,1898,R
331,332.,Joe Hauser (24),10.692,1923,L
332,333.,Fred Merkle (26),10.691,1915,R
333,333.,Bill Terry+ (26),10.691,1925,L
334,335.,Dick Hoblitzell (20),10.690,1909,R
335,336.,John Smith (24),10.685,1882,
336,337.,Lu Blue (28),10.682,1925,L
337,338.,Tim Murnane (25),10.677,1876,R
338,338.,Johnny Walker (24),10.677,1921,R
339,340.,Elbie Fletcher (23),10.674,1939,L
340,340.,Chub Sullivan (24),10.674,1880,R
341,342.,Buck Jordan (26),10.673,1933,R
342,342.,Stuffy McInnis (21),10.673,1912,R
343,344.,Cap Anson+ (35),10.672,1887,R
344,344.,Sid Farrar (28),10.672,1888,R
345,346.,Cap Anson+ (40),10.671,1892,R
346,347.,Tommy Tucker (29),10.669,1893,R
347,348.,Sid Farrar (24),10.667,1884,R
348,348.,Del Howard (27),10.667,1905,R
349,348.,John Kerins (25),10.667,1884,R
350,351.,Bill Everitt (29),10.664,1898,R
351,352.,Joe Quinn (21),10.660,1884,R
352,353.,Frank Chance+ (27),10.659,1904,R
353,354.,Dots Miller (29),10.656,1916,R
354,355.,Charlie Comiskey+ (31),10.655,1891,R
355,356.,Lu Blue (30),10.654,1927,L
356,356.,Chris Chambliss (32),10.654,1981,R
357,358.,Pat Newnam (29),10.651,1910,R
358,359.,Bob Horner (28),10.648,1986,R
359,359.,Perry Werden (29),10.648,1891,R
360,361.,John Morrill (23),10.644,1878,R
361,362.,Jason Thompson (21),10.641,1976,L
362,363.,Hal Chase (23),10.640,1906,L
363,364.,Ed Konetchy (29),10.638,1915,R
364,365.,Dan McGann (30),10.636,1902,R
365,366.,Jack Fournier (26),10.635,1916,R
366,366.,Earl Sheely (30),10.635,1923,R
367,368.,Fred Beck (27),10.631,1914,L
368,369.,Johnny Mize+ (29),10.630,1942,R
369,370.,Joe Adcock (33),10.628,1961,R
370,370.,Art Croft (23),10.628,1878,
371,372.,Dick Siebert (33),10.626,1945,L
372,373.,Boileryard Clarke (34),10.625,1903,R
373,373.,Peek-A-Boo Veach (28),10.625,1890,R
374,375.,Dan Brouthers+ (26),10.624,1884,L
375,375.,Bud Sharpe (28),10.624,1910,R
376,377.,Kitty Bransfield (34),10.623,1909,R
377,377.,Fred Merkle (25),10.623,1914,R
378,377.,Wally Pipp (34),10.623,1927,L
379,380.,Jake Virtue (27),10.619,1892,L
380,381.,Elbie Fletcher (22),10.616,1938,L
381,382.,Zeke Bonura (30),10.615,1939,R
382,383.,Chick Gandil (25),10.614,1913,R
383,383.,Ivy Griffin (23),10.614,1920,R
384,383.,Fritz Mollwitz (25),10.614,1915,R
385,386.,Lu Blue (33),10.613,1930,L
386,387.,Harry Davis (33),10.611,1907,R
387,388.,Bill Buckner (33),10.604,1983,L
388,388.,Joe Start (42),10.604,1885,L
389,390.,Dan Brouthers+ (28),10.603,1886,L
390,391.,Fred Merkle (28),10.599,1917,R
391,392.,Bill Buckner (32),10.596,1982,L
392,393.,Ed Morgan (28),10.592,1932,R
393,394.,Harry Taylor (25),10.589,1891,
394,395.,Jack Fournier (30),10.587,1920,R
395,396.,Jake Beckley+ (32),10.586,1900,L
396,397.,Hap Myers (26),10.585,1913,R
397,398.,Bill Terry+ (33),10.584,1932,L
398,399.,George Burns (33),10.583,1926,R
399,400.,Lou Gehrig+ (23),10.574,1926,L
