,Rank,Player (age that year),Range Factor/9Inn as 2B,Year,Throws
0,1.,Thorny Hawkes (26),7.589,1879,R
1,2.,Jack Burdock (26),7.575,1878,R
2,3.,Chick Fulmer (28),7.520,1879,R
3,4.,Davy Force (31),7.503,1881,R
4,5.,Fred Pfeffer (24),7.383,1884,R
5,6.,Jack Burdock (28),7.285,1880,R
6,7.,Davy Force (30),7.220,1880,R
7,8.,Jack Burdock (27),7.217,1879,R
8,9.,Bid McPhee+ (26),7.213,1886,R
9,10.,Joe Quest (26),7.186,1879,R
10,11.,Fred Pfeffer (23),7.167,1883,R
11,12.,Bid McPhee+ (24),7.156,1884,R
12,13.,Pop Smith (26),7.089,1883,R
13,14.,Joe Gerhardt (22),7.059,1877,R
14,15.,Joe Gerhardt (35),7.047,1890,R
15,16.,Pop Smith (28),7.036,1885,R
16,17.,Cub Stricker (23),7.022,1882,R
17,18.,Sam Wise (35),7.003,1893,R
18,19.,Lou Bierbauer (23),6.962,1889,R
19,20.,Bid McPhee+ (27),6.952,1887,R
20,21.,Cub Stricker (28),6.948,1887,R
21,22.,Joe Gerhardt (28),6.936,1883,R
22,23.,Hardy Richardson (27),6.928,1882,R
23,24.,Glenn Hubbard (27),6.922,1985,R
24,25.,Hardy Richardson (28),6.914,1883,R
25,26.,Bid McPhee+ (34),6.897,1894,R
26,27.,Ed Somerville (23),6.881,1876,R
27,28.,Joe Gerhardt (29),6.870,1884,R
28,29.,Fred Pfeffer (29),6.869,1889,R
29,30.,George Creamer (29),6.851,1884,R
30,31.,Frankie Frisch+ (29),6.842,1927,R
31,32.,Pop Smith (27),6.831,1884,R
32,33.,Sam Barkley (26),6.813,1884,R
33,34.,Joe Gerhardt (32),6.808,1887,R
34,35.,Fred Dunlap (23),6.807,1882,R
35,35.,Freddie Maguire (29),6.807,1928,R
36,37.,Frankie Frisch+ (26),6.790,1924,R
37,38.,Joe Quest (25),6.778,1878,R
38,39.,Bid McPhee+ (33),6.766,1893,R
39,40.,Pete Browning (21),6.762,1882,R
40,41.,Jack Burdock (25),6.746,1877,R
41,42.,Bob Ferguson (35),6.732,1880,R
42,42.,Joe Gerhardt (24),6.732,1879,R
43,44.,Fred Dunlap (26),6.709,1885,R
44,45.,Fred Pfeffer (30),6.708,1890,R
45,46.,John Kerr (30),6.706,1929,R
46,47.,John Peters (28),6.678,1878,R
47,48.,Ski Melillo (31),6.676,1931,R
48,49.,Danny Richardson (28),6.675,1891,R
49,50.,Fred Pfeffer (28),6.674,1888,R
50,51.,Fred Pfeffer (31),6.672,1891,R
51,52.,Fred Dunlap (22),6.669,1881,R
52,53.,Odell Hale (25),6.649,1934,R
53,54.,Cupid Childs (28),6.648,1896,R
54,55.,Mike McGeary (26),6.644,1877,R
55,55.,Fred Pfeffer (27),6.644,1887,R
56,57.,Jack Farrell (25),6.643,1883,R
57,58.,Bid McPhee+ (29),6.629,1889,R
58,59.,George Creamer (27),6.624,1882,R
59,60.,Owen Friend (23),6.620,1950,R
60,61.,Burgess Whitehead (26),6.612,1936,R
61,62.,Fred Dunlap (25),6.608,1884,R
62,63.,Cub Stricker (30),6.593,1889,R
63,64.,Fred Pfeffer (25),6.589,1885,R
64,65.,Pop Smith (23),6.581,1880,R
65,66.,Nap Lajoie+ (26),6.576,1901,R
66,67.,George Wright+ (30),6.564,1877,R
