,Rank,Player (age that year),Total Zone Runs as SS (s.1953),Year,Throws
0,1.,Adam Everett (29),40,2006,R
1,2.,Mark Belanger (31),35,1975,R
2,3.,Rey Ordóñez (28),33,1999,R
3,4.,Ozzie Smith+ (34),32,1989,R
4,5.,Andrelton Simmons (23),29,2013,R
5,6.,Ozzie Guillen (23),28,1987,R
6,7.,Luis Aparicio+ (26),27,1960,R
7,7.,Mark Belanger (24),27,1968,R
8,7.,Ron Hansen (26),27,1964,R
9,10.,Elvis Andrus (28),26,2017,R
10,10.,Mark Belanger (29),26,1973,R
11,10.,Mark Belanger (34),26,1978,R
12,10.,Rey Sanchez (33),26,2001,R
13,14.,Ron Hansen (25),25,1963,R
14,15.,Mark Belanger (32),24,1976,R
15,15.,Mark Belanger (33),24,1977,R
16,15.,Francisco Lindor (22),24,2016,R
17,18.,Ernie Banks+ (28),23,1959,R
18,18.,Yunel Escobar (26),23,2009,R
19,18.,Cal Ripken Jr.+ (23),23,1984,R
20,18.,Cal Ripken Jr.+ (30),23,1991,R
21,18.,John Valentin (28),23,1995,R
22,23.,Nick Ahmed (28),22,2018,R
23,23.,Bucky Dent (27),22,1979,R
24,23.,Ozzie Guillen (24),22,1988,R
25,23.,Cal Ripken Jr.+ (29),22,1990,R
26,23.,Cal Ripken Jr.+ (34),22,1995,R
27,23.,Rey Sanchez (31),22,1999,R
28,23.,Rey Sanchez (32),22,2000,R
29,23.,John Valentin (26),22,1993,R
30,31.,Mark Belanger (30),21,1974,R
31,31.,Ed Brinkman (24),21,1966,R
32,31.,Ed Brinkman (27),21,1969,R
33,31.,Rafael Furcal (27),21,2005,R
34,31.,Ozzie Guillen (22),21,1986,R
35,31.,Cal Ripken Jr.+ (28),21,1989,R
36,31.,Ozzie Smith+ (25),21,1980,R
37,31.,Ozzie Smith+ (27),21,1982,R
38,39.,Mike Bordick (33),20,1999,R
39,39.,Ed Brinkman (28),20,1970,R
40,39.,Bert Campaneris (31),20,1973,R
41,39.,Chico Carrasquel (28),20,1954,R
42,39.,Brandon Crawford (28),20,2015,R
43,39.,Greg Gagne (28),20,1990,R
44,39.,Roy McMillan (26),20,1956,R
45,39.,Jordy Mercer (27),20,2014,R
46,39.,Rey Ordóñez (26),20,1997,R
47,39.,Ozzie Smith+ (30),20,1985,R
48,39.,Troy Tulowitzki (22),20,2007,R
49,39.,Omar Vizquel (40),20,2007,R
50,51.,Willy Adames (23),19,2019,R
51,51.,Rick Burleson (28),19,1979,R
52,51.,Bucky Dent (28),19,1980,R
53,51.,Greg Gagne (25),19,1987,R
54,51.,J.J. Hardy (29),19,2012,R
55,51.,Roy McMillan (25),19,1955,R
56,51.,Dickie Thon (25),19,1983,R
57,51.,Robin Yount+ (25),19,1981,R
58,59.,Luis Aparicio+ (24),18,1958,R
59,59.,Orlando Arcia (22),18,2017,R
60,59.,Mike Bordick (36),18,2002,R
61,59.,Chico Carrasquel (27),18,1953,R
62,59.,Royce Clayton (24),18,1994,R
63,59.,Frank Duffy (28),18,1975,R
64,59.,Billy Hunter (25),18,1953,R
65,59.,Roy McMillan (31),18,1961,R
66,59.,Freddie Patek (27),18,1972,R
67,59.,Brendan Ryan (27),18,2009,R
68,59.,Ozzie Smith+ (33),18,1988,R
69,59.,Troy Tulowitzki (28),18,2013,R
70,71.,Gene Alley (24),17,1965,R
71,71.,Bert Campaneris (35),17,1977,R
72,71.,Leo Cardenas (30),17,1969,R
73,71.,Royce Clayton (25),17,1995,R
74,71.,Bucky Dent (26),17,1978,R
75,71.,Yunel Escobar (29),17,2012,R
76,71.,J.J. Hardy (33),17,2016,R
77,71.,Bud Harrelson (27),17,1971,R
78,71.,Felix Martinez (26),17,2000,R
79,71.,Ray Oyler (29),17,1967,R
80,71.,Pokey Reese (31),17,2004,R
81,71.,Cal Ripken Jr.+ (33),17,1994,R
82,71.,Zoilo Versalles (25),17,1965,R
83,71.,Walt Weiss (26),17,1990,R
84,71.,Jack Wilson (27),17,2005,R
85,86.,Larry Bowa (25),16,1971,R
86,86.,Eddie Bressoud (30),16,1962,R
87,86.,Dave Concepcion (27),16,1975,R
88,86.,Zack Cozart (28),16,2014,R
89,86.,Ivan de Jesus (24),16,1977,R
90,86.,Tim Foli (23),16,1974,R
91,86.,Jim Fregosi (22),16,1964,R
92,86.,Nomar Garciaparra (28),16,2002,R
93,86.,Dick Groat (29),16,1960,R
94,86.,Ron Hansen (23),16,1961,R
95,86.,J.J. Hardy (25),16,2008,R
96,86.,Tony Kubek (28),16,1964,R
97,86.,Hal Lanier (24),16,1967,R
98,86.,Hal Lanier (26),16,1969,R
99,86.,Johnny Logan (32),16,1958,R
100,86.,Julio Lugo (28),16,2004,R
101,86.,Rico Petrocelli (26),16,1969,R
102,86.,Jose Reyes (24),16,2007,R
103,86.,Cal Ripken Jr.+ (25),16,1986,R
104,86.,Alex Rodriguez (24),16,2000,R
105,86.,Ozzie Smith+ (31),16,1986,R
106,86.,Omar Vizquel (26),16,1993,R
107,108.,Jerry Adair (29),15,1966,R
108,108.,Luis Aparicio+ (31),15,1965,R
109,108.,Clint Barmes (27),15,2006,R
110,108.,Larry Bowa (31),15,1977,R
111,108.,Larry Bowa (32),15,1978,R
112,108.,Bert Campaneris (30),15,1972,R
113,108.,Royce Clayton (27),15,1997,R
114,108.,Carlos Correa (23),15,2018,R
115,108.,Brandon Crawford (27),15,2014,R
116,108.,Bobby Crosby (25),15,2005,R
117,108.,Deivi Cruz (25),15,1998,R
118,108.,Scott Fletcher (24),15,1983,R
119,108.,Ozzie Guillen (25),15,1989,R
120,108.,J.J. Hardy (31),15,2014,R
121,108.,Paul Janish (28),15,2011,R
122,108.,Francisco Lindor (21),15,2015,R
123,108.,Roy McMillan (23),15,1953,R
124,108.,Rico Petrocelli (25),15,1968,R
125,108.,Bill Russell (28),15,1977,R
126,108.,Andrelton Simmons (22),15,2012,R
127,108.,Andrelton Simmons (25),15,2015,R
128,108.,Andrelton Simmons (27),15,2017,R
