,Rank,Player (age that year),Range Factor/9Inn as SS,Year,Throws
0,1.,Hughie Jennings+ (26),7.050,1895,R
1,2.,George Davis+ (28),7.039,1899,R
2,3.,Monte Cross (27),6.839,1897,R
3,4.,Bill Dahlen (27),6.817,1897,R
4,5.,George Davis+ (29),6.813,1900,R
5,6.,Bill Dahlen (24),6.739,1894,R
6,7.,Hughie Jennings+ (27),6.687,1896,R
7,8.,Hughie Jennings+ (28),6.654,1897,R
8,9.,Dave Bancroft+ (27),6.612,1918,R
9,10.,Herman Long (23),6.600,1889,R
10,11.,Bill Dahlen (30),6.564,1900,R
11,12.,Hughie Jennings+ (25),6.535,1894,R
12,13.,Rabbit Maranville+ (27),6.531,1919,R
13,14.,Bill Dahlen (25),6.522,1895,R
14,15.,Bobby Wallace+ (27),6.499,1901,R
15,16.,Bill Dahlen (28),6.460,1898,R
16,17.,Dave Bancroft+ (32),6.449,1923,R
17,18.,George Davis+ (27),6.435,1898,R
18,19.,Dave Bancroft+ (31),6.431,1922,R
19,20.,Monte Cross (28),6.424,1898,R
20,21.,Dave Bancroft+ (29),6.410,1920,R
21,22.,Dave Bancroft+ (34),6.402,1925,R
22,23.,Bobby Wallace+ (26),6.385,1900,R
23,24.,Lee Tannehill (30),6.378,1911,R
24,25.,Gene DeMontreville (24),6.357,1897,R
25,26.,Tommy Corcoran (26),6.356,1895,R
26,27.,Tommy Corcoran (27),6.327,1896,R
27,28.,Shorty Fuller (27),6.321,1895,R
28,29.,Rabbit Maranville+ (22),6.320,1914,R
29,30.,Heinie Wagner (27),6.317,1908,R
30,31.,Kid Elberfeld (27),6.314,1902,R
31,31.,Frank Parkinson (26),6.314,1921,R
32,33.,Tommy Thevenow (22),6.309,1926,R
33,34.,Art Fletcher (34),6.305,1919,R
34,35.,Bob Allen (22),6.304,1890,R
35,36.,Zeke Wrigley (24),6.290,1898,
36,37.,Herman Long (30),6.289,1896,R
37,38.,Rabbit Maranville+ (28),6.288,1920,R
38,39.,Bobby Wallace+ (25),6.282,1899,R
39,40.,Dave Bancroft+ (30),6.280,1921,R
40,41.,Gene DeMontreville (23),6.278,1896,R
41,42.,Joe Cassidy (22),6.275,1905,R
42,43.,Danny Richardson (29),6.274,1892,R
43,44.,Bill Dahlen (26),6.273,1896,R
44,45.,Dave Bancroft+ (28),6.267,1919,R
45,46.,Buck Herzog (29),6.263,1915,R
46,47.,Dick Padden (28),6.260,1899,R
47,48.,George Davis+ (30),6.259,1901,R
48,49.,Jackie Tavener (31),6.255,1929,R
49,50.,Bobby Wallace+ (36),6.249,1910,R
50,51.,Ivy Olson (35),6.247,1921,R
51,52.,Kid Elberfeld (26),6.244,1901,R
52,53.,Gene DeMontreville (26),6.242,1899,R
53,54.,George Davis+ (26),6.238,1897,R
54,54.,Bob Smith (28),6.238,1923,R
55,56.,Doc Lavan (30),6.234,1921,R
56,57.,Buck Herzog (28),6.229,1914,R
57,58.,Dick Bartell (28),6.228,1936,R
58,59.,Monte Cross (32),6.225,1902,R
59,60.,Leo Durocher+ (24),6.220,1930,R
60,61.,Donie Bush (26),6.216,1914,R
61,62.,Heinie Sand (28),6.206,1926,R
62,63.,Bill Dahlen (23),6.205,1893,R
63,64.,Travis Jackson+ (23),6.201,1927,R
64,65.,Monte Cross (30),6.197,1900,R
65,66.,Donie Bush (24),6.196,1912,R
66,67.,Phil Tomney (26),6.190,1889,R
67,68.,Buck Weaver (22),6.185,1913,R
68,69.,Donie Bush (23),6.182,1911,R
69,70.,Kid Elberfeld (32),6.181,1907,R
70,70.,Art Fletcher (33),6.181,1918,R
71,72.,Honus Wagner+ (29),6.177,1903,R
72,73.,Rabbit Warstler (28),6.167,1932,R
73,74.,Herman Long (36),6.164,1902,R
74,75.,Howard Freigau (20),6.157,1923,R
75,75.,George McBride (27),6.157,1908,R
76,77.,Dick Bartell (22),6.145,1930,R
77,78.,Al Bridwell (22),6.144,1906,R
78,79.,Heinie Wagner (26),6.141,1907,R
79,80.,Honus Wagner+ (31),6.136,1905,R
80,81.,Travis Jackson+ (24),6.134,1928,R
81,81.,Herman Long (31),6.134,1897,R
82,83.,Jonah Goldman (23),6.132,1930,R
83,84.,Germany Smith (35),6.128,1894,R
84,85.,George Magoon (23),6.125,1898,R
85,86.,Harry Lochhead (23),6.124,1899,R
86,87.,Dave Bancroft+ (35),6.123,1926,R
87,88.,Garry Templeton (24),6.121,1980,R
88,89.,Rabbit Maranville+ (37),6.117,1929,R
89,90.,Billy Gilbert (26),6.110,1902,R
90,91.,Jimmy Cooney (29),6.108,1924,R
91,92.,Tommy Thevenow (26),6.104,1930,R
92,93.,Jimmy Cooney (31),6.102,1926,R
93,93.,Tommy Corcoran (29),6.102,1898,R
94,93.,Monte Cross (29),6.102,1899,R
95,96.,Dave Bancroft+ (26),6.100,1917,R
96,96.,Dud Lee (25),6.100,1925,R
97,98.,Bobby Wallace+ (33),6.098,1907,R
98,99.,Joe Tinker+ (32),6.094,1913,R
99,100.,Herman Long (27),6.093,1893,R
100,101.,Jack Glasscock (29),6.092,1887,R
101,102.,George Magoon (24),6.080,1899,R
102,103.,Bob Allen (25),6.068,1893,R
103,104.,Dave Bancroft+ (36),6.067,1927,R
104,105.,Herman Long (28),6.063,1894,R
105,105.,Heinie Sand (27),6.063,1925,R
