,Rank,Player (age that year),Fielding % as SS,Year,Throws
0,1.,Mike Bordick (36),.9982,2002,R
1,2.,Cal Ripken Jr.+ (29),.9956,1990,R
2,3.,Omar Vizquel (33),.9954,2000,R
3,4.,Carlos Correa (25),.9953,2020,R
4,5.,Francisco Lindor (26),.9952,2020,R
5,6.,Rey Sanchez (32),.9941,2000,R
6,7.,Rey Ordóñez (28),.9938,1999,R
7,8.,J.J. Hardy (32),.9933,2015,R
8,8.,Omar Vizquel (39),.9933,2006,R
9,10.,Omar Vizquel (31),.9931,1998,R
10,11.,J.J. Hardy (29),.9923,2012,R
11,12.,Tony Fernandez (27),.9919,1989,R
12,13.,Rey Sanchez (33),.9915,2001,R
13,14.,José Iglesias (26),.9913,2016,R
14,15.,Larry Bowa (33),.9912,1979,R
15,15.,Dansby Swanson (26),.9912,2020,R
16,15.,Troy Tulowitzki (26),.9912,2011,R
17,18.,Ed Brinkman (30),.9905,1972,R
18,19.,J.J. Hardy (28),.9903,2011,R
19,20.,Cal Ripken Jr.+ (28),.9902,1989,R
20,21.,Jimmy Rollins (30),.9901,2009,R
21,22.,Mike Bordick (32),.9898,1998,R
22,22.,Adam Everett (29),.9898,2006,R
23,24.,Omar Vizquel (35),.9897,2002,R
24,25.,Paul DeJong (25),.9893,2019,R
25,25.,Spike Owen (29),.9893,1990,R
26,27.,Royce Clayton (32),.9892,2002,R
27,27.,Derek Jeter+ (36),.9892,2010,R
28,29.,Omar Vizquel (34),.9891,2001,R
29,30.,David Eckstein (31),.9890,2006,R
30,30.,Freddy Galvis (27),.9890,2017,R
31,32.,Omar Vizquel (25),.9889,1992,R
32,33.,Mike Bordick (33),.9887,1999,R
33,33.,Cal Ripken Jr.+ (34),.9887,1995,R
34,35.,Alex Rodriguez (27),.9886,2003,R
35,36.,Yunel Escobar (30),.9885,2013,R
36,36.,Tony Fernandez (28),.9885,1990,R
37,36.,Jhonny Peralta (29),.9885,2011,R
38,36.,Dick Schofield (29),.9885,1992,R
39,40.,Andrelton Simmons (25),.9884,2015,R
40,41.,David Eckstein (29),.9883,2004,R
41,42.,Jhonny Peralta (30),.9882,2012,R
42,42.,Jimmy Rollins (29),.9882,2008,R
43,44.,Jorge Polanco (26),.9881,2020,R
44,45.,Orlando Cabrera (30),.9880,2005,R
45,45.,Jimmy Rollins (32),.9880,2011,R
46,45.,Omar Vizquel (38),.9880,2005,R
47,48.,Royce Clayton (31),.9877,2001,R
48,49.,Jimmy Rollins (35),.9876,2014,R
49,50.,Ozzie Smith+ (36),.9875,1991,R
50,51.,Larry Bowa (26),.9874,1972,R
51,51.,Didi Gregorius (28),.9874,2018,R
52,53.,J.J. Hardy (33),.9873,2016,R
53,54.,Freddy Galvis (26),.9872,2016,R
54,55.,Larry Bowa (25),.9870,1971,R
55,55.,Alex Gonzalez (28),.9870,2001,R
56,55.,José Iglesias (27),.9870,2017,R
57,55.,Ozzie Smith+ (32),.9870,1987,R
58,59.,Trevor Story (26),.9868,2019,R
59,59.,Troy Tulowitzki (22),.9868,2007,R
60,61.,Manuel Lee (27),.9867,1992,R
61,62.,Alex Rodriguez (26),.9865,2002,R
62,63.,Larry Bowa (32),.9864,1978,R
63,63.,J.P. Crawford (25),.9864,2020,R
64,63.,Cal Ripken Jr.+ (30),.9864,1991,R
65,66.,Asdrubal Cabrera (30),.9863,2016,R
66,66.,Frank Duffy (26),.9863,1973,R
67,66.,Jhonny Peralta (33),.9863,2015,R
68,66.,Troy Tulowitzki (24),.9863,2009,R
69,70.,Greg Gagne (31),.9862,1993,R
70,70.,Freddy Galvis (29),.9862,2019,R
71,70.,Jordy Mercer (28),.9862,2015,R
72,70.,Roger Metzger (28),.9862,1976,R
73,70.,Omar Vizquel (40),.9862,2007,R
74,75.,Jay Bell (27),.9861,1993,R
75,76.,Spike Owen (30),.9860,1991,R
76,76.,Troy Tulowitzki (28),.9860,2013,R
77,78.,Royce Clayton (34),.9859,2004,R
78,78.,Dave Concepcion (29),.9859,1977,R
79,78.,Gary Disarcina (27),.9859,1995,R
80,81.,Jay Bell (30),.9858,1996,R
81,82.,Orlando Cabrera (26),.9857,2001,R
82,82.,Freddy Galvis (28),.9857,2018,R
83,82.,Alex Gonzalez (24),.9857,1997,R
84,85.,Ricky Gutierrez (30),.9856,2000,R
85,85.,Derek Jeter+ (24),.9856,1998,R
86,85.,Derek Jeter+ (35),.9856,2009,R
87,85.,Omar Vizquel (28),.9856,1995,R
88,89.,Alex Rodriguez (24),.9855,2000,R
89,89.,Jimmy Rollins (25),.9855,2004,R
90,91.,Omar Vizquel (30),.9854,1997,R
91,92.,Jay Bell (31),.9853,1997,R
92,92.,Alex Gonzalez (29),.9853,2006,R
93,94.,Tim Foli (31),.9852,1982,R
94,94.,Cesar Izturis (24),.9852,2004,R
95,94.,Jordy Mercer (29),.9852,2016,R
96,94.,Robin Yount+ (25),.9852,1981,R
97,98.,Nick Ahmed (28),.9851,2018,R
98,98.,Mark Belanger (33),.9851,1977,R
99,98.,Cesar Izturis (30),.9851,2010,R
100,101.,Ernie Banks+ (28),.9850,1959,R
101,101.,Mark Belanger (34),.9850,1978,R
102,101.,Brendan Ryan (30),.9850,2012,R
103,104.,Ozzie Smith+ (37),.9849,1992,R
104,105.,Leo Cardenas (32),.9848,1971,R
105,105.,Cal Ripken Jr.+ (33),.9848,1994,R
106,105.,Alan Trammell+ (31),.9848,1989,R
107,108.,Jimmy Rollins (28),.9847,2007,R
108,108.,Troy Tulowitzki (30),.9847,2015,R
109,110.,Stephen Drew (30),.9845,2013,R
110,110.,Cesar Izturis (29),.9845,2009,R
111,112.,Larry Bowa (37),.9844,1983,R
112,113.,Ozzie Smith+ (27),.9843,1982,R
113,113.,Fernando Tatis Jr. (21),.9843,2020,R
114,115.,Carlos Correa (23),.9842,2018,R
115,116.,Greg Gagne (29),.9841,1991,R
116,116.,Khalil Greene (27),.9841,2007,R
117,118.,Alex Gonzalez (30),.9840,2003,R
118,118.,Pete Kozma (25),.9840,2013,R
