,Rank,Player (age that year),Total Zone Runs as CF (s.1953),Year,Throws
0,1.,Darin Erstad (28),39,2002,L
1,2.,Andruw Jones (22),36,1999,R
2,3.,Michael Bourn (29),35,2012,R
3,3.,Andruw Jones (21),35,1998,R
4,5.,Devon White (29),33,1992,R
5,6.,Ken Griffey Jr.+ (26),32,1996,L
6,7.,Coco Crisp (27),31,2007,R
7,7.,Jim Piersall (26),31,1956,R
8,9.,Kirby Puckett+ (24),30,1984,R
9,10.,Byron Buxton (23),29,2017,R
10,10.,Willie Davis (24),29,1964,L
11,10.,Franklin Gutierrez (26),29,2009,R
12,10.,Darrin Jackson (28),29,1992,R
13,14.,Andruw Jones (24),27,2001,R
14,15.,Paul Blair (25),26,1969,R
15,15.,Paul Blair (26),26,1970,R
16,15.,Billy Hamilton (25),26,2016,R
17,15.,Garry Maddox (29),26,1979,R
18,15.,Bill North (25),26,1973,R
19,20.,Lenny Dykstra (27),25,1990,L
20,20.,Curt Flood (20),25,1958,R
21,20.,Cesar Geronimo (27),25,1975,L
22,20.,Adam Jones (22),25,2008,R
23,20.,Andruw Jones (23),25,2000,R
24,20.,Jim Landis (25),25,1959,R
25,20.,Jim Piersall (25),25,1955,R
26,20.,Scott Podsednik (28),25,2004,L
27,28.,Mike Cameron (26),24,1999,R
28,29.,Jim Edmonds (35),23,2005,L
29,29.,Ender Inciarte (25),23,2016,L
30,29.,Rondell White (25),23,1997,R
31,32.,Juan Beniquez (26),22,1976,R
32,32.,Paul Blair (23),22,1967,R
33,32.,Cesar Geronimo (26),22,1974,L
34,32.,Roberto Kelly (25),22,1990,R
35,32.,Chet Lemon (28),22,1983,R
36,32.,Dwayne Murphy (25),22,1980,R
37,32.,Bill North (27),22,1975,R
38,32.,Gary Pettis (28),22,1986,R
39,32.,Chris Singleton (26),22,1999,L
40,32.,Vernon Wells (27),22,2006,R
41,32.,Devon White (26),22,1989,R
42,43.,Michael Bourn (27),21,2010,R
43,43.,Jackie Bradley Jr. (28),21,2018,R
44,43.,Jacoby Ellsbury (29),21,2013,L
45,43.,Andruw Jones (29),21,2006,R
46,43.,Willie Mays+ (23),21,1954,R
47,43.,Reggie Smith (25),21,1970,R
48,49.,Richie Ashburn+ (30),20,1957,R
49,49.,Carlos Beltran (22),20,1999,R
50,49.,Doug Glanville (30),20,2001,R
51,49.,Torii Hunter (25),20,2001,R
52,49.,Chet Lemon (29),20,1984,R
53,49.,Garry Maddox (26),20,1976,R
54,49.,Willie Mays+ (31),20,1962,R
55,49.,Lloyd Moseby (24),20,1984,R
56,49.,Drew Stubbs (25),20,2010,R
57,49.,Willy Taveras (24),20,2006,R
58,59.,Richie Ashburn+ (26),19,1953,R
59,59.,Richie Ashburn+ (27),19,1954,R
60,59.,Paul Blair (29),19,1973,R
61,59.,Brady Clark (32),19,2005,R
62,59.,Jim Edmonds (33),19,2003,L
63,59.,Marquis Grissom (27),19,1994,R
64,59.,Andruw Jones (25),19,2002,R
65,59.,Andruw Jones (26),19,2003,R
66,59.,Andruw Jones (28),19,2005,R
67,59.,Kevin Kiermaier (25),19,2015,R
68,59.,Kenny Lofton (31),19,1998,L
69,59.,Garry Maddox (28),19,1978,R
70,59.,Kevin McReynolds (24),19,1984,R
71,59.,Juan Pierre (28),19,2006,L
72,59.,AJ Pollock (27),19,2015,R
73,59.,Willy Taveras (27),19,2009,R
74,75.,Paul Blair (28),18,1972,R
75,75.,Keon Broxton (29),18,2019,R
76,75.,Andre Dawson+ (26),18,1981,R
