,Rank,Player (age that year),Fielding % as CF (s.1901),Year,Throws
0,1.,Ken Berry (28),1.0000,1969,R
1,1.,Ken Berry (31),1.0000,1972,R
2,1.,Jackie Bradley Jr. (30),1.0000,2020,R
3,1.,Brett Butler (34),1.0000,1991,L
4,1.,Brett Butler (36),1.0000,1993,L
5,1.,Cesar Cedeno (20),1.0000,1971,R
6,1.,Coco Crisp (33),1.0000,2013,R
7,1.,Jacoby Ellsbury (27),1.0000,2011,L
8,1.,Jacoby Ellsbury (31),1.0000,2015,L
9,1.,Curt Flood (28),1.0000,1966,R
10,1.,Avisail Garcia (29),1.0000,2020,R
11,1.,Craig Gentry (28),1.0000,2012,R
12,1.,Doug Glanville (31),1.0000,2002,R
13,1.,Tony Gonzalez (25),1.0000,1962,R
14,1.,Curtis Granderson (31),1.0000,2012,R
15,1.,Randal Grichuk (24),1.0000,2016,R
16,1.,Franklin Gutierrez (27),1.0000,2010,R
17,1.,Billy Hamilton (24),1.0000,2015,R
18,1.,Billy Hamilton (28),1.0000,2019,R
19,1.,Darryl Hamilton (31),1.0000,1996,R
20,1.,Darryl Hamilton (34),1.0000,1999,R
21,1.,Ian Happ (25),1.0000,2020,R
22,1.,Torii Hunter (32),1.0000,2008,R
23,1.,Stan Javier (31),1.0000,1995,R
24,1.,Jon Jay (27),1.0000,2012,L
25,1.,Desmond Jennings (27),1.0000,2014,R
26,1.,Lance Johnson (30),1.0000,1994,L
27,1.,Kevin Kiermaier (30),1.0000,2020,R
28,1.,Ken Landreaux (26),1.0000,1981,R
29,1.,Ramon Laureano (25),1.0000,2020,R
30,1.,Darren Lewis (25),1.0000,1993,R
31,1.,Darren Lewis (30),1.0000,1998,R
32,1.,Kenny Lofton (35),1.0000,2002,L
33,1.,Cedric Mullins (25),1.0000,2020,L
34,1.,Amos Otis (34),1.0000,1981,R
35,1.,Juan Pierre (28),1.0000,2006,L
36,1.,Terry Puhl (22),1.0000,1979,R
37,1.,Dave Roberts (30),1.0000,2002,L
38,1.,Victor Robles (23),1.0000,2020,R
39,1.,Cody Ross (27),1.0000,2008,L
40,1.,Denard Span (29),1.0000,2013,L
41,1.,George Springer (30),1.0000,2020,R
42,1.,Mickey Stanley (25),1.0000,1968,R
43,1.,Mickey Stanley (27),1.0000,1970,R
44,1.,Mike Trout (23),1.0000,2015,R
45,1.,Mike Trout (26),1.0000,2018,R
46,1.,Mike Trout (28),1.0000,2020,R
47,1.,Shane Victorino (30),1.0000,2011,R
48,1.,Vernon Wells (26),1.0000,2005,R
49,1.,Vernon Wells (31),1.0000,2010,R
50,1.,Bernie Williams (31),1.0000,2000,R
51,52.,Brett Butler (28),.9978,1985,L
52,52.,Darin Erstad (28),.9978,2002,L
53,52.,Devon White (28),.9978,1991,R
54,55.,Ichiro Suzuki (33),.9977,2007,R
55,56.,Coco Crisp (27),.9976,2007,R
