,Rank,Player (age that year),Fielding % as RF (s.1901),Year,Throws
0,1.,Charlie Blackmon (33),1.0000,2020,L
1,1.,Rocky Colavito (31),1.0000,1965,R
2,1.,Michael Conforto (27),1.0000,2020,R
3,1.,Juan Encarnacion (27),1.0000,2003,R
4,1.,Andre Ethier (26),1.0000,2008,L
5,1.,Andre Ethier (29),1.0000,2011,L
6,1.,Joey Gallo (26),1.0000,2020,R
7,1.,Curtis Granderson (35),1.0000,2016,R
8,1.,Shawn Green (32),1.0000,2005,L
9,1.,Ken Harrelson (26),1.0000,1968,R
10,1.,Jason Heyward (30),1.0000,2020,L
11,1.,Al Kaline+ (36),1.0000,1971,R
12,1.,Nick Markakis (27),1.0000,2011,L
13,1.,Nick Markakis (29),1.0000,2013,L
14,1.,Nick Markakis (30),1.0000,2014,L
15,1.,Nomar Mazara (25),1.0000,2020,L
16,1.,James Mouton (25),1.0000,1994,R
17,1.,Paul O'Neill (33),1.0000,1996,L
18,1.,Stephen Piscotty (29),1.0000,2020,R
19,1.,Terry Puhl (24),1.0000,1981,R
20,1.,Josh Reddick (31),1.0000,2018,R
21,1.,Ken Singleton (34),1.0000,1981,R
22,23.,Jason Heyward (24),.9973,2014,L
23,24.,Mookie Betts (23),.9972,2016,R
24,24.,Hunter Pence (25),.9972,2008,R
25,26.,Shawn Green (26),.9971,1999,L
26,26.,Ichiro Suzuki (27),.9971,2001,R
27,28.,Pete Rose (29),.9968,1970,R
28,28.,Cory Snyder (26),.9968,1989,R
29,30.,Jay Buhner (32),.9967,1997,R
30,30.,Jeff Francoeur (25),.9967,2009,R
31,30.,Nick Markakis (31),.9967,2015,L
32,30.,Paul O'Neill (29),.9967,1992,L
33,34.,Nick Markakis (33),.9966,2017,L
34,35.,Mookie Betts (26),.9965,2019,R
35,35.,Nick Swisher (30),.9965,2011,L
36,37.,Gus Bell (30),.9963,1959,R
37,37.,Jermaine Dye (34),.9963,2008,R
38,37.,Curtis Granderson (33),.9963,2014,R
39,40.,Magglio Ordonez (33),.9962,2007,R
40,40.,Hunter Pence (34),.9962,2017,R
41,40.,Yasiel Puig (26),.9962,2017,R
42,40.,Dave Winfield+ (32),.9962,1984,R
43,44.,Corey Hart (25),.9961,2007,R
44,45.,Bobby Bonds (25),.9960,1971,R
45,45.,Brian Jordan (28),.9960,1995,R
46,45.,Nick Markakis (22),.9960,2006,L
47,45.,Trot Nixon (31),.9960,2005,L
48,49.,Carlos Beltran (34),.9959,2011,R
49,49.,Mookie Betts (25),.9959,2018,R
50,49.,Willard Marshall (30),.9959,1951,R
51,49.,Bake McBride (29),.9959,1978,R
52,49.,Ichiro Suzuki (38),.9959,2012,R
53,54.,Kole Calhoun (26),.9958,2014,L
54,54.,J.D. Drew (34),.9958,2010,R
55,54.,Dick Porter (31),.9958,1933,R
56,54.,Reggie Sanders (33),.9958,2001,R
57,58.,Andre Ethier (28),.9957,2010,L
58,58.,Enos Slaughter+ (37),.9957,1953,R
59,60.,Alex Rios (25),.9956,2006,R
60,61.,Jim Eisenreich (34),.9955,1993,L
61,61.,Max Kepler (25),.9955,2018,L
62,61.,Ryan Ludwick (30),.9955,2009,L
63,61.,Vada Pinson (30),.9955,1969,L
64,65.,Richard Hidalgo (27),.9954,2002,R
65,65.,Sam Mele (31),.9954,1953,R
66,65.,Trot Nixon (32),.9954,2006,L
67,68.,Roger Maris (29),.9953,1964,R
68,68.,Andy Van Slyke (24),.9953,1985,R
69,70.,Moises Alou (29),.9952,1996,R
70,71.,Terry Puhl (25),.9951,1982,R
71,71.,Enos Slaughter+ (35),.9951,1951,R
72,73.,Michael Tucker (27),.9950,1998,R
73,74.,Darren Bragg (28),.9949,1998,R
74,74.,Kosuke Fukudome (33),.9949,2010,R
75,74.,Paul O'Neill (31),.9949,1994,L
76,74.,Ichiro Suzuki (31),.9949,2005,R
77,78.,Gabe Gross (28),.9948,2008,R
78,78.,Darrin Jackson (30),.9948,1994,R
79,78.,Austin Kearns (27),.9948,2007,R
80,81.,Peter Bourjos (29),.9947,2016,R
81,82.,Jose Cruz (29),.9944,2003,R
82,82.,Ichiro Suzuki (40),.9944,2014,R
83,84.,Ichiro Suzuki (29),.9943,2003,R
84,85.,Shawn Green (29),.9942,2002,L
85,86.,Sam Mele (30),.9941,1952,R
86,87.,Al Kaline+ (23),.9940,1958,R
87,87.,Joe Lefebvre (25),.9940,1981,R
88,89.,Harold Baines+ (26),.9939,1985,L
89,89.,Jay Buhner (27),.9939,1992,R
90,89.,Johnny Callison (24),.9939,1963,R
91,89.,Dwight Evans (32),.9939,1984,R
92,93.,Jacque Jones (29),.9938,2004,L
93,93.,Nick Markakis (34),.9938,2018,L
94,93.,Magglio Ordonez (29),.9938,2003,R
95,93.,Jorge Orta (30),.9938,1981,R
96,93.,Manny Ramirez (22),.9938,1994,R
97,98.,Dwight Evans (24),.9937,1976,R
98,98.,Nick Markakis (23),.9937,2007,L
99,98.,Paul O'Neill (28),.9937,1991,L
100,98.,Pete Rose (30),.9937,1971,R
101,98.,George Springer (26),.9937,2016,R
102,103.,George Vukovich (28),.9936,1984,R
103,104.,Frank Robinson+ (26),.9935,1962,R
104,105.,Shin-Soo Choo (29),.9934,2012,L
105,105.,Claudell Washington (26),.9934,1981,L
106,107.,Stan Musial+ (28),.9933,1949,L
107,107.,Paul O'Neill (37),.9933,2000,L
108,109.,Tony Gwynn+ (38),.9932,1998,L
109,110.,Nicholas Castellanos (27),.9931,2019,R
110,110.,Bryce Harper (25),.9931,2018,R
111,110.,Brian Jordan (29),.9931,1996,R
112,110.,Paul O'Neill (27),.9931,1990,L
113,114.,Larry Walker+ (25),.9930,1992,R
114,115.,Bobby Abreu (34),.9929,2008,R
115,115.,Roberto Clemente+ (36),.9929,1971,R
116,115.,Corey Hart (28),.9929,2010,R
117,115.,J.D. Martinez (27),.9929,2015,R
118,119.,Greg Gross (21),.9928,1974,L
119,120.,Al Kaline+ (22),.9927,1957,R
120,120.,Max Kepler (24),.9927,2017,L
121,122.,Tony Armas (27),.9926,1981,R
122,122.,Ryan Braun (30),.9926,2014,R
123,122.,Ben Grieve (22),.9926,1998,R
124,122.,Andrew McCutchen (31),.9926,2018,R
125,126.,Dwight Evans (29),.9925,1981,R
126,126.,Pete Fox (29),.9925,1938,R
127,126.,Shawn Green (23),.9925,1996,L
128,129.,Jermaine Dye (30),.9924,2004,R
129,129.,Bryce Harper (23),.9924,2016,R
130,129.,Al Kaline+ (28),.9924,1963,R
131,132.,Max Flack (31),.9923,1921,L
132,132.,Ichiro Suzuki (32),.9923,2006,R
133,134.,Corey Hart (29),.9922,2011,R
134,134.,Ryan Ludwick (31),.9922,2010,L
135,134.,Ichiro Suzuki (30),.9922,2004,R
136,137.,Alex Rios (24),.9921,2005,R
137,137.,Nate Schierholtz (26),.9921,2010,R
138,137.,Tony Womack (29),.9921,1999,R
139,140.,J.D. Drew (33),.9920,2009,R
140,140.,Tony Gwynn+ (35),.9920,1995,L
