,Rank,Player (age that year),Fielding % as P,Year,Throws
0,1.,Jim Abbott (24),1.0000,1992,L
1,1.,Jim Abbott (27),1.0000,1995,L
2,1.,Paul Abbott (33),1.0000,2001,R
3,1.,Babe Adams (30),1.0000,1912,R
4,1.,Babe Adams (32),1.0000,1914,R
5,1.,Babe Adams (33),1.0000,1915,R
6,1.,Babe Adams (37),1.0000,1919,R
7,1.,Babe Adams (39),1.0000,1921,R
8,1.,Vic Albury (27),1.0000,1974,L
9,1.,Vic Aldridge (29),1.0000,1923,R
10,1.,Vic Aldridge (33),1.0000,1927,R
11,1.,Doyle Alexander (25),1.0000,1976,R
12,1.,Doyle Alexander (36),1.0000,1987,R
13,1.,Pete Alexander+ (26),1.0000,1913,R
14,1.,Pete Alexander+ (32),1.0000,1919,R
15,1.,Pete Alexander+ (35),1.0000,1922,R
16,1.,Pete Alexander+ (38),1.0000,1925,R
17,1.,Pete Alexander+ (40),1.0000,1927,R
18,1.,Pete Alexander+ (41),1.0000,1928,R
19,1.,Neil Allen (25),1.0000,1983,R
20,1.,Wilson Alvarez (24),1.0000,1994,L
21,1.,Wilson Alvarez (25),1.0000,1995,L
22,1.,Wilson Alvarez (26),1.0000,1996,L
23,1.,Allan Anderson (26),1.0000,1990,L
24,1.,Brett Anderson (21),1.0000,2009,L
25,1.,Brett Anderson (27),1.0000,2015,L
26,1.,Fred Anderson (30),1.0000,1916,R
27,1.,Kevin Appier (26),1.0000,1994,R
28,1.,Kevin Appier (27),1.0000,1995,R
29,1.,Kevin Appier (28),1.0000,1996,R
30,1.,Kevin Appier (34),1.0000,2002,R
31,1.,Steve Arlin (27),1.0000,1973,R
32,1.,Tony Armas (24),1.0000,2002,R
33,1.,Jack Armstrong (25),1.0000,1990,R
34,1.,Bronson Arroyo (29),1.0000,2006,R
35,1.,Bronson Arroyo (31),1.0000,2008,R
36,1.,Bronson Arroyo (33),1.0000,2010,R
37,1.,Bronson Arroyo (35),1.0000,2012,R
38,1.,Andy Ashby (26),1.0000,1994,R
